institution,country,fiscal_year,federal_funding_total,award_count,top_awarding_agency
Stanford University,US,2019,3760546.27,4,N/A
Stanford University,US,2020,5957059.9,5,N/A
Stanford University,US,2021,65542131.21,2,N/A
Stanford University,US,2022,65866603.43,1,N/A
Stanford University,US,2023,77929982.12,2,N/A
Stanford University,US,2024,99648776.17,2,N/A
Stanford University,US,2025,78343242.32,1,N/A
Harvard University,US,2019,8058081.49,3,N/A
Harvard University,US,2020,5179526.0,3,N/A
Harvard University,US,2021,15265716.67,4,N/A
Harvard University,US,2022,26762215.2,3,N/A
Harvard University,US,2023,21385983.5,3,N/A
Harvard University,US,2024,21817108.83,3,N/A
Harvard University,US,2025,32006038.67,5,N/A
Massachusetts Institute of Technology,US,2019,1514974003.91,4,N/A
Massachusetts Institute of Technology,US,2020,1511686136.55,3,N/A
Massachusetts Institute of Technology,US,2021,1556611827.47,3,N/A
Massachusetts Institute of Technology,US,2022,1641356030.23,3,N/A
Massachusetts Institute of Technology,US,2023,1794466899.58,2,N/A
Massachusetts Institute of Technology,US,2024,1887299852.78,2,N/A
Massachusetts Institute of Technology,US,2025,1885485007.63,2,N/A
California Institute of Technology,US,2019,2848707903.67,4,N/A
California Institute of Technology,US,2020,2815733185.16,4,N/A
California Institute of Technology,US,2021,2530275642.76,4,N/A
California Institute of Technology,US,2022,2827651642.96,4,N/A
California Institute of Technology,US,2023,2992533235.26,2,N/A
California Institute of Technology,US,2024,2438269942.61,2,N/A
California Institute of Technology,US,2025,2590270744.29,2,N/A
Princeton University,US,2019,312273657.42,2,N/A
Princeton University,US,2020,341670144.24,5,N/A
Princeton University,US,2021,378612589.92,3,N/A
Princeton University,US,2022,346067854.04,2,N/A
Princeton University,US,2023,348535137.4,1,N/A
Princeton University,US,2024,314832856.81,1,N/A
Princeton University,US,2025,409551684.0,1,N/A
Yale University,US,2019,10876785.22,3,N/A
Yale University,US,2020,11425130.24,4,N/A
Yale University,US,2021,30825860.44,3,N/A
Yale University,US,2022,55929272.29,3,N/A
Yale University,US,2023,45864673.29,2,N/A
Yale University,US,2024,33144751.46,2,N/A
Yale University,US,2025,45656267.28,2,N/A
Columbia University,US,2019,906489561.45,7,N/A
Columbia University,US,2020,1130310399.41,7,N/A
