institution,time_period,grad_enrollment_ipeds
California Institute of Technology,2019,1299
California Institute of Technology,2020,1339
California Institute of Technology,2021,1410
California Institute of Technology,2022,1419
Columbia University,2019,23235
Columbia University,2020,21987
Columbia University,2021,24944
Columbia University,2022,25880
Cornell University,2019,8984
Cornell University,2020,8877
Cornell University,2021,10079
Cornell University,2022,10163
Duke University,2019,10037
Duke University,2020,9455
Duke University,2021,10737
Duke University,2022,11383
Harvard University,2019,21592
Harvard University,2020,21864
Harvard University,2021,21766
Harvard University,2022,21263
Johns Hopkins University,2019,20823
Johns Hopkins University,2020,22559
Johns Hopkins University,2021,25917
Johns Hopkins University,2022,25231
Massachusetts Institute of Technology,2019,6990
Massachusetts Institute of Technology,2020,6893
Massachusetts Institute of Technology,2021,7296
Massachusetts Institute of Technology,2022,7201
Northwestern University,2019,13766
Northwestern University,2020,14044
Northwestern University,2021,14562
Northwestern University,2022,14168
Ohio State University,2019,14573
Ohio State University,2020,14385
Ohio State University,2021,14571
Ohio State University,2022,14417
Penn State University,2019,15328
Penn State University,2022,8283
Princeton University,2019,2997
Princeton University,2020,3079
Princeton University,2021,3157
Princeton University,2022,3238
Stanford University,2019,10253
Stanford University,2020,9587
Stanford University,2021,10035
Stanford University,2022,10234
"University of California, Berkeley",2019,11837
"University of California, Berkeley",2020,11528
"University of California, Berkeley",2021,13222
"University of California, Berkeley",2022,12828
"University of California, Los Angeles",2019,12828
"University of California, Los Angeles",2020,12953
"University of California, Los Angeles",2021,13994
"University of California, Los Angeles",2022,14007
"University of California, San Diego",2019,7942
"University of California, San Diego",2020,7734
"University of California, San Diego",2021,8542
"University of California, San Diego",2022,8910
University of Chicago,2019,10561
University of Chicago,2020,10778
University of Chicago,2021,11196
University of Chicago,2022,10744
University of Illinois Urbana-Champaign,2019,17485
University of Illinois Urbana-Champaign,2020,18996
University of Illinois Urbana-Champaign,2021,21828
University of Illinois Urbana-Champaign,2022,21796
University of Michigan,2019,16824
University of Michigan,2020,16578
University of Michigan,2021,17996
University of Michigan,2022,18530
University of Pennsylvania,2019,14803
University of Pennsylvania,2020,15397
University of Pennsylvania,2021,16746
University of Pennsylvania,2022,16951
University of Texas at Austin,2019,10927
University of Texas at Austin,2020,10428
University of Texas at Austin,2021,11075
University of Texas at Austin,2022,11075
University of Washington,2019,15530
University of Washington,2020,15905
University of Washington,2021,16233
University of Washington,2022,16106
Yale University,2019,7517
Yale University,2020,7357
Yale University,2021,8031
Yale University,2022,8131
