state,ncessch,school_code,school_name,score,running,cutoff,treat,titlei,grad_rate,econ_disadv_share,achievement,enrollment,is_high,next_score,award,got_funds,sharpness
WA,530804002158,1502,Two Rivers School,3.25,0.9750000000000001,2.275,0,False,,0.1818181818181818,49.75,74.0,1.0,3.4,0.0,0,0.9989811512990321
WA,530669002463,1516,Henderson Bay Alt High School,3.8,1.525,2.275,0,False,,0.4285714285714285,20.0,146.0,1.0,3.1,0.0,0,0.9989811512990321
WA,530240001189,1520,Challenge Elementary,9.68,7.404999999999999,2.275,0,False,,0.125,98.25,323.0,0.0,9.95,0.0,0,0.9989811512990321
WA,530354002640,1539,CHOICE Academy,9.12,6.844999999999999,2.275,0,True,,0.4166666666666667,72.0,189.0,1.0,9.13,0.0,0,0.9989811512990321
WA,530771002349,1547,Middle College High School,6.12,3.845,2.275,0,False,,0.3636363636363636,49.75,72.0,1.0,6.78,0.0,0,0.9989811512990321
WA,530825002364,1567,Pratt Academy,2.25,-0.02499999999999991,2.275,1,True,,0.8333333333333334,10.0,65.0,1.0,2.4,53512.0,1,0.9989811512990321
WA,530927002408,1574,Jim Tangeman Center,1.05,-1.2249999999999999,2.275,1,True,,0.7931034482758621,10.0,54.0,1.0,1.1,0.0,0,0.9989811512990321
WA,530771001307,1579,Tops K-8 School,9.15,6.875,2.275,0,False,,0.3009118541033435,70.0,491.0,0.0,9.1,0.0,0,0.9989811512990321
WA,530771001102,1620,Pathfinder K-8 School,6.6,4.324999999999999,2.275,0,False,,0.1627906976744186,72.5,494.0,0.0,6.43,0.0,0,0.9989811512990321
WA,530969002244,1628,Dishman Hills High School,3.55,1.275,2.275,0,True,,0.9636363636363636,24.75,262.0,1.0,3.7,0.0,0,0.9989811512990321
WA,530696003315,1640,Puyallup Online Academy/POA,3.95,1.6750000000000003,2.275,0,False,,0.4,49.5,197.0,1.0,3.45,0.0,0,0.9989811512990321
WA,530486002475,1656,10th Street School,4.2,1.9250000000000003,2.275,0,False,,0.2588235294117647,62.0,178.0,0.0,3.63,0.0,0,0.9989811512990321
WA,530486002476,1657,Heritage School,2.05,-0.2250000000000001,2.275,1,True,,0.8235294117647058,17.25,102.0,1.0,2.55,52813.0,1,0.9989811512990321
WA,530423002448,1658,Discovery Community  School,7.48,5.205,2.275,0,False,,0.027027027027027,79.5,70.0,0.0,8.85,0.0,0,0.9989811512990321
WA,530240002474,1685,Maplewood Parent Coop,8.85,6.574999999999999,2.275,0,False,,0.0977917981072555,84.0,489.0,0.0,8.25,0.0,0,0.9989811512990321
WA,530423002519,1687,Explorer Community School,6.88,4.605,2.275,0,False,,,95.0,72.0,0.0,7.7,0.0,0,0.9989811512990321
WA,530423002725,1688,Emerson K-12,8.65,6.375,2.275,0,False,,0.1282051282051282,69.5,61.0,1.0,8.4,0.0,0,0.9989811512990321
WA,530927002508,1689,Vancouver School of Arts and Academics,7.12,4.845000000000001,2.275,0,False,,0.2431693989071038,76.0,592.0,1.0,6.83,0.0,0,0.9989811512990321
WA,530033002523,1699,Odyssey Multiage Program,9.85,7.574999999999999,2.275,0,False,,0.053763440860215,84.5,187.0,0.0,9.58,0.0,0,0.9989811512990321
WA,530423002568,1706,International Community School,9.77,7.494999999999999,2.275,0,False,,0.0202020202020202,96.5,429.0,1.0,9.85,0.0,0,0.9989811512990321
WA,530834002594,1707,Lincoln Hill High School,3.57,1.295,2.275,0,False,,0.4827586206896552,29.75,158.0,1.0,3.7,0.0,0,0.9989811512990321
WA,530783002552,1708,Olympic Peninsula Academy,5.05,2.775,2.275,0,False,,0.3833333333333333,64.5,96.0,1.0,6.55,0.0,0,0.9989811512990321
WA,530228002600,1712,Continuous Curriculum School,7.7,5.425000000000001,2.275,0,False,,0.3160919540229885,63.5,471.0,0.0,7.58,0.0,0,0.9989811512990321
WA,530024002589,1714,Stillaguamish Valley Learning Center,4.85,2.5749999999999997,2.275,0,False,,0.2692307692307692,44.5,64.0,0.0,3.63,0.0,0,0.9989811512990321
WA,530816002575,1718,Explorer Academy,3.77,1.495,2.275,0,False,,0.3152173913043478,52.0,197.0,1.0,3.73,0.0,0,0.9989811512990321
WA,530576002653,1733,North Kitsap Online Academy & Parent Assisted Learning,1.67,-0.605,2.275,1,False,,0.4705882352941176,37.0,47.0,1.0,1.55,0.0,0,0.9989811512990321
WA,530066002573,1737,Renaissance Alternative High School,2.22,-0.054999999999999716,2.275,1,True,,0.8333333333333334,20.0,120.0,1.0,2.9,52246.0,1,0.9989811512990321
WA,530066002652,1749,Bremerton Homelink Program,4.05,1.775,2.275,0,False,,0.4,59.5,36.0,0.0,4.88,0.0,0,0.9989811512990321
WA,530969002685,1755,West Valley City School,3.22,0.9450000000000003,2.275,0,True,,0.450261780104712,44.5,174.0,0.0,2.83,34403.0,1,0.9989811512990321
WA,530594002628,1758,Homeconnection,4.62,2.345,2.275,0,False,,0.1842105263157894,59.5,208.0,1.0,4.95,0.0,0,0.9989811512990321
WA,530126002687,1763,Quartzite Learning,4.3,2.025,2.275,0,False,,0.5370370370370371,34.5,119.0,1.0,3.65,0.0,0,0.9989811512990321
WA,530618002689,1768,Avanti High School,6.4,4.125,2.275,0,False,,0.2571428571428571,64.5,147.0,1.0,6.1,0.0,0,0.9989811512990321
WA,530123002684,1769,Three Springs High School,3.1,0.8250000000000002,2.275,0,False,,0.7333333333333333,49.75,62.0,1.0,3.65,0.0,0,0.9989811512990321
WA,530792002646,1771,Home Education Exchange,8.65,6.375,2.275,0,False,,0.0588235294117647,69.5,129.0,0.0,9.05,0.0,0,0.9989811512990321
WA,530513002675,1777,Sky Valley Education Center,3.92,1.645,2.275,0,False,,0.1292517006802721,48.0,754.0,1.0,3.98,0.0,0,0.9989811512990321
WA,530723002721,1784,H.O.M.E. Program,6.58,4.305,2.275,0,False,,0.0789473684210526,79.5,122.0,1.0,5.88,0.0,0,0.9989811512990321
WA,530282002719,1789,Federal Way Public Academy,7.92,5.645,2.275,0,False,,0.3647540983606557,74.5,315.0,0.0,9.45,0.0,0,0.9989811512990321
WA,531005002713,1795,Woodland Alternative School,3.97,1.6950000000000003,2.275,0,False,,0.5333333333333333,24.5,63.0,1.0,4.0,0.0,0,0.9989811512990321
WA,530771002716,1796,Salmon Bay K-8 School,8.75,6.475,2.275,0,False,,0.0835073068893528,74.0,675.0,0.0,8.55,0.0,0,0.9989811512990321
WA,530684002791,1798,OCEAN,2.4,0.125,2.275,0,False,,0.5945945945945946,29.75,61.0,1.0,2.45,0.0,0,0.9989811512990321
WA,530423002726,1800,Environmental & Adventure School,8.57,6.295,2.275,0,False,,0.0294117647058823,87.0,139.0,0.0,8.85,0.0,0,0.9989811512990321
WA,530591002730,1814,Northshore Networks,4.55,2.275,2.275,0,False,,0.1818181818181818,49.5,133.0,1.0,,0.0,0,0.9989811512990321
WA,530038002782,1836,CAM Academy,9.82,7.545,2.275,0,False,,0.1608579088471849,87.5,544.0,1.0,9.63,0.0,0,0.9989811512990321
