outcome,statistic,value
concentration,intercept,1.6823635126991516
concentration,slope_growth_share,-0.7541975768544704
concentration,slope_se,0.2692540283221054
concentration,slope_t,-2.8010632990501922
concentration,slope_p,0.005093452712766083
concentration,r2,0.19345344699760358
concentration,n_states,39.0
poverty_gradient,intercept,0.404200333889479
poverty_gradient,slope_growth_share,-0.3977806041995112
poverty_gradient,slope_se,0.09140659686494494
poverty_gradient,slope_t,-4.351771292691708
poverty_gradient,slope_p,1.3504208988912762e-05
poverty_gradient,r2,0.146546187001526
poverty_gradient,n_states,39.0
concentration_ctrl,slope_growth_share,-0.671508442943672
concentration_ctrl,slope_se,0.2376745348338612
concentration_ctrl,slope_p,0.004723228534245409
concentration_ctrl,ctrl_mean_poverty,-0.7657316984529694
concentration_ctrl,r2,0.38128316662482176
concentration_ctrl,n_states,39.0
