section,statistic,value
decile,D1_prevalence,0.01988984088127295
decile,D1_mean_identify_freq,0.021239137086903302
decile,D1_flip_rate,0.02555079559363525
decile,D1_mean_poverty,0.17964857308839516
decile,D1_n,6536.0
decile,D2_prevalence,0.029992348890589136
decile,D2_mean_identify_freq,0.03085087987758225
decile,D2_flip_rate,0.04085692425401683
decile,D2_mean_poverty,0.3441800854900342
decile,D2_n,6535.0
decile,D3_prevalence,0.028304773561811505
decile,D3_mean_identify_freq,0.029006655446756426
decile,D3_flip_rate,0.04299265605875153
decile,D3_mean_poverty,0.43346430902811367
decile,D3_n,6536.0
decile,D4_prevalence,0.04254016832440704
decile,D4_mean_identify_freq,0.04157153787299159
decile,D4_flip_rate,0.0576893649579189
decile,D4_mean_poverty,0.5076692230247739
decile,D4_n,6535.0
decile,D5_prevalence,0.04681762545899633
decile,D5_mean_identify_freq,0.045104880660954715
decile,D5_flip_rate,0.07145042839657283
decile,D5_mean_poverty,0.5796198136162305
decile,D5_n,6536.0
decile,D6_prevalence,0.07452180566182097
decile,D6_mean_identify_freq,0.07017995409334353
decile,D6_flip_rate,0.1009946442234124
decile,D6_mean_poverty,0.6550190850355699
decile,D6_n,6535.0
decile,D7_prevalence,0.09747513389441469
decile,D7_mean_identify_freq,0.0929531752104055
decile,D7_flip_rate,0.1384850803366488
decile,D7_mean_poverty,0.7377161563785546
decile,D7_n,6535.0
decile,D8_prevalence,0.13127294981640147
decile,D8_mean_identify_freq,0.1250875917992656
decile,D8_flip_rate,0.15789473684210525
decile,D8_mean_poverty,0.827256566747394
decile,D8_n,6536.0
decile,D9_prevalence,0.14429992348890588
decile,D9_mean_identify_freq,0.13936480489671002
decile,D9_flip_rate,0.2071920428462127
decile,D9_mean_poverty,0.9141622389071594
decile,D9_n,6535.0
decile,D10_prevalence,0.14244186046511628
decile,D10_mean_identify_freq,0.13756762545899634
decile,D10_flip_rate,0.21848225214198286
decile,D10_mean_poverty,0.9893704184498847
decile,D10_n,6536.0
contrast,prevalence_top_pov_quartile,0.1417467409266173
contrast,prevalence_bottom_pov_quartile,0.0252157414774466
contrast,ratio_top_over_bottom,5.621359223300971
logit_coef,econ_disadv_share,2.716854217730118
logit_se,econ_disadv_share,0.18799041610325917
logit_p,econ_disadv_share,2.431964871030157e-47
logit_coef,log_enroll,-0.7925220249081483
logit_se,log_enroll,0.04999076817846617
logit_p,log_enroll,1.332450383741259e-56
logit_coef,is_high,1.7521570817314547
logit_se,is_high,0.1277076045762917
logit_p,is_high,7.699263933103562e-43
logit_coef,charter,0.1752847395863577
logit_se,charter,0.064067453822829
logit_p,charter,0.0062202277983233675
logit_or,per_0.1_poverty_share,1.3121741549591093
logit_fit,pseudo_r2,0.22508369597041433
logit_fit,n,65333.0
logit_fit,n_state_clusters,50.0
sweep,mean_poverty_identified_p05,0.7417115683701659
sweep,mean_poverty_identified_p95,0.7775101650283746
sweep,share_top_pov_quartile_min,0.3917765709852598
sweep,share_top_pov_quartile_max,0.534576067348166
sweep,corr_growth_weight_vs_identified_poverty,-0.7839797883446038
