state,outcome,specification,statistic,value
CT,treat,elem_middle primary,tau,1.0000000000000002
CT,treat,elem_middle primary,se,1.6643156019199148e-16
CT,treat,elem_middle primary,t,6008475789366056.0
CT,treat,elem_middle primary,n,76.0
CT,treat,elem_middle primary,n_treated_in_window,25.0
CT,treat,elem_middle primary,bandwidth,6.07
CT,treat,elem_middle h=3.035,tau,0.9999999999999997
CT,treat,elem_middle h=3.035,se,2.5109388304643704e-16
CT,treat,elem_middle h=4.552,tau,0.9999999999999998
CT,treat,elem_middle h=4.552,se,1.159241582460684e-16
CT,treat,elem_middle h=6.07,tau,1.0000000000000002
CT,treat,elem_middle h=6.07,se,1.6643156019199148e-16
CT,treat,elem_middle h=9.105,tau,1.0000000000000018
CT,treat,elem_middle h=9.105,se,3.2423381043694256e-16
CT,treat,elem_middle h=12.14,tau,1.000000000000001
CT,treat,elem_middle h=12.14,se,1.1013390032683178e-15
CT,next_score,elem_middle primary,tau,5.167248598368077
CT,next_score,elem_middle primary,se,7.786149915454049
CT,next_score,elem_middle primary,t,0.6636461735872894
CT,next_score,elem_middle primary,n,75.0
CT,next_score,elem_middle primary,n_treated_in_window,25.0
CT,next_score,elem_middle primary,bandwidth,6.07
CT,next_score,elem_middle h=3.035,tau,2.200479064273467
CT,next_score,elem_middle h=3.035,se,10.667019642219785
CT,next_score,elem_middle h=4.552,tau,3.8877575250854126
CT,next_score,elem_middle h=4.552,se,8.96404382840022
CT,next_score,elem_middle h=6.07,tau,5.167248598368077
CT,next_score,elem_middle h=6.07,se,7.786149915454049
CT,next_score,elem_middle h=9.105,tau,7.254792869398548
CT,next_score,elem_middle h=9.105,se,6.6872520413585415
CT,next_score,elem_middle h=12.14,tau,8.89943320636629
CT,next_score,elem_middle h=12.14,se,6.309730039992703
CT,running_density,elem_middle primary,mccrary_z,-0.5536685114341593
CT,cov:enrollment,elem_middle primary,tau,-26.713960670294227
CT,cov:enrollment,elem_middle primary,t,-0.1908046755148825
CT,cov:achievement,elem_middle primary,tau,0.41864863291730536
CT,cov:achievement,elem_middle primary,t,0.09112291290047571
CT,cov:econ_disadv_share,elem_middle primary,tau,0.06314890068832435
CT,cov:econ_disadv_share,elem_middle primary,t,1.231033395489629
CT,next_score|high_poverty,elem_middle primary,tau,3.840129995821961
CT,next_score|high_poverty,elem_middle primary,se,2.163299540545327
CT,next_score|high_poverty,elem_middle primary,n_treated_in_window,20.0
CT,next_score|low_poverty,elem_middle primary,tau,
CT,next_score|low_poverty,elem_middle primary,se,
CT,next_score|low_poverty,elem_middle primary,n_treated_in_window,0.0
CT,margin_density,elem_middle primary,share_near_cutoff_high_poverty,0.8421052631578947
CT,margin_density,elem_middle primary,n_near_cutoff,76.0
CT,treat,high primary,tau,
CT,treat,high primary,se,
CT,treat,high primary,t,
CT,treat,high primary,n,9.0
CT,treat,high primary,n_treated_in_window,0.0
CT,treat,high primary,bandwidth,6.07
CT,treat,high h=3.035,tau,
CT,treat,high h=3.035,se,
CT,treat,high h=4.552,tau,
CT,treat,high h=4.552,se,
CT,treat,high h=6.07,tau,
CT,treat,high h=6.07,se,
CT,treat,high h=9.105,tau,0.0
CT,treat,high h=9.105,se,0.0
CT,treat,high h=12.14,tau,0.0
CT,treat,high h=12.14,se,0.0
CT,next_score,high primary,tau,
CT,next_score,high primary,se,
CT,next_score,high primary,t,
CT,next_score,high primary,n,9.0
CT,next_score,high primary,n_treated_in_window,0.0
CT,next_score,high primary,bandwidth,6.07
CT,next_score,high h=3.035,tau,
