analysis,specification,statistic,value
rdd:got_funds,bandwidth h=0.5,tau,-0.10027661103394708
rdd:got_funds,bandwidth h=0.5,se,0.18122501472875094
rdd:got_funds,bandwidth h=0.75,tau,-0.10664810334104215
rdd:got_funds,bandwidth h=0.75,se,0.14922099994532173
rdd:got_funds,bandwidth h=1.0,tau,-0.1488681857096902
rdd:got_funds,bandwidth h=1.0,se,0.13104122137939592
rdd:got_funds,bandwidth h=1.25,tau,-0.14833152406509525
rdd:got_funds,bandwidth h=1.25,se,0.11915267675876193
rdd:got_funds,bandwidth h=1.5,tau,-0.12893207063876852
rdd:got_funds,bandwidth h=1.5,se,0.11286497548657244
rdd:got_funds,bandwidth h=2.0,tau,-0.09093811079739084
rdd:got_funds,bandwidth h=2.0,se,0.10421806582438271
rdd:got_funds,local quadratic h=1.0,tau,-0.0648983594332001
rdd:got_funds,local quadratic h=1.0,se,0.1868183212252894
rdd:got_funds,donut 0.1 h=1.0,tau,-0.1668239789019857
rdd:got_funds,donut 0.1 h=1.0,se,0.1766543801829684
rdd:got_funds,donut 0.2 h=1.0,tau,-0.10133181482304499
rdd:got_funds,donut 0.2 h=1.0,se,0.22483900821588126
rdd:got_funds,h=1.0,mde_80pct,0.3669154198623085
rdd:award,bandwidth h=0.5,tau,-2827.4628690845966
rdd:award,bandwidth h=0.5,se,8356.040991387044
rdd:award,bandwidth h=0.75,tau,-2884.5604898922056
rdd:award,bandwidth h=0.75,se,6900.410590218054
rdd:award,bandwidth h=1.0,tau,-4736.012688902295
rdd:award,bandwidth h=1.0,se,6021.3968805975555
rdd:award,bandwidth h=1.25,tau,-4879.274398125523
rdd:award,bandwidth h=1.25,se,5449.211713479154
rdd:award,bandwidth h=1.5,tau,-4071.1901079651175
rdd:award,bandwidth h=1.5,se,5158.476231858158
rdd:award,bandwidth h=2.0,tau,-2250.8509600002953
rdd:award,bandwidth h=2.0,se,4787.184731630001
rdd:award,local quadratic h=1.0,tau,-1086.5468933744364
rdd:award,local quadratic h=1.0,se,8611.49746792825
rdd:award,donut 0.1 h=1.0,tau,-5774.584754228181
rdd:award,donut 0.1 h=1.0,se,7969.195151804583
rdd:award,donut 0.2 h=1.0,tau,-5040.055564576932
rdd:award,donut 0.2 h=1.0,se,9956.679829471066
rdd:award,h=1.0,mde_80pct,16859.911265673156
rdd:next_score,bandwidth h=0.5,tau,0.23919728894595005
rdd:next_score,bandwidth h=0.5,se,0.3137177059567155
rdd:next_score,bandwidth h=0.75,tau,-0.013896637785875438
rdd:next_score,bandwidth h=0.75,se,0.2507382047593075
rdd:next_score,bandwidth h=1.0,tau,-0.0747777415198925
rdd:next_score,bandwidth h=1.0,se,0.21871994408118353
rdd:next_score,bandwidth h=1.25,tau,-0.06487599956502449
rdd:next_score,bandwidth h=1.25,se,0.19760460079104591
rdd:next_score,bandwidth h=1.5,tau,-0.056035594433837946
rdd:next_score,bandwidth h=1.5,se,0.18576697551281943
rdd:next_score,bandwidth h=2.0,tau,-0.05659288569416708
rdd:next_score,bandwidth h=2.0,se,0.16723022079520541
rdd:next_score,local quadratic h=1.0,tau,0.1387568401846807
rdd:next_score,local quadratic h=1.0,se,0.3215856021660739
rdd:next_score,donut 0.1 h=1.0,tau,-0.2649177883094063
rdd:next_score,donut 0.1 h=1.0,se,0.26206123565495093
rdd:next_score,donut 0.2 h=1.0,tau,-0.548038391573309
rdd:next_score,donut 0.2 h=1.0,se,0.37524603227833714
rdd:next_score,h=1.0,mde_80pct,0.6124158434273138
placebo:got_funds,fake cutoff q=0.25,tau,-0.05541062654635472
placebo:got_funds,fake cutoff q=0.25,se,0.07035052846399421
placebo:next_score,fake cutoff q=0.25,tau,0.06741121223043178
placebo:next_score,fake cutoff q=0.25,se,0.17364755728575154
placebo:got_funds,fake cutoff q=0.5,tau,-0.009772346880462201
placebo:got_funds,fake cutoff q=0.5,se,0.05160801537585847
placebo:next_score,fake cutoff q=0.5,tau,-0.27625899350253
placebo:next_score,fake cutoff q=0.5,se,0.1831279245417324
placebo:got_funds,fake cutoff q=0.75,tau,0.0035841445134929895
placebo:got_funds,fake cutoff q=0.75,se,0.027774541718109794
placebo:next_score,fake cutoff q=0.75,tau,0.11010306033947237
placebo:next_score,fake cutoff q=0.75,se,0.16643257068813982
weight:population,all Title I,mean_poverty,0.6168095040869476
weight:bottom_3pct,threshold,n_identified,1947.0
weight:bottom_3pct,threshold,mean_poverty_identified,0.7911816791989155
weight:bottom_3pct,threshold,poverty_concentration_ratio,1.2827002080165546
weight:bottom_5pct,threshold,n_identified,3260.0
weight:bottom_5pct,threshold,mean_poverty_identified,0.7918228481461284
weight:bottom_5pct,threshold,poverty_concentration_ratio,1.2837397006686044
weight:bottom_10pct,threshold,n_identified,6542.0
weight:bottom_10pct,threshold,mean_poverty_identified,0.775342191810878
weight:bottom_10pct,threshold,poverty_concentration_ratio,1.257020500938298
weight:instability,baseline-identified,flip_rate,0.4678
weight:instability,baseline-identified,mean_identify_freq,0.8460521999999999
