state,n_schools,w_achievement,w_grad,w_quality,w_growth,growth_share,n_identified,mean_poverty_base,concentration,poverty_gradient
KS,790,1.0,0.0,0.0,0.0,0.0,39,0.555442942371369,1.5127798747237613,0.34047324305802257
SD,417,0.6666666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333,20,0.46420250439193717,1.9205688403278172,0.22402064669862265
LA,822,0.5,0.0,0.25,0.25,0.3333333333333333,41,0.7763828125396733,1.2185232741408925,0.33600531555321295
MA,866,0.4444444444444444,0.0,0.2777777777777778,0.2777777777777778,0.38461538461538464,43,0.4609664007894263,1.7407814105599018,0.2724323270150377
RI,171,0.27586206896551724,0.0,0.5172413793103449,0.20689655172413793,0.42857142857142855,8,0.5440156906153405,1.548174853730602,0.2003264473171049
MO,1295,0.5714285714285714,0.0,0.0,0.42857142857142855,0.42857142857142855,64,0.6335147742365319,1.4483672182751626,0.23483718064659365
ME,362,0.525,0.0,0.0,0.475,0.475,18,0.4858375042946945,1.1644075298623568,0.12089651238408274
WV,309,0.5,0.0,0.0,0.5,0.5,15,0.5076153157317476,1.0408635535574113,0.08984903034831326
UT,287,0.5,0.0,0.0,0.5,0.5,14,0.598958706993119,1.2862536456785,0.15969185777189537
TX,5271,0.5,0.0,0.0,0.5,0.5,263,0.7065753490793207,1.168300955586341,0.14221415002275511
SC,503,0.4375,0.0,0.125,0.4375,0.5,25,0.7879863074954646,1.1512710510518476,0.39627746193623387
OK,1013,0.46153846153846156,0.0,0.07692307692307693,0.46153846153846156,0.5,50,0.7345701343029218,1.1995992459365379,0.1367271422916494
WI,1135,0.5,0.0,0.0,0.5,0.5,56,0.5175225508453846,1.3382449717062233,0.1721676166434591
AL,680,0.5,0.0,0.0,0.5,0.5,34,0.6505726072210486,1.1766723566331148,0.2367512617755314
IN,1121,0.5,0.0,0.0,0.5,0.5,56,0.5618900977181367,1.3178047143621163,0.27119494091473745
FL,2327,0.5,0.0,0.0,0.5,0.5,116,0.6915040297950876,1.1917804003298513,0.2132784072004279
HI,145,0.5,0.0,0.0,0.5,0.5,7,0.6573177647365022,1.1998474528913614,0.33123376898008694
WY,163,0.5,0.0,0.0,0.5,0.5,8,0.4571308506862145,1.4257526814306316,0.36488365581053733
TN,1144,0.375,0.0,0.1875,0.4375,0.5384615384615384,57,0.43534446804576543,1.4149174045231092,0.2965792506675365
MI,1531,0.46028571428571424,0.0,0.0,0.5397142857142857,0.5397142857142857,76,0.6395709092557067,1.3453735210013478,0.21573303477021388
MT,536,0.38461538461538464,0.0,0.15384615384615385,0.46153846153846156,0.5454545454545454,26,0.48452857151322243,1.0481741710596049,0.011249826204309171
MD,582,0.4444444444444444,0.0,0.0,0.5555555555555556,0.5555555555555556,29,0.6201539090772415,1.2188890578301774,0.20130640378474013
WA,1122,0.4444444444444444,0.0,0.0,0.5555555555555556,0.5555555555555556,56,0.6047789169265706,1.2690542299395857,0.1975688208988501
KY,854,0.4444444444444444,0.0,0.0,0.5555555555555556,0.5555555555555556,42,0.6677498356897885,1.2046180933404094,0.31296792633919973
NM,501,0.44,0.0,0.0,0.56,0.56,25,0.8666083171013387,1.1097022341820464,0.10801702658506894
OH,2013,0.4286833855799373,0.0,0.0,0.5713166144200628,0.5713166144200628,100,0.6202382038035664,1.5631718316737409,0.18523248984001783
NJ,1283,0.42857142857142855,0.0,0.0,0.5714285714285714,0.5714285714285714,64,0.4382282277728494,1.5487876379309475,0.1512033558729054
DE,112,0.3333333333333333,0.0,0.2222222222222222,0.4444444444444444,0.5714285714285714,5,0.4252030544068116,1.667540353903757,0.6653755103137547
CT,493,0.42857142857142855,0.0,0.0,0.5714285714285714,0.5714285714285714,24,0.5228746787639849,1.465059695145124,0.16866528379451837
AK,141,0.4,0.0,0.06666666666666667,0.5333333333333333,0.5714285714285714,7,0.5806379052037748,0.958231960647746,-0.04496225990888024
DC,136,0.3157894736842105,0.0,0.2631578947368421,0.42105263157894735,0.5714285714285714,6,0.5586552954735704,1.0589731143410466,0.04645165276145094
GA,1280,0.4166666666666667,0.0,0.0,0.5833333333333334,0.5833333333333334,64,0.8285354581090499,1.1683687869070765,0.1712165789890856
NV,388,0.35714285714285715,0.0,0.14285714285714285,0.5,0.5833333333333334,19,0.7958913015614969,1.0764368249877472,0.0580507229039344
AR,655,0.35,0.0,0.15,0.5,0.5882352941176471,32,0.7170979102349253,1.2544703519565759,0.20447791532980614
AZ,1254,0.375,0.0,0.0,0.625,0.625,62,0.5990073344891363,1.2646673626370315,0.08279808170078379
MS,538,0.34146341463414637,0.0,0.0,0.6585365853658537,0.6585365853658537,26,0.7873663054712564,1.2149634905365987,0.15871721436188552
CO,577,0.26477272727272727,0.0,0.18977272727272726,0.5454545454545454,0.6732117812061711,28,0.6818187182449649,1.1229473300089186,0.11399248313726634
IL,2326,0.2857142857142857,0.0,0.0,0.7142857142857143,0.7142857142857143,116,0.5797611827383113,1.152644037867866,0.06489365570787697
IA,759,0.22950819672131148,0.0,0.0,0.7704918032786885,0.7704918032786885,37,0.4858810770744928,1.0807777011337931,0.05275718868291743
