outcome,tau,se,t,n,n_treated_in_window
award,-4736.0127,6021.3969,-0.7865,266.0,103.0
award|high_poverty,-6064.8662,6358.4673,,,91.0
award|low_poverty,-2344.326,4205.3245,,,5.0
cov:achievement,-2.6011,2.1921,-1.1866,,
cov:econ_disadv_share,-0.0273,0.0379,-0.7198,,
cov:enrollment,-66.8581,67.2116,-0.9947,,
cov:is_high,0.1942,0.083,2.3405,,
got_funds,-0.1489,0.131,-1.136,266.0,103.0
got_funds|high_poverty,-0.1872,0.1377,,,91.0
got_funds|low_poverty,-0.041,0.0903,,,5.0
next_score,-0.0748,0.2187,-0.3419,265.0,102.0
next_score|high_poverty,-0.0487,0.2338,,,90.0
next_score|low_poverty,-0.4531,1.2558,,,5.0
treat,0.9227,0.0524,17.6187,266.0,103.0
