analysis,specification,mde_80pct,se,tau
rdd:award,bandwidth h=0.5,,8356.041,-2827.4629
rdd:award,bandwidth h=0.75,,6900.4106,-2884.5605
rdd:award,bandwidth h=1.0,,6021.3969,-4736.0127
rdd:award,bandwidth h=1.25,,5449.2117,-4879.2744
rdd:award,bandwidth h=1.5,,5158.4762,-4071.1901
rdd:award,bandwidth h=2.0,,4787.1847,-2250.851
rdd:award,donut 0.1 h=1.0,,7969.1952,-5774.5848
rdd:award,donut 0.2 h=1.0,,9956.6798,-5040.0556
rdd:award,h=1.0,16859.9113,,
rdd:award,local quadratic h=1.0,,8611.4975,-1086.5469
rdd:got_funds,bandwidth h=0.5,,0.1812,-0.1003
rdd:got_funds,bandwidth h=0.75,,0.1492,-0.1066
rdd:got_funds,bandwidth h=1.0,,0.131,-0.1489
rdd:got_funds,bandwidth h=1.25,,0.1192,-0.1483
rdd:got_funds,bandwidth h=1.5,,0.1129,-0.1289
rdd:got_funds,bandwidth h=2.0,,0.1042,-0.0909
rdd:got_funds,donut 0.1 h=1.0,,0.1767,-0.1668
rdd:got_funds,donut 0.2 h=1.0,,0.2248,-0.1013
rdd:got_funds,h=1.0,0.3669,,
rdd:got_funds,local quadratic h=1.0,,0.1868,-0.0649
rdd:next_score,bandwidth h=0.5,,0.3137,0.2392
rdd:next_score,bandwidth h=0.75,,0.2507,-0.0139
rdd:next_score,bandwidth h=1.0,,0.2187,-0.0748
rdd:next_score,bandwidth h=1.25,,0.1976,-0.0649
rdd:next_score,bandwidth h=1.5,,0.1858,-0.056
rdd:next_score,bandwidth h=2.0,,0.1672,-0.0566
rdd:next_score,donut 0.1 h=1.0,,0.2621,-0.2649
rdd:next_score,donut 0.2 h=1.0,,0.3752,-0.548
rdd:next_score,h=1.0,0.6124,,
rdd:next_score,local quadratic h=1.0,,0.3216,0.1388
