country,year,program,tier,stipend_annual_local,currency,tax_status,source,source_url,accessed,note
UK,2019,UKRI minimum doctoral stipend,national_floor,15009,GBP,tax_free,UK Research and Innovation,https://www.ukri.org/wp-content/uploads/2025/01/UKRI_290125_Minimum-stipend-levels-to-2024-25.csv,2026-07-01,academic year 2019/20
UK,2020,UKRI minimum doctoral stipend,national_floor,15285,GBP,tax_free,UK Research and Innovation,https://www.ukri.org/wp-content/uploads/2025/01/UKRI_290125_Minimum-stipend-levels-to-2024-25.csv,2026-07-01,academic year 2020/21
UK,2021,UKRI minimum doctoral stipend,national_floor,15609,GBP,tax_free,UK Research and Innovation,https://www.ukri.org/wp-content/uploads/2025/01/UKRI_290125_Minimum-stipend-levels-to-2024-25.csv,2026-07-01,academic year 2021/22
UK,2022,UKRI minimum doctoral stipend,national_floor,17668,GBP,tax_free,UK Research and Innovation,https://www.ukri.org/wp-content/uploads/2025/01/UKRI_290125_Minimum-stipend-levels-to-2024-25.csv,2026-07-01,academic year 2022/23; initial 16062 uplifted to 17668 from 1 Oct 2022
UK,2023,UKRI minimum doctoral stipend,national_floor,18622,GBP,tax_free,UK Research and Innovation,https://www.ukri.org/wp-content/uploads/2025/01/UKRI_290125_Minimum-stipend-levels-to-2024-25.csv,2026-07-01,academic year 2023/24
UK,2024,UKRI minimum doctoral stipend,national_floor,19237,GBP,tax_free,UK Research and Innovation,https://www.ukri.org/wp-content/uploads/2025/01/UKRI_290125_Minimum-stipend-levels-to-2024-25.csv,2026-07-01,academic year 2024/25
UK,2025,UKRI minimum doctoral stipend,national_floor,20780,GBP,tax_free,UK Research and Innovation,https://www.ukri.org/news/ukri-is-increasing-phd-stipends-and-improving-student-support/,2026-07-01,academic year 2025/26
CA,2019,CGS-D (Canada Graduate Scholarship doctoral),national_selective,35000,CAD,tax_exempt,Government of Canada (tri-agency),https://www.canada.ca/en/innovation-science-economic-development/news/2024/05/government-of-canada-announces-details-of-increase-in-award-values-for-federal-scholarships-and-fellowships.html,2026-07-01,value held at 35000 for ~two decades before 2024 increase
CA,2023,CGS-D (Canada Graduate Scholarship doctoral),national_selective,35000,CAD,tax_exempt,Government of Canada (tri-agency),https://www.canada.ca/en/innovation-science-economic-development/news/2024/05/government-of-canada-announces-details-of-increase-in-award-values-for-federal-scholarships-and-fellowships.html,2026-07-01,pre-increase value
CA,2024,CGS-D (Canada Graduate Scholarship doctoral),national_selective,40000,CAD,tax_exempt,Government of Canada (tri-agency),https://www.canada.ca/en/innovation-science-economic-development/news/2024/05/government-of-canada-announces-details-of-increase-in-award-values-for-federal-scholarships-and-fellowships.html,2026-07-01,raised from 35000 effective 2024-09-01
CA,2025,CGS-D (Canada Graduate Scholarship doctoral),national_selective,40000,CAD,tax_exempt,Government of Canada (tri-agency),https://www.canada.ca/en/innovation-science-economic-development/news/2024/05/government-of-canada-announces-details-of-increase-in-award-values-for-federal-scholarships-and-fellowships.html,2026-07-01,harmonized CGRS-D value
CA,2019,PGS-D (NSERC Postgraduate Scholarship doctoral),national_broad,21000,CAD,tax_exempt,Government of Canada (tri-agency),https://www.canada.ca/en/innovation-science-economic-development/news/2024/05/government-of-canada-announces-details-of-increase-in-award-values-for-federal-scholarships-and-fellowships.html,2026-07-01,value held at 21000 for ~two decades before 2024 increase
