country,region,year,benchmark_type,hourly_local,hours_per_week,weeks,currency,source,source_url,accessed,note
UK,national,2019,basic_needs_livingwage,9.30,37.5,52,GBP,Living Wage Foundation (real Living Wage),https://www.livingwage.org.uk/what-real-living-wage,2026-07-01,announced Nov 2019
UK,national,2020,basic_needs_livingwage,9.50,37.5,52,GBP,Living Wage Foundation (real Living Wage),https://www.livingwage.org.uk/what-real-living-wage,2026-07-01,announced Nov 2020
UK,national,2021,basic_needs_livingwage,9.90,37.5,52,GBP,Living Wage Foundation (real Living Wage),https://www.livingwage.org.uk/what-real-living-wage,2026-07-01,from 15 Nov 2021
UK,national,2022,basic_needs_livingwage,10.90,37.5,52,GBP,Living Wage Foundation (real Living Wage),https://www.livingwage.org.uk/what-real-living-wage,2026-07-01,announced Sep 2022
UK,national,2023,basic_needs_livingwage,12.00,37.5,52,GBP,Living Wage Foundation (real Living Wage),https://www.livingwage.org.uk/news/real-living-wage-increases-%C2%A312-uk-and-%C2%A31315-london,2026-07-01,announced Oct 2023
UK,national,2024,basic_needs_livingwage,12.60,37.5,52,GBP,Living Wage Foundation (real Living Wage),https://www.livingwage.org.uk/what-real-living-wage,2026-07-01,from Oct 2024
UK,national,2025,basic_needs_livingwage,13.45,37.5,52,GBP,Living Wage Foundation (real Living Wage),https://www.livingwage.org.uk/calculating-real-living-wage-london-and-rest-uk-2025,2026-07-01,2025-26 rate
UK,London,2019,basic_needs_livingwage,10.75,37.5,52,GBP,Living Wage Foundation (real Living Wage),https://www.livingwage.org.uk/what-real-living-wage,2026-07-01,announced Nov 2019
UK,London,2021,basic_needs_livingwage,11.05,37.5,52,GBP,Living Wage Foundation (real Living Wage),https://www.livingwage.org.uk/what-real-living-wage,2026-07-01,from 15 Nov 2021
UK,London,2022,basic_needs_livingwage,11.95,37.5,52,GBP,Living Wage Foundation (real Living Wage),https://www.livingwage.org.uk/what-real-living-wage,2026-07-01,announced Sep 2022
UK,London,2023,basic_needs_livingwage,13.15,37.5,52,GBP,Living Wage Foundation (real Living Wage),https://www.livingwage.org.uk/news/real-living-wage-increases-%C2%A312-uk-and-%C2%A31315-london,2026-07-01,announced Oct 2023
UK,London,2024,basic_needs_livingwage,13.85,37.5,52,GBP,Living Wage Foundation (real Living Wage),https://www.livingwage.org.uk/what-real-living-wage,2026-07-01,from Oct 2024
UK,London,2025,basic_needs_livingwage,14.80,37.5,52,GBP,Living Wage Foundation (real Living Wage),https://www.livingwage.org.uk/calculating-real-living-wage-london-and-rest-uk-2025,2026-07-01,2025-26 rate
CA,Toronto,2023,basic_needs_livingwage,25.05,35,52,CAD,Ontario Living Wage Network,https://www.ontariolivingwage.ca/rates,2026-07-01,Greater Toronto Area
CA,Toronto,2024,basic_needs_livingwage,26.00,35,52,CAD,Ontario Living Wage Network,https://www.ontariolivingwage.ca/updated_2024_living_wage_rates,2026-07-01,Greater Toronto Area
CA,Toronto,2025,basic_needs_livingwage,27.20,35,52,CAD,Ontario Living Wage Network,https://www.ontariolivingwage.ca/updated_2025_rates,2026-07-01,Greater Toronto Area
CA,Vancouver,2024,basic_needs_livingwage,27.05,35,52,CAD,Living Wage for Families BC / Canadian Living Wage Network,https://www.livingwage.ca/rates,2026-07-01,Metro Vancouver
AU,national,2019,statutory_min_wage,19.49,38,52,AUD,Fair Work Commission (National Minimum Wage),https://www.fairwork.gov.au/pay-and-wages/minimum-wages,2026-07-01,from 1 Jul 2019
AU,national,2020,statutory_min_wage,19.84,38,52,AUD,Fair Work Commission (National Minimum Wage),https://www.fairwork.gov.au/pay-and-wages/minimum-wages,2026-07-01,from 1 Jul 2020
AU,national,2021,statutory_min_wage,20.33,38,52,AUD,Fair Work Commission (National Minimum Wage),https://www.fairwork.gov.au/pay-and-wages/minimum-wages,2026-07-01,from 1 Jul 2021
AU,national,2022,statutory_min_wage,21.38,38,52,AUD,Fair Work Commission (National Minimum Wage),https://www.fairwork.gov.au/pay-and-wages/minimum-wages,2026-07-01,from 1 Jul 2022
AU,national,2023,statutory_min_wage,23.23,38,52,AUD,Fair Work Commission (National Minimum Wage),https://www.fairwork.gov.au/pay-and-wages/minimum-wages,2026-07-01,from 1 Jul 2023
AU,national,2024,statutory_min_wage,24.10,38,52,AUD,Fair Work Commission (National Minimum Wage),https://www.fairwork.gov.au/pay-and-wages/minimum-wages,2026-07-01,from 1 Jul 2024
AU,national,2025,statutory_min_wage,24.95,38,52,AUD,Fair Work Commission (National Minimum Wage),https://www.fairwork.gov.au/pay-and-wages/minimum-wages,2026-07-01,from 1 Jul 2025
JP,Tokyo,2019,statutory_min_wage,1013,40,52,JPY,MHLW / Tokyo Labour Bureau (regional minimum wage),https://www.mhlw.go.jp/,2026-07-01,Tokyo prefecture; effective Oct 2019
JP,Tokyo,2024,statutory_min_wage,1163,40,52,JPY,MHLW / Tokyo Labour Bureau (regional minimum wage),https://www.mhlw.go.jp/,2026-07-01,Tokyo prefecture; effective Oct 2024
