unitid,year,white_rate,white_cohort,black_rate,black_di,black_fail,hispanic_rate,hispanic_di,hispanic_fail,asian_rate,asian_di,asian_fail
100663,2018,0.631,1049,0.557,0.8827,0,0.675,1.0697,0,0.845,1.3391,0
100706,2018,0.605,471,0.429,0.7091,1,,,,,,
100751,2018,0.73,5131,0.566,0.7753,1,0.654,0.8959,0,0.76,1.0411,0
100760,2018,0.211,242,0.062,0.2938,1,,,,,,
100830,2018,0.402,324,0.239,0.5945,1,,,,,,
100858,2018,0.806,3184,0.635,0.7878,1,0.756,0.938,0,0.784,0.9727,0
100937,2018,0.738,275,0.533,0.7222,1,,,,,,
101028,2018,0.22,141,0.164,0.7455,1,,,,,,
101143,2018,0.219,196,0.159,0.726,1,,,,,,
101161,2018,0.176,672,0.137,0.7784,1,0.216,1.2273,0,,,
101189,2018,0.398,177,0.155,0.3894,1,,,,,,
101240,2018,0.27,652,0.161,0.5963,1,0.2,0.7407,1,,,
101286,2018,0.347,453,0.227,0.6542,1,,,,,,
101295,2018,0.452,752,0.349,0.7721,1,0.395,0.8739,0,,,
101301,2018,0.333,72,0.31,0.9309,0,,,,,,
101435,2018,0.555,175,0.353,0.636,1,,,,,,
101462,2018,0.2,45,0.09,0.45,1,,,,,,
101471,2018,0.268,112,0.328,1.2239,0,,,,,,
101480,2018,0.454,808,0.268,0.5903,1,,,,,,
101505,2018,0.166,664,0.097,0.5843,1,0.236,1.4217,0,,,
101514,2018,0.295,753,0.179,0.6068,1,0.197,0.6678,1,,,
101541,2018,0.389,54,,,,,,,,,
101569,2018,0.27,111,0.171,0.6333,1,,,,,,
101587,2018,0.348,141,0.35,1.0057,0,,,,,,
101602,2018,0.419,279,0.286,0.6826,1,,,,,,
101648,2018,0.317,161,0.372,1.1735,0,0.237,0.7476,1,,,
101693,2018,0.584,192,,,,,,,,,
101709,2018,0.553,398,0.549,0.9928,0,,,,,,
101736,2018,0.242,598,0.173,0.7149,1,0.324,1.3388,0,,,
101879,2018,0.509,650,0.371,0.7289,1,0.353,0.6935,1,,,
101897,2018,0.466,415,,,,0.474,1.0172,0,,,
101994,2018,0.371,35,,,,,,,,,
102030,2018,0.365,115,0.248,0.6795,1,,,,,,
102049,2018,0.77,632,0.684,0.8883,0,0.725,0.9416,0,,,
102067,2018,0.264,348,0.096,0.3636,1,,,,,,
102076,2018,0.426,418,0.237,0.5563,1,0.363,0.8521,0,,,
102094,2018,0.494,1146,0.362,0.7328,1,0.481,0.9737,0,0.569,1.1518,0
102234,2018,0.573,293,0.547,0.9546,0,0.432,0.7539,1,,,
102313,2018,0.215,79,0.196,0.9116,0,,,,,,
102368,2018,0.551,909,0.328,0.5953,1,0.5,0.9074,0,,,
102429,2018,0.29,573,0.186,0.6414,1,,,,,,
102553,2018,0.403,524,,,,0.276,0.6849,1,0.278,0.6898,1
102614,2018,0.456,228,,,,,,,,,
102632,2018,0.229,35,,,,,,,,,
102845,2018,0.491,450,0.177,0.3605,1,0.535,1.0896,0,0.297,0.6049,1
103501,2018,0.858,113,0.585,0.6818,1,0.703,0.8193,0,0.761,0.8869,0
103893,2018,0.667,267,0.377,0.5652,1,0.683,1.024,0,,,
104090,2018,0.364,313,0.242,0.6648,1,0.549,1.5082,0,,,
104151,2018,0.644,3722,0.491,0.7624,1,0.558,0.8665,0,0.765,1.1879,0
104160,2018,0.389,54,,,,0.235,0.6041,1,,,
104179,2018,0.677,3350,0.545,0.805,0,0.605,0.8936,0,0.697,1.0295,0
104346,2018,0.195,169,0.158,0.8103,0,0.253,1.2974,0,,,
104425,2018,0.264,110,,,,0.258,0.9773,0,,,
104577,2018,0.429,204,0.286,0.6667,1,0.435,1.014,0,,,
104586,2018,0.705,265,,,,,,,,,
104708,2018,0.201,632,0.1,0.4975,1,0.164,0.8159,0,0.129,0.6418,1
104717,2018,0.472,668,0.345,0.7309,1,0.358,0.7585,1,0.353,0.7479,1
105145,2018,0.259,54,,,,0.192,0.7413,1,,,
105154,2018,0.229,571,0.119,0.5197,1,0.158,0.69,1,0.128,0.559,1
105206,2018,0.18,111,,,,0.111,0.6167,1,,,
105330,2018,0.612,2679,0.329,0.5376,1,0.502,0.8203,0,0.638,1.0425,0
105349,2018,0.129,31,,,,,,,,,
105428,2018,0.247,89,0.122,0.4939,1,0.161,0.6518,1,,,
105525,2018,0.222,649,0.24,1.0811,0,0.19,0.8559,0,0.182,0.8198,0
105534,2018,0.705,220,,,,0.717,1.017,0,,,
105543,2018,0.613,31,,,,0.637,1.0392,0,,,
105659,2018,0.706,197,0.492,0.6969,1,0.713,1.0099,0,,,
105668,2018,0.023,44,,,,,,,,,
105747,2018,0.236,335,0.0,0.0,1,0.178,0.7542,1,,,
105792,2018,0.283,53,0.183,0.6466,1,0.216,0.7633,1,,,
105899,2018,0.561,57,,,,,,,,,
106041,2018,0.742,361,,,,0.635,0.8558,0,,,
106148,2018,0.275,160,,,,0.309,1.1236,0,,,
106245,2018,0.433,215,0.31,0.7159,1,0.4,0.9238,0,,,
106342,2018,0.554,139,,,,,,,,,
106397,2018,0.677,3431,0.48,0.709,1,0.654,0.966,0,0.663,0.9793,0
106449,2018,0.3,467,0.265,0.8833,0,,,,,,
106458,2018,0.562,1200,0.427,0.7598,1,0.438,0.7794,1,,,
106467,2018,0.447,1029,0.176,0.3937,1,0.378,0.8456,0,,,
106485,2018,0.353,283,0.159,0.4504,1,,,,,,
106625,2018,0.285,302,,,,,,,,,
106704,2018,0.482,1391,0.276,0.5726,1,0.447,0.9274,0,,,
106713,2018,0.279,68,,,,,,,,,
106795,2018,0.423,111,,,,0.5,1.182,0,,,
106883,2018,0.414,99,0.357,0.8623,0,,,,,,
106980,2018,0.339,280,0.2,0.59,1,0.433,1.2773,0,,,
106999,2018,0.425,221,,,,,,,,,
107044,2018,0.71,886,0.404,0.569,1,,,,,,
107071,2018,0.482,409,0.201,0.417,1,,,,,,
107080,2018,0.711,323,,,,,,,,,
107141,2018,0.716,236,,,,,,,,,
107318,2018,0.359,39,0.202,0.5627,1,,,,,,
107327,2018,0.311,148,0.333,1.0707,0,,,,,,
107460,2018,0.241,352,,,,,,,,,
107512,2018,0.681,326,0.255,0.3744,1,,,,,,
107521,2018,0.211,95,,,,,,,,,
107549,2018,0.587,160,,,,,,,,,
107558,2018,0.538,107,,,,,,,,,
107585,2018,0.377,350,,,,0.355,0.9416,0,,,
107619,2018,0.484,62,0.426,0.8802,0,,,,,,
107637,2018,0.25,48,0.179,0.716,1,,,,,,
107664,2018,0.308,221,0.142,0.461,1,0.471,1.5292,0,,,
107725,2018,0.423,130,0.363,0.8582,0,,,,,,
107743,2018,0.469,98,,,,,,,,,
107877,2018,0.4,140,,,,,,,,,
107974,2018,0.338,69,0.333,0.9852,0,,,,,,
107983,2018,0.481,449,0.296,0.6154,1,,,,,,
107992,2018,0.709,117,0.493,0.6953,1,,,,,,
108092,2018,0.414,608,0.171,0.413,1,0.357,0.8623,0,,,
108232,2018,0.509,114,0.208,0.4086,1,0.333,0.6542,1,0.56,1.1002,0
108667,2018,0.323,31,0.175,0.5418,1,0.196,0.6068,1,0.3,0.9288,0
108807,2018,0.423,194,0.167,0.3948,1,0.339,0.8014,0,0.256,0.6052,1
108852,2018,0.612,67,,,,,,,,,
109208,2018,0.261,552,0.184,0.705,1,0.184,0.705,1,0.374,1.433,0
109350,2018,0.355,214,0.115,0.3239,1,0.279,0.7859,1,0.424,1.1944,0
109785,2018,0.706,622,0.714,1.0113,0,0.65,0.9207,0,0.649,0.9193,0
109819,2018,0.273,308,0.105,0.3846,1,0.173,0.6337,1,0.328,1.2015,0
109907,2018,0.286,49,,,,0.295,1.0315,0,,,
110097,2018,0.77,512,,,,0.669,0.8688,0,0.744,0.9662,0
110219,2018,0.279,62,0.116,0.4158,1,,,,,,
110246,2018,0.354,560,,,,0.29,0.8192,0,0.359,1.0141,0
110334,2018,0.312,301,,,,0.246,0.7885,1,0.258,0.8269,0
110361,2018,0.712,406,0.443,0.6222,1,0.582,0.8174,0,0.622,0.8736,0
110370,2018,0.54,63,,,,,,,0.696,1.2889,0
110404,2018,0.925,67,,,,,,,0.958,1.0357,0
110413,2018,0.687,294,,,,0.662,0.9636,0,0.82,1.1936,0
110422,2018,0.841,2898,0.6,0.7134,1,0.763,0.9073,0,0.834,0.9917,0
110486,2018,0.438,153,0.341,0.7785,1,0.423,0.9658,0,0.485,1.1073,0
110495,2018,0.616,279,,,,0.582,0.9448,0,0.525,0.8523,0
110510,2018,0.555,247,0.46,0.8288,0,0.548,0.9874,0,0.554,0.9982,0
110529,2018,0.73,586,0.59,0.8082,0,0.641,0.8781,0,0.779,1.0671,0
110538,2018,0.734,1056,0.464,0.6322,1,0.609,0.8297,0,0.625,0.8515,0
110547,2018,0.48,50,0.38,0.7917,1,0.444,0.925,0,0.59,1.2292,0
110556,2018,0.672,592,0.491,0.7307,1,0.556,0.8274,0,0.497,0.7396,1
110565,2018,0.716,844,0.519,0.7249,1,0.668,0.933,0,0.733,1.0237,0
110574,2018,0.489,135,0.365,0.7464,1,0.482,0.9857,0,0.628,1.2843,0
110583,2018,0.767,784,0.695,0.9061,0,0.718,0.9361,0,0.767,1.0,0
110592,2018,0.515,97,0.425,0.8252,0,0.493,0.9573,0,0.664,1.2893,0
110608,2018,0.67,892,0.42,0.6269,1,0.514,0.7672,1,0.632,0.9433,0
110617,2018,0.616,717,0.431,0.6997,1,0.49,0.7955,1,0.605,0.9821,0
110635,2018,0.921,1195,0.762,0.8274,0,0.84,0.9121,0,0.971,1.0543,0
110644,2018,0.888,1446,0.856,0.964,0,0.803,0.9043,0,0.893,1.0056,0
110653,2018,0.861,676,0.806,0.9361,0,0.785,0.9117,0,0.884,1.0267,0
110662,2018,0.936,1567,0.795,0.8494,0,0.868,0.9274,0,0.943,1.0075,0
110671,2018,0.741,463,0.745,1.0054,0,0.746,1.0067,0,0.8,1.0796,0
110680,2018,0.858,1088,0.771,0.8986,0,0.822,0.958,0,0.923,1.0758,0
110705,2018,0.849,1730,0.68,0.8009,0,0.809,0.9529,0,0.839,0.9882,0
110714,2018,0.767,1008,0.699,0.9113,0,0.724,0.9439,0,0.805,1.0495,0
111081,2018,0.5,68,,,,,,,,,
111188,2018,0.68,125,,,,0.714,1.05,0,,,
111434,2018,0.412,34,,,,0.294,0.7136,1,,,
111461,2018,0.442,425,0.205,0.4638,1,0.325,0.7353,1,0.527,1.1923,0
111887,2018,0.387,75,0.189,0.4884,1,0.246,0.6357,1,0.454,1.1731,0
111896,2018,0.247,73,,,,0.274,1.1093,0,,,
111920,2018,0.347,98,0.229,0.6599,1,0.222,0.6398,1,0.469,1.3516,0
111939,2018,0.296,226,0.129,0.4358,1,0.24,0.8108,0,0.391,1.3209,0
111948,2018,0.804,766,,,,0.865,1.0759,0,0.819,1.0187,0
112075,2018,0.737,133,,,,0.598,0.8114,0,,,
112084,2018,0.479,48,,,,,,,,,
112172,2018,0.442,190,0.2,0.4525,1,0.349,0.7896,1,0.529,1.1968,0
112190,2018,0.253,99,0.204,0.8063,0,0.189,0.747,1,0.484,1.913,0
112260,2018,0.918,134,,,,0.943,1.0272,0,,,
112385,2018,0.303,33,,,,0.217,0.7162,1,0.264,0.8713,0
112561,2018,0.279,172,,,,0.132,0.4731,1,,,
112570,2018,0.642,81,,,,,,,,,
113096,2018,0.263,190,0.169,0.6426,1,0.23,0.8745,0,0.395,1.5019,0
113111,2018,0.295,149,,,,0.269,0.9119,0,,,
113193,2018,0.414,502,,,,0.341,0.8237,0,,,
113218,2018,0.362,224,0.128,0.3536,1,0.3,0.8287,0,,,
113236,2018,0.36,189,0.275,0.7639,1,0.267,0.7417,1,0.427,1.1861,0
113333,2018,0.646,328,0.508,0.7864,1,0.446,0.6904,1,0.737,1.1409,0
113573,2018,0.271,107,,,,0.285,1.0517,0,,,
113634,2018,0.392,332,0.263,0.6709,1,0.364,0.9286,0,0.496,1.2653,0
113698,2018,0.667,111,,,,0.734,1.1004,0,0.824,1.2354,0
113856,2018,0.882,93,,,,0.279,0.3163,1,0.518,0.5873,1
113980,2018,0.41,307,0.173,0.422,1,0.284,0.6927,1,0.566,1.3805,0
114123,2018,0.5,68,,,,0.667,1.334,0,,,
114354,2018,0.738,290,0.478,0.6477,1,0.717,0.9715,0,0.709,0.9607,0
114433,2018,0.293,116,0.184,0.628,1,,,,,,
114716,2018,0.538,208,,,,0.365,0.6784,1,0.743,1.381,0
114789,2018,0.322,307,0.12,0.3727,1,0.186,0.5776,1,0.228,0.7081,1
114813,2018,0.702,94,,,,0.654,0.9316,0,,,
114859,2018,0.348,368,0.241,0.6925,1,0.254,0.7299,1,0.412,1.1839,0
114938,2018,0.375,88,,,,0.288,0.768,1,,,
115001,2018,0.444,572,0.171,0.3851,1,0.221,0.4977,1,0.325,0.732,1
115010,2018,0.689,45,,,,0.678,0.984,0,,,
115126,2018,0.416,267,,,,0.298,0.7163,1,0.487,1.1707,0
115296,2018,0.375,493,0.143,0.3813,1,0.256,0.6827,1,0.379,1.0107,0
115393,2018,0.412,51,,,,0.353,0.8568,0,0.424,1.0291,0
115409,2018,0.906,85,,,,,,,0.977,1.0784,0
115755,2018,0.574,561,0.364,0.6341,1,0.445,0.7753,1,0.476,0.8293,0
115861,2018,0.325,40,,,,0.355,1.0923,0,,,
115931,2018,0.822,45,,,,0.771,0.938,0,0.923,1.1229,0
116439,2018,0.506,427,,,,0.304,0.6008,1,0.557,1.1008,0
117052,2018,0.361,144,0.119,0.3296,1,0.262,0.7258,1,,,
117140,2018,0.76,153,,,,0.707,0.9303,0,0.613,0.8066,0
117195,2018,0.375,48,,,,0.197,0.5253,1,,,
117274,2018,0.272,81,,,,0.162,0.5956,1,,,
117627,2018,0.5,32,,,,0.54,1.08,0,0.512,1.024,0
117645,2018,0.267,243,0.12,0.4494,1,0.198,0.7416,1,0.224,0.839,0
117690,2018,0.5,44,,,,0.191,0.382,1,0.405,0.81,0
117706,2018,0.391,307,0.19,0.4859,1,0.294,0.7519,1,0.366,0.9361,0
117724,2018,0.167,30,0.258,1.5449,0,0.253,1.515,0,,,
117733,2018,0.356,163,0.133,0.3736,1,0.217,0.6096,1,0.447,1.2556,0
117751,2018,0.704,125,,,,,,,,,
117788,2018,0.263,76,0.061,0.2319,1,0.192,0.73,1,0.246,0.9354,0
117867,2018,0.378,37,,,,0.196,0.5185,1,,,
117894,2018,0.366,202,0.247,0.6749,1,0.324,0.8852,0,0.443,1.2104,0
117946,2018,0.809,630,0.818,1.0111,0,0.795,0.9827,0,0.793,0.9802,0
118198,2018,0.596,104,,,,0.7,1.1745,0,,,
118347,2018,0.365,126,,,,0.291,0.7973,1,,,
118541,2018,0.231,65,,,,0.54,2.3377,0,,,
118684,2018,0.324,68,,,,0.219,0.6759,1,,,
118693,2018,0.545,33,,,,,,,,,
118718,2018,0.344,224,,,,0.265,0.7703,1,0.365,1.061,0
118888,2018,0.538,93,,,,0.568,1.0558,0,,,
118912,2018,0.326,519,0.308,0.9448,0,0.281,0.862,0,0.521,1.5982,0
118930,2018,0.35,40,,,,0.233,0.6657,1,0.337,0.9629,0
118976,2018,0.233,519,0.109,0.4678,1,0.197,0.8455,0,0.247,1.0601,0
119067,2018,0.401,162,,,,0.239,0.596,1,0.378,0.9426,0
119137,2018,0.431,789,0.273,0.6334,1,0.331,0.768,1,0.504,1.1694,0
119164,2018,0.426,235,0.177,0.4155,1,0.286,0.6714,1,0.554,1.3005,0
119216,2018,0.279,416,0.183,0.6559,1,0.239,0.8566,0,0.463,1.6595,0
119270,2018,0.659,129,0.436,0.6616,1,0.627,0.9514,0,,,
119331,2018,0.294,102,0.233,0.7925,1,0.322,1.0952,0,0.393,1.3367,0
119605,2018,0.333,33,,,,,,,,,
120078,2018,0.432,44,,,,0.419,0.9699,0,0.367,0.8495,0
120184,2018,0.625,32,,,,0.493,0.7888,1,,,
120254,2018,0.844,270,,,,0.87,1.0308,0,0.907,1.0746,0
120290,2018,0.432,88,,,,0.364,0.8426,0,0.567,1.3125,0
120342,2018,0.376,654,0.421,1.1197,0,0.295,0.7846,1,0.531,1.4122,0
120403,2018,0.742,31,,,,,,,0.66,0.8895,0
120661,2018,0.741,86,0.588,0.7935,1,0.795,1.0729,0,0.847,1.143,0
120865,2018,0.689,61,,,,0.486,0.7054,1,0.651,0.9448,0
120883,2018,0.657,210,,,,0.617,0.9391,0,0.723,1.1005,0
120971,2018,0.363,578,0.098,0.27,1,0.225,0.6198,1,0.429,1.1818,0
121044,2018,0.481,324,0.184,0.3825,1,0.249,0.5177,1,0.55,1.1435,0
121150,2018,0.868,340,0.808,0.9309,0,0.912,1.0507,0,0.902,1.0392,0
121257,2018,0.808,120,,,,0.897,1.1101,0,,,
121309,2018,0.773,414,,,,0.651,0.8422,0,0.818,1.0582,0
121345,2018,0.941,169,,,,0.944,1.0032,0,0.931,0.9894,0
121363,2018,0.344,64,,,,0.364,1.0581,0,,,
121619,2018,0.328,67,,,,0.262,0.7988,1,0.392,1.1951,0
121691,2018,0.768,376,,,,0.799,1.0404,0,0.674,0.8776,0
121707,2018,0.299,197,,,,0.179,0.5987,1,,,
121901,2018,0.37,319,0.202,0.5459,1,0.223,0.6027,1,0.532,1.4378,0
122180,2018,0.281,256,0.093,0.331,1,0.2,0.7117,1,0.402,1.4306,0
122205,2018,0.453,780,,,,0.337,0.7439,1,0.566,1.2494,0
122339,2018,0.311,90,0.134,0.4309,1,0.187,0.6013,1,0.339,1.09,0
122375,2018,0.29,348,0.146,0.5034,1,0.247,0.8517,0,0.405,1.3966,0
122384,2018,0.394,231,,,,0.324,0.8223,0,0.536,1.3604,0
122409,2018,0.751,1736,0.674,0.8975,0,0.71,0.9454,0,0.782,1.0413,0
122436,2018,0.82,668,0.771,0.9402,0,0.817,0.9963,0,0.875,1.0671,0
122454,2018,0.563,32,,,,,,,,,
122597,2018,0.53,708,0.613,1.1566,0,0.553,1.0434,0,0.627,1.183,0
122612,2018,0.697,300,0.684,0.9813,0,0.771,1.1062,0,0.843,1.2095,0
122658,2018,0.327,281,0.147,0.4495,1,0.285,0.8716,0,0.379,1.159,0
122685,2018,0.54,428,0.41,0.7593,1,0.588,1.0889,0,0.68,1.2593,0
122728,2018,0.667,108,,,,,,,,,
122746,2018,0.413,46,,,,0.228,0.5521,1,0.377,0.9128,0
122755,2018,0.62,645,0.503,0.8113,0,0.573,0.9242,0,0.728,1.1742,0
122791,2018,0.413,126,,,,0.33,0.799,1,0.523,1.2663,0
122889,2018,0.509,491,0.184,0.3615,1,0.425,0.835,0,0.528,1.0373,0
122931,2018,0.919,605,0.922,1.0033,0,0.885,0.963,0,0.939,1.0218,0
122977,2018,0.388,593,0.112,0.2887,1,0.186,0.4794,1,0.404,1.0412,0
123013,2018,0.424,465,,,,0.322,0.7594,1,0.478,1.1274,0
123165,2018,0.887,142,,,,,,,0.975,1.0992,0
123217,2018,0.388,294,0.294,0.7577,1,0.259,0.6675,1,0.459,1.183,0
123299,2018,0.274,577,,,,0.157,0.573,1,,,
123341,2018,0.426,908,0.196,0.4601,1,0.366,0.8592,0,0.423,0.993,0
123457,2018,0.441,68,,,,,,,,,
123484,2018,0.231,104,,,,0.233,1.0087,0,,,
123493,2018,0.852,61,0.676,0.7934,1,0.825,0.9683,0,0.855,1.0035,0
123509,2018,0.366,82,,,,0.277,0.7568,1,0.409,1.1175,0
123527,2018,0.188,69,0.172,0.9149,0,0.157,0.8351,0,,,
123554,2018,0.824,267,,,,0.671,0.8143,0,0.875,1.0619,0
123563,2018,0.269,197,0.162,0.6022,1,0.275,1.0223,0,0.351,1.3048,0
123572,2018,0.645,858,0.531,0.8233,0,0.597,0.9256,0,0.695,1.0775,0
123651,2018,0.667,162,,,,0.529,0.7931,1,,,
123679,2018,0.942,69,,,,,,,0.931,0.9883,0
123800,2018,0.294,109,0.215,0.7313,1,0.253,0.8605,0,0.416,1.415,0
123961,2018,0.914,1134,0.875,0.9573,0,0.901,0.9858,0,0.94,1.0284,0
124113,2018,0.354,113,,,,0.351,0.9915,0,,,
124292,2018,0.864,59,,,,,,,,,
124706,2018,0.779,136,0.672,0.8626,0,0.809,1.0385,0,,,
124937,2018,0.783,46,,,,0.729,0.931,0,0.792,1.0115,0
125028,2018,0.424,245,,,,0.361,0.8514,0,0.537,1.2665,0
125091,2018,0.253,253,0.058,0.2292,1,0.206,0.8142,0,,,
125170,2018,0.368,57,0.143,0.3886,1,0.265,0.7201,1,0.54,1.4674,0
125499,2018,0.36,267,,,,0.279,0.775,1,0.431,1.1972,0
125532,2018,0.606,252,0.484,0.7987,1,0.598,0.9868,0,0.698,1.1518,0
125727,2018,0.799,194,,,,0.732,0.9161,0,,,
125763,2018,0.689,151,,,,0.787,1.1422,0,0.744,1.0798,0
125897,2018,0.545,33,,,,,,,,,
126076,2018,0.524,42,,,,,,,,,
126119,2018,0.296,159,,,,0.248,0.8378,0,0.417,1.4088,0
126182,2018,0.408,214,,,,0.24,0.5882,1,,,
126207,2018,0.288,184,,,,0.261,0.9063,0,,,
126289,2018,0.262,313,,,,0.295,1.126,0,,,
126359,2018,0.471,34,,,,,,,,,
126562,2018,0.523,514,0.391,0.7476,1,0.438,0.8375,0,0.661,1.2639,0
126580,2018,0.461,977,0.359,0.7787,1,0.436,0.9458,0,0.609,1.321,0
126605,2018,0.994,158,,,,,,,,,
126614,2018,0.705,4167,0.521,0.739,1,0.635,0.9007,0,0.714,1.0128,0
126669,2018,0.599,279,,,,,,,,,
126678,2018,0.817,327,,,,0.893,1.093,0,,,
126687,2018,0.787,188,0.664,0.8437,0,0.797,1.0127,0,,,
126711,2018,0.236,280,,,,0.305,1.2924,0,,,
126748,2018,0.544,90,,,,0.257,0.4724,1,,,
126775,2018,0.835,732,,,,0.706,0.8455,0,0.953,1.1413,0
126784,2018,0.927,41,,,,,,,,,
126818,2018,0.712,3207,0.632,0.8876,0,0.637,0.8947,0,0.733,1.0295,0
126827,2018,0.282,372,0.16,0.5674,1,0.226,0.8014,0,,,
