unitid,year,white_rate,white_cohort,black_rate,black_di,black_fail,hispanic_rate,hispanic_di,hispanic_fail,asian_rate,asian_di,asian_fail,inst_control,region,hbcu,institution_level,inst_size,applied,admitted,enrolled,admit_rate,open_admission,log_enroll,hbcu_flag,for_profit,private_nonprofit,fail
100663,2022,0.631,1320,0.554,0.878,0.0,0.473,0.7496,1.0,0.87,1.3788,0.0,1,5,0,4,5,9947.0,8622.0,2217.0,0.8667940082436916,0,7.704361167910313,0,0,0,0
100706,2022,0.633,1034,0.429,0.6777,1.0,0.617,0.9747,0.0,0.738,1.1659,0.0,1,5,0,4,3,5581.0,4359.0,1172.0,0.7810428238666905,0,7.067319848653476,0,0,0,1
100751,2022,0.755,5945,0.624,0.8265,0.0,0.641,0.849,0.0,0.655,0.8675,0.0,1,5,0,4,5,54072.0,43290.0,8037.0,0.8005992010652463,0,8.991935575009146,0,0,0,0
100760,2022,0.249,177,0.25,1.004,0.0,,,,,,,1,5,0,2,2,,,,1.0,1,6.692083742506628,0,0,0,0
100830,2022,0.371,292,0.337,0.9084,0.0,,,,,,,1,5,0,4,3,2290.0,2112.0,407.0,0.9222707423580786,0,6.0112671744041615,0,0,0,0
100858,2022,0.805,4036,0.676,0.8398,0.0,0.718,0.8919,0.0,0.771,0.9578,0.0,1,5,0,4,5,45693.0,19988.0,5303.0,0.43744118355109096,0,8.576216531865699,0,0,0,0
100937,2022,0.714,276,0.314,0.4398,1.0,,,,,,,2,5,0,4,1,3019.0,1726.0,244.0,0.5717124875786684,0,5.501258210544727,0,0,1,1
101028,2022,0.419,74,0.288,0.6874,1.0,,,,,,,1,5,0,2,2,,,,1.0,1,6.692083742506628,0,0,0,1
101143,2022,0.304,194,0.268,0.8816,0.0,,,,,,,1,5,0,2,2,,,,1.0,1,6.692083742506628,0,0,0,0
101161,2022,0.293,546,0.221,0.7543,1.0,0.256,0.8737,0.0,,,,1,5,0,2,3,,,,1.0,1,6.692083742506628,0,0,0,1
101189,2022,0.446,184,0.242,0.5426,1.0,,,,,,,2,5,0,4,2,1728.0,1424.0,238.0,0.8240740740740741,0,5.476463551931511,0,0,1,1
101240,2022,0.325,452,0.245,0.7538,1.0,0.447,1.3754,0.0,,,,1,5,1,2,2,,,,1.0,1,6.692083742506628,1,0,0,1
101286,2022,0.296,226,0.177,0.598,1.0,,,,,,,1,5,0,2,2,,,,1.0,1,6.692083742506628,0,0,0,1
101295,2022,0.489,738,0.319,0.6524,1.0,0.518,1.0593,0.0,,,,1,5,0,2,3,,,,1.0,1,6.692083742506628,0,0,0,1
101301,2022,0.205,39,0.438,2.1366,0.0,,,,,,,1,5,0,2,2,,,,1.0,1,6.692083742506628,0,0,0,0
101435,2022,0.525,200,0.413,0.7867,1.0,,,,,,,2,5,0,4,1,2573.0,1697.0,258.0,0.6595413913719393,0,5.556828061699537,0,0,1,1
101480,2022,0.575,795,0.297,0.5165,1.0,0.405,0.7043,1.0,,,,1,5,0,4,3,12570.0,9863.0,1941.0,0.7846459824980111,0,7.571473648851271,0,0,0,1
101505,2022,0.25,643,0.193,0.772,1.0,0.179,0.716,1.0,,,,1,5,0,2,3,,,,1.0,1,6.692083742506628,0,0,0,1
101514,2022,0.439,588,0.252,0.574,1.0,0.414,0.9431,0.0,,,,1,5,0,2,3,,,,1.0,1,6.692083742506628,0,0,0,1
101569,2022,0.395,81,0.215,0.5443,1.0,,,,,,,1,5,1,2,2,,,,1.0,1,6.692083742506628,1,0,0,1
101587,2022,0.467,197,0.335,0.7173,1.0,,,,,,,1,5,0,4,3,3131.0,2156.0,311.0,0.6885978920472693,0,5.7430031878094825,0,0,0,1
101602,2022,0.509,167,0.28,0.5501,1.0,,,,,,,1,5,0,2,2,,,,1.0,1,6.692083742506628,0,0,0,1
101648,2022,0.31,171,0.455,1.4677,0.0,,,,,,,1,5,0,2,1,622.0,390.0,195.0,0.6270096463022508,0,5.278114659230517,0,0,0,0
101693,2022,0.631,157,0.306,0.4849,1.0,,,,,,,2,5,0,4,2,1690.0,1421.0,272.0,0.840828402366864,0,5.60947179518496,0,0,1,1
101709,2022,0.498,323,0.359,0.7209,1.0,0.525,1.0542,0.0,,,,1,5,0,4,2,6426.0,3845.0,544.0,0.5983504512916278,0,6.300785794663244,0,0,0,1
101736,2022,0.336,364,0.225,0.6696,1.0,0.306,0.9107,0.0,,,,1,5,0,2,2,,,,1.0,1,6.692083742506628,0,0,0,1
101879,2022,0.596,797,0.368,0.6174,1.0,0.489,0.8205,0.0,,,,1,5,0,4,3,4009.0,3836.0,1140.0,0.9568470940384136,0,7.039660349862076,0,0,0,1
102030,2022,0.295,44,0.231,0.7831,1.0,,,,,,,1,5,1,2,2,,,,1.0,1,6.692083742506628,1,0,0,1
102049,2022,0.811,746,0.571,0.7041,1.0,,,,,,,2,5,0,4,3,4337.0,3611.0,974.0,0.8326031819229882,0,6.882437470997847,0,0,1,1
102067,2022,0.266,354,0.128,0.4812,1.0,,,,,,,1,5,1,2,2,,,,1.0,1,6.692083742506628,1,0,0,1
102094,2022,0.545,1218,0.447,0.8202,0.0,0.5,0.9174,0.0,0.676,1.2404,0.0,1,5,0,4,4,12550.0,8203.0,1614.0,0.6536254980079681,0,7.387090235656757,0,0,0,0
102234,2022,0.62,252,0.329,0.5306,1.0,,,,,,,2,5,0,4,2,2050.0,1489.0,228.0,0.7263414634146341,0,5.43372200355424,0,0,1,1
102368,2022,0.521,1141,0.335,0.643,1.0,0.493,0.9463,0.0,,,,1,5,0,4,4,7035.0,6672.0,1683.0,0.9484008528784649,0,7.428927194802272,0,0,0,1
102429,2022,0.465,325,0.243,0.5226,1.0,,,,,,,1,5,0,2,2,,,,1.0,1,6.692083742506628,0,0,0,1
102553,2022,0.354,647,0.293,0.8277,0.0,0.228,0.6441,1.0,0.306,0.8644,0.0,1,8,0,4,4,4005.0,2616.0,1072.0,0.6531835205992509,0,6.9782137426306985,0,0,0,0
102845,2022,0.617,649,0.493,0.799,1.0,0.582,0.9433,0.0,,,,3,8,0,4,2,,,,1.0,1,6.692083742506628,0,1,0,1
103893,2022,0.585,118,0.293,0.5009,1.0,0.573,0.9795,0.0,,,,3,6,0,2,2,,,,1.0,1,6.692083742506628,0,1,0,1
103963,2022,0.563,119,0.404,0.7176,1.0,0.542,0.9627,0.0,,,,3,6,0,2,1,,,,1.0,1,6.692083742506628,0,1,0,1
104151,2022,0.697,5406,0.536,0.769,1.0,0.615,0.8824,0.0,0.787,1.1291,0.0,1,6,0,4,5,68789.0,61739.0,15151.0,0.8975126837139659,0,9.625887815425859,0,0,0,1
104179,2022,0.697,3069,0.416,0.5968,1.0,0.623,0.8938,0.0,0.746,1.0703,0.0,1,6,0,4,5,52091.0,45194.0,9027.0,0.8675970897083949,0,9.108086137937427,0,0,0,1
104708,2022,0.191,560,0.128,0.6702,1.0,0.109,0.5707,1.0,0.148,0.7749,1.0,1,6,0,2,4,,,,1.0,1,6.692083742506628,0,0,0,1
104717,2022,0.47,1068,0.353,0.7511,1.0,0.408,0.8681,0.0,0.5,1.0638,0.0,3,6,0,4,5,29304.0,22818.0,8438.0,0.7786650286650286,0,9.040619097157967,0,1,0,1
105154,2022,0.189,403,0.155,0.8201,0.0,0.177,0.9365,0.0,,,,1,6,0,2,4,,,,1.0,1,6.692083742506628,0,0,0,0
105330,2022,0.602,3014,0.367,0.6096,1.0,0.536,0.8904,0.0,0.62,1.0299,0.0,1,6,0,4,5,44855.0,35881.0,5575.0,0.7999331178240999,0,8.62622695244036,0,0,0,1
105525,2022,0.236,220,0.175,0.7415,1.0,0.209,0.8856,0.0,,,,1,6,0,2,4,,,,1.0,1,6.692083742506628,0,0,0,1
105659,2022,0.755,233,0.627,0.8305,0.0,0.773,1.0238,0.0,,,,3,6,0,2,2,,,,1.0,1,6.692083742506628,0,1,0,0
105792,2022,0.357,42,0.147,0.4118,1.0,0.2,0.5602,1.0,,,,1,6,0,2,2,,,,1.0,1,6.692083742506628,0,0,0,1
106245,2022,0.412,294,0.36,0.8738,0.0,0.462,1.1214,0.0,,,,1,5,0,4,3,3568.0,2193.0,549.0,0.6146300448430493,0,6.309918278226516,0,0,0,0
106397,2022,0.719,3955,0.469,0.6523,1.0,0.663,0.9221,0.0,0.726,1.0097,0.0,1,5,0,4,5,26219.0,20695.0,7099.0,0.7893130935581067,0,8.867850063029406,0,0,0,1
106458,2022,0.569,1134,0.453,0.7961,1.0,0.596,1.0475,0.0,,,,1,5,0,4,4,6045.0,4202.0,1325.0,0.6951199338296112,0,7.189922170745808,0,0,0,1
106467,2022,0.532,1313,0.21,0.3947,1.0,0.394,0.7406,1.0,,,,1,5,0,4,3,5762.0,5439.0,1452.0,0.943943075321069,0,7.2813856635702825,0,0,0,1
106485,2022,0.523,375,0.253,0.4837,1.0,0.471,0.9006,0.0,,,,1,5,0,4,2,,,,1.0,1,6.692083742506628,0,0,0,1
106704,2022,0.581,1297,0.362,0.6231,1.0,0.477,0.821,0.0,0.579,0.9966,0.0,1,5,0,4,3,6522.0,5949.0,1803.0,0.9121435142594296,0,7.4977617006225685,0,0,0,1
