unitid,year,pell_share
100654,2009,70.0
100663,2009,30.0
100690,2009,60.0
100706,2009,27.0
100724,2009,73.0
100751,2009,19.0
100760,2009,63.0
100830,2009,45.0
100858,2009,11.0
100937,2009,22.0
101028,2009,75.0
101073,2009,91.0
101116,2009,89.0
101143,2009,54.0
101161,2009,55.0
101189,2009,51.0
101240,2009,63.0
101286,2009,63.0
101295,2009,55.0
101301,2009,91.0
101365,2009,85.0
101435,2009,41.0
101453,2009,25.0
101462,2009,86.0
101471,2009,0.0
101480,2009,49.0
101499,2009,53.0
101505,2009,32.0
101514,2009,48.0
101541,2009,43.0
101569,2009,83.0
101587,2009,60.0
101602,2009,71.0
101648,2009,43.0
101675,2009,83.0
101693,2009,41.0
101709,2009,35.0
101736,2009,67.0
101879,2009,48.0
101897,2009,76.0
101912,2009,43.0
101949,2009,63.0
101958,2009,100.0
101994,2009,82.0
102030,2009,78.0
102049,2009,15.0
102058,2009,83.0
102067,2009,55.0
102076,2009,61.0
102094,2009,38.0
102234,2009,33.0
102261,2009,69.0
102270,2009,69.0
102298,2009,73.0
102313,2009,70.0
102368,2009,50.0
102377,2009,63.0
102429,2009,67.0
102553,2009,27.0
102580,2009,0.0
102614,2009,26.0
102632,2009,30.0
102669,2009,37.0
102711,2009,30.0
102845,2009,82.0
103361,2009,41.0
103501,2009,62.0
103644,2009,88.0
103723,2009,64.0
103732,2009,72.0
103741,2009,91.0
103787,2009,93.0
103811,2009,74.0
103893,2009,62.0
103909,2009,61.0
103927,2009,58.0
103945,2009,82.0
103954,2009,62.0
103963,2009,89.0
104090,2009,94.0
104151,2009,31.0
104160,2009,70.0
104179,2009,25.0
104188,2009,81.0
104294,2009,49.0
104346,2009,53.0
104364,2009,90.0
104391,2009,75.0
104425,2009,68.0
104434,2009,78.0
104443,2009,78.0
104504,2009,70.0
104531,2009,76.0
104568,2009,76.0
104577,2009,60.0
104586,2009,32.0
104708,2009,41.0
104717,2009,72.0
104805,2009,72.0
104911,2009,70.0
104984,2009,55.0
105118,2009,56.0
105127,2009,76.0
105145,2009,54.0
105154,2009,39.0
105163,2009,79.0
105172,2009,78.0
105206,2009,72.0
105215,2009,61.0
105297,2009,83.0
105330,2009,31.0
105349,2009,69.0
105428,2009,60.0
105482,2009,64.0
105516,2009,67.0
105525,2009,49.0
105534,2009,63.0
105543,2009,74.0
105589,2009,30.0
105659,2009,64.0
105668,2009,65.0
105677,2009,40.0
105701,2009,100.0
105747,2009,26.0
105792,2009,79.0
105899,2009,33.0
105987,2009,63.0
106041,2009,61.0
106102,2009,49.0
106111,2009,93.0
106148,2009,44.0
106245,2009,51.0
106281,2009,94.0
106306,2009,76.0
106315,2009,87.0
106324,2009,32.0
106342,2009,45.0
106351,2009,83.0
106360,2009,79.0
106397,2009,19.0
106412,2009,77.0
106449,2009,48.0
106458,2009,52.0
106467,2009,49.0
106485,2009,70.0
106494,2009,75.0
106546,2009,44.0
106607,2009,88.0
106625,2009,78.0
106704,2009,37.0
106713,2009,46.0
106795,2009,76.0
106810,2009,70.0
106829,2009,84.0
106883,2009,72.0
106892,2009,73.0
106908,2009,87.0
106980,2009,71.0
106999,2009,76.0
107044,2009,25.0
107071,2009,51.0
107080,2009,21.0
107099,2009,79.0
107123,2009,88.0
107141,2009,25.0
107211,2009,47.0
107220,2009,24.0
107275,2009,100.0
107293,2009,100.0
107318,2009,84.0
107327,2009,67.0
107363,2009,68.0
107442,2009,100.0
107460,2009,68.0
107488,2009,58.0
107512,2009,26.0
107521,2009,66.0
107549,2009,88.0
107558,2009,38.0
107585,2009,55.0
107600,2009,70.0
107619,2009,83.0
107637,2009,78.0
107655,2009,80.0
107664,2009,60.0
107725,2009,81.0
107743,2009,78.0
107789,2009,71.0
107831,2009,41.0
107877,2009,50.0
107974,2009,73.0
107983,2009,55.0
107992,2009,60.0
108065,2009,100.0
108092,2009,58.0
108199,2009,0.0
108232,2009,32.0
108250,2009,74.0
108348,2009,89.0
108649,2009,100.0
108667,2009,44.0
108807,2009,35.0
108852,2009,40.0
108977,2009,100.0
109040,2009,90.0
109208,2009,44.0
109332,2009,86.0
109350,2009,50.0
109651,2009,28.0
109721,2009,97.0
109730,2009,98.0
109785,2009,24.0
109819,2009,54.0
109891,2009,50.0
109907,2009,72.0
109934,2009,83.0
110051,2009,51.0
110060,2009,73.0
110097,2009,28.0
110185,2009,40.0
110194,2009,72.0
110219,2009,64.0
110246,2009,54.0
110334,2009,35.0
110361,2009,28.0
110370,2009,33.0
110404,2009,6.0
110413,2009,26.0
110422,2009,12.0
110486,2009,61.0
110495,2009,47.0
110510,2009,58.0
110529,2009,33.0
110538,2009,27.0
110547,2009,63.0
110556,2009,47.0
110565,2009,33.0
110574,2009,43.0
110583,2009,41.0
110592,2009,62.0
110608,2009,53.0
110617,2009,45.0
110635,2009,26.0
110644,2009,38.0
110653,2009,29.0
110662,2009,30.0
110671,2009,46.0
110680,2009,44.0
110705,2009,34.0
110714,2009,32.0
110875,2009,42.0
110918,2009,83.0
110945,2009,58.0
111009,2009,46.0
111054,2009,28.0
111081,2009,30.0
