unitid,name,on_fairtest
100937,Birmingham Southern College,1
102049,Samford University,1
102234,Spring Hill College,1
104179,University of Arizona,1
104586,Embry-Riddle Aeronautical University-Prescott,1
105589,Prescott College,1
107080,Hendrix College,1
107558,University of the Ozarks,1
109785,Azusa Pacific University,1
111966,Charles R Drew University of Medicine and Science,1
112084,San Diego Christian College,1
117140,University of La Verne,1
117751,The Master's University and Seminary,1
118888,Mills College,1
120403,Otis College of Art and Design,1
122612,University of San Francisco,1
125763,Whittier College,1
125897,Woodbury University,1
127060,University of Denver,1
128498,Albertus Magnus College,1
129525,University of Hartford,1
129941,University of New Haven,1
130226,Quinnipiac University,1
130314,University of Saint Joseph,1
130590,Trinity College,1
130624,United States Coast Guard Academy,0
131159,American University,1
131469,George Washington University,1
132657,Lynn University,1
133553,Embry-Riddle Aeronautical University-Daytona Beach,1
133711,Flagler College-St Augustine,1
134945,Jacksonville University,1
137032,Saint Leo University,1
137564,Southeastern University,1
138275,Warner University,1
138716,Albany State University,1
138868,Point University,1
139199,Brenau University,1
139205,Brewton-Parker College,1
141361,Young Harris College,1
141981,University of Hawaii-West Oahu,0
144050,University of Chicago,1
145497,Hebrew Theological College,0
146427,Knox College,1
146676,Lincoln College,1
147341,Monmouth College,1
147369,Moody Bible Institute,1
150400,DePauw University,1
150455,Earlham College,1
150534,University of Evansville,1
150756,Hanover College,1
151777,Manchester University,1
152381,Saint Mary-of-the-Woods College,1
152390,Saint Mary's College,1
153162,Cornell College,1
153320,Faith Baptist Bible College and Theological Seminary,1
153977,Mercy College of Health Sciences,1
154590,William Penn University,1
154749,Bethel College-North Newton,1
155520,MidAmerica Nazarene University,1
155681,Pittsburg State University,1
155937,Sterling College,1
156213,Asbury University,1
156356,Brescia University,1
157757,Spalding University,1
157818,Transylvania University,1
159009,Grambling State University,1
160065,University of Holy Cross,1
161086,Colby College,1
161235,University of Maine at Fort Kent,1
161457,University of New England,1
161509,Maine College of Art,1
161518,Saint Joseph's College of Maine,1
162007,Bowie State University,1
162654,Goucher College,1
163462,Mount St. Mary's University,1
163578,Notre Dame of Maryland University,1
163976,St. John's College,1
164270,McDaniel College,1
164447,American International College,1
164632,Bay Path University,1
164720,Becker College,0
165024,Bridgewater State University,1
165574,Dean College,1
165662,Emerson College,1
165671,Emmanuel College,1
165820,Fitchburg State University,1
165866,Framingham State University,1
166054,Hellenic College-Holy Cross Greek Orthodox School of Theology,0
166391,Lasell College,1
166638,University of Massachusetts-Boston,1
167729,Salem State University,1
168227,Wentworth Institute of Technology,1
