unitid,adoption_year,cohort,n_years_pre,ever_required
100654,2021,covid,12,1
100663,2021,covid,12,1
100690,,never,0,1
100706,2022,post,13,1
100724,2021,covid,12,1
100733,,never,0,0
100751,2021,covid,12,1
100812,,never,0,0
100830,,never,0,1
100858,2022,post,13,1
100937,2018,pre_covid,9,1
101116,,never,0,1
101189,2021,covid,9,1
101365,,never,0,1
101435,2021,covid,12,1
101453,,never,0,1
101480,2021,covid,12,1
101541,,never,0,1
101587,,never,0,1
101675,,never,0,0
101693,2022,post,13,1
101709,2021,covid,12,1
101879,,never,0,1
101912,,never,0,1
102049,2019,pre_covid,10,1
102058,,never,0,0
102094,,never,0,1
102234,2019,pre_covid,10,1
102270,,never,0,1
102298,,never,0,0
102368,,never,0,1
102377,,never,0,1
102395,,never,0,0
102553,,never,0,1
102580,,never,0,0
102614,,never,0,1
102632,,never,0,1
102669,,never,0,1
102845,,never,0,0
103529,,never,0,0
104090,,never,0,0
104151,,never,0,1
104179,2018,pre_covid,9,1
104188,,never,0,0
104586,2017,pre_covid,8,1
104665,,never,0,0
104717,2022,post,13,1
105297,,never,0,0
105330,,never,0,1
105367,,never,0,0
105534,,never,0,0
105589,2017,pre_covid,8,1
105899,2021,covid,12,1
106245,,never,0,1
106263,,never,0,0
106306,,never,0,0
106342,2020,covid,11,1
106397,2022,post,13,1
106412,,never,0,1
106458,2022,post,13,1
106467,2022,post,13,1
106485,,never,0,0
106704,2020,covid,11,1
106713,,never,0,1
106810,,never,0,0
107044,,never,0,1
107071,,never,0,1
107080,2019,pre_covid,10,1
107141,2021,covid,12,1
107512,2022,post,13,1
107558,2017,pre_covid,8,1
107600,,never,0,1
107877,2022,post,13,1
107983,,never,0,1
108056,,never,0,0
108092,,never,0,1
108232,,never,0,0
108269,,never,0,0
108861,,never,0,0
108870,,never,0,0
109086,,never,0,0
109350,,never,0,0
109651,,never,0,1
109785,2019,pre_covid,10,1
109819,,never,0,0
110060,,never,0,0
110097,2021,covid,12,1
110219,,never,0,0
110316,,never,0,0
110361,,never,0,1
110370,,never,0,1
110398,,never,0,0
110404,,never,0,1
110413,2021,covid,12,1
110422,,never,0,1
110468,,never,0,0
110486,,never,0,1
110495,,never,0,1
110501,,never,0,0
110510,,never,0,1
110529,,never,0,1
110538,,never,0,1
110547,,never,0,1
110556,,never,0,1
110565,,never,0,1
110574,,never,0,1
110583,,never,0,1
110592,,never,0,1
110608,,never,0,1
110617,,never,0,1
110635,,never,0,1
110644,,never,0,1
110653,,never,0,1
110662,,never,0,1
110671,,never,0,1
110680,,never,0,1
110699,,never,0,0
110705,,never,0,1
110714,,never,0,1
110778,,never,0,0
110918,2022,post,13,1
111045,,never,0,0
111081,,never,0,0
111188,,never,0,1
111391,,never,0,0
111638,,never,0,0
111948,2020,covid,11,1
111966,2017,pre_covid,4,1
112075,2021,covid,12,1
112084,2019,pre_covid,10,1
112127,,never,0,0
112251,,never,0,0
112260,2021,covid,12,1
112394,,never,0,1
112525,,never,0,0
112570,,never,0,1
113236,,never,0,0
113582,,never,0,0
113698,2020,covid,11,1
113704,,never,0,0
114114,,never,0,0
114123,,never,0,0
114354,,never,0,1
114390,,never,0,1
114433,,never,0,0
114549,,never,0,0
114585,,never,0,0
114716,,never,0,0
114734,,never,0,0
114813,2021,covid,12,1
114831,,never,0,0
114840,,never,0,0
115010,,never,0,0
115083,,never,0,0
115214,,never,0,0
115409,2020,covid,11,1
115728,,never,0,1
115746,,never,0,0
115755,,never,0,1
115773,,never,0,0
116226,,never,0,0
116846,,never,0,1
117104,2021,covid,12,1
117140,2019,pre_covid,10,1
117168,,never,0,1
117283,,never,0,0
117520,,never,0,0
117557,,never,0,0
117575,,never,0,0
117627,,never,0,1
117636,,never,0,0
117672,,never,0,0
117681,,never,0,0
117751,2018,pre_covid,9,1
117946,2020,covid,11,1
118541,,never,0,1
118693,,never,0,1
118888,2016,pre_covid,7,1
118912,,never,0,0
118976,,never,0,0
119058,,never,0,0
119173,2020,covid,11,1
119270,2022,post,13,1
119605,,never,0,0
119678,,never,0,0
119775,,never,0,1
120023,,never,0,0
120166,2020,covid,1,1
120184,,never,0,1
120254,2021,covid,12,1
120403,2018,pre_covid,9,1
120537,2021,covid,12,1
120698,,never,0,0
120768,,never,0,0
120795,,never,0,0
120838,,never,0,0
120865,2022,post,13,1
120883,2020,covid,11,1
121150,2020,covid,11,1
121257,,never,0,0
121275,,never,0,0
121309,2020,covid,11,1
121345,2021,covid,12,1
121619,,never,0,0
121628,,never,0,0
121691,2021,covid,12,1
121886,,never,0,0
122117,,never,0,0
122296,,never,0,0
122320,,never,0,0
122375,,never,0,0
122409,,never,0,1
122436,,never,0,1
122454,,never,0,1
122506,2022,post,13,1
122597,,never,0,1
122612,2019,pre_covid,10,1
122649,,never,0,0
122685,,never,0,0
122728,2022,post,13,1
122755,,never,0,1
122782,,never,0,0
122834,,never,0,0
122852,,never,0,0
122931,2021,covid,12,1
122977,,never,0,0
123095,,never,0,0
123165,2020,covid,11,1
123280,,never,0,1
123299,,never,0,0
123448,,never,0,0
123457,2020,covid,11,1
123509,,never,0,0
123554,2020,covid,11,1
123563,,never,0,0
123572,,never,0,1
123633,,never,0,0
123651,2021,covid,12,1
123916,,never,0,0
123943,,never,0,0
123952,2020,covid,5,1
123961,2021,covid,12,1
123970,,never,0,0
124283,,never,0,0
124292,,never,0,1
124487,,never,0,0
124557,,never,0,0
125037,,never,0,0
125231,,never,0,0
125471,,never,0,0
125718,,never,0,0
125727,2021,covid,12,1
125763,2016,pre_covid,7,1
125897,2017,pre_covid,7,1
126012,,never,0,0
126049,,never,0,0
126076,,never,0,0
126100,,never,0,0
126182,2021,covid,12,1
126289,,never,0,0
126562,2021,covid,12,1
126580,2022,post,13,1
126614,2020,covid,11,1
126669,,never,0,1
126678,2022,post,13,1
126711,,never,0,0
126775,2020,covid,11,1
126818,2020,covid,11,1
126827,,never,0,0
126942,,never,0,0
126979,,never,0,0
127060,2019,pre_covid,10,1
127185,2021,covid,12,1
127200,,never,0,0
127273,,never,0,0
127556,2021,covid,12,1
127565,2021,covid,12,1
127617,,never,0,0
127653,,never,0,0
127714,,never,0,0
127741,2022,post,13,1
127820,,never,0,0
127884,,never,0,0
127909,,never,0,0
127918,2021,covid,12,1
127945,,never,0,1
127954,,never,0,0
128106,2021,covid,12,1
128258,,never,0,0
128300,,never,0,0
128328,,never,0,1
128391,2021,covid,12,1
128498,2018,pre_covid,6,1
128586,,never,0,0
128744,2020,covid,11,1
128771,2021,covid,12,1
128780,,never,0,0
128902,,never,0,0
129020,,never,0,1
129154,,never,0,0
129215,2022,post,13,1
