uid,year,val
100654,2004,0.324
100663,2004,0.307
100706,2004,0.508
100724,2004,0.229
100751,2004,0.593
100760,2004,0.149
100830,2004,0.277
100858,2004,0.502
100919,2004,0.333
100937,2004,0.583
101028,2004,0.09
101073,2004,0.082
101116,2004,0.364
101143,2004,0.15
101161,2004,0.21
101189,2004,0.267
101240,2004,0.268
101286,2004,0.15
101295,2004,0.5
101301,2004,0.223
101365,2004,0.367
101435,2004,0.286
101462,2004,0.13
101471,2004,0.385
101480,2004,0.222
101499,2004,0.326
101505,2004,0.055
101514,2004,0.085
101541,2004,0.5
101569,2004,0.119
101587,2004,0.25
101602,2004,0.265
101648,2004,0.632
101675,2004,0.686
101693,2004,0.278
101709,2004,0.411
101736,2004,0.211
101879,2004,0.283
101897,2004,0.0
101912,2004,0.46
101949,2004,0.252
101994,2004,0.337
102030,2004,0.163
102049,2004,0.417
102067,2004,0.078
102076,2004,0.222
102094,2004,0.212
102216,2004,0.24
102234,2004,0.419
102261,2004,1.0
102270,2004,0.519
102298,2004,0.425
102313,2004,0.384
102368,2004,0.486
102377,2004,0.42
102429,2004,0.099
102553,2004,0.091
102614,2004,0.125
102669,2004,1.0
102845,2004,0.167
103440,2004,0.0
103644,2004,0.545
103723,2004,0.841
103893,2004,0.43
103945,2004,1.0
103963,2004,0.508
104090,2004,1.0
104151,2004,0.431
104160,2004,0.313
104179,2004,0.419
104188,2004,1.0
104346,2004,0.196
104364,2004,0.857
104425,2004,0.25
104531,2004,0.429
104577,2004,0.05
104586,2004,0.25
104708,2004,0.138
104717,2004,0.154
104805,2004,0.55
104984,2004,0.25
105118,2004,0.55
105145,2004,0.185
105154,2004,0.043
105163,2004,0.0
105172,2004,0.6
105215,2004,0.8
105330,2004,0.444
105349,2004,0.0
105428,2004,0.098
105516,2004,0.111
105525,2004,0.456
105534,2004,0.588
105543,2004,0.867
105659,2004,0.81
105747,2004,0.176
105792,2004,0.083
105880,2004,0.5
105899,2004,0.0
106041,2004,0.741
106050,2004,0.333
106102,2004,0.0
106148,2004,0.1
106245,2004,0.173
106306,2004,1.0
106342,2004,0.714
106397,2004,0.467
106412,2004,0.305
106449,2004,0.03
106458,2004,0.255
106467,2004,0.0
106485,2004,0.239
106546,2004,0.772
106625,2004,0.0
106704,2004,0.318
106713,2004,0.143
106795,2004,0.0
106810,2004,0.0
106883,2004,0.08
106980,2004,0.094
106999,2004,0.571
107044,2004,0.375
107071,2004,0.284
107080,2004,0.583
107123,2004,0.6
107141,2004,0.0
107318,2004,0.267
107327,2004,0.09
107460,2004,0.0
107512,2004,0.269
107521,2004,0.034
107558,2004,0.5
107585,2004,0.105
107600,2004,0.167
107619,2004,0.152
107637,2004,0.177
107664,2004,0.125
107725,2004,0.093
107877,2004,0.333
107974,2004,0.125
107983,2004,0.411
107992,2004,0.087
108092,2004,0.3
108232,2004,0.143
108250,2004,0.526
108667,2004,0.3
108807,2004,0.444
108852,2004,1.0
109013,2004,0.0
109208,2004,0.143
109350,2004,0.217
109785,2004,0.706
109819,2004,0.147
109907,2004,0.333
110051,2004,0.833
110097,2004,0.4
110176,2004,0.193
110219,2004,0.0
110246,2004,0.25
110334,2004,0.667
110361,2004,0.333
110370,2004,0.333
110413,2004,0.6
110422,2004,0.5
110468,2004,0.556
110486,2004,0.222
110495,2004,0.25
110510,2004,0.295
110529,2004,0.228
110538,2004,0.244
110547,2004,0.24
110556,2004,0.282
110565,2004,0.29
110574,2004,0.22
110583,2004,0.311
110592,2004,0.23
110608,2004,0.219
110617,2004,0.282
110635,2004,0.7
110644,2004,0.789
110653,2004,0.795
110662,2004,0.729
110671,2004,0.55
110680,2004,0.781
110705,2004,0.707
110714,2004,0.692
110918,2004,1.0
110945,2004,0.5
111009,2004,0.71
111081,2004,0.2
111188,2004,0.0
111434,2004,0.0
111461,2004,0.208
111887,2004,0.086
111896,2004,0.5
111920,2004,0.296
111939,2004,0.188
111948,2004,0.667
111966,2004,1.0
112075,2004,0.417
112084,2004,0.6
112172,2004,0.143
112190,2004,0.286
112260,2004,0.9
112312,2004,0.0
112385,2004,0.0
112446,2004,0.429
112516,2004,0.4
112570,2004,0.0
112686,2004,0.112
112826,2004,0.077
