uid,year,val
100654,2004,0.32
100663,2004,0.359
100706,2004,0.438
100724,2004,0.229
100751,2004,0.629
100760,2004,0.251
100830,2004,0.3
100858,2004,0.619
100919,2004,0.358
100937,2004,0.692
101028,2004,0.096
101073,2004,0.13
101116,2004,0.267
101143,2004,0.218
101161,2004,0.16
101189,2004,0.357
101231,2004,0.703
101240,2004,0.221
101286,2004,0.16
101295,2004,0.513
101301,2004,0.212
101365,2004,0.4
101435,2004,0.442
101453,2004,0.143
101462,2004,0.211
101471,2004,0.356
101480,2004,0.354
101499,2004,0.318
101505,2004,0.112
101514,2004,0.113
101541,2004,0.532
101569,2004,0.124
101587,2004,0.304
101602,2004,0.368
101648,2004,0.856
101675,2004,0.687
101693,2004,0.505
101709,2004,0.454
101736,2004,0.198
101879,2004,0.376
101897,2004,0.226
101912,2004,0.465
101949,2004,0.241
101994,2004,0.375
102030,2004,0.2
102049,2004,0.697
102067,2004,0.084
102076,2004,0.159
102094,2004,0.327
102216,2004,0.269
102234,2004,0.622
102261,2004,1.0
102270,2004,0.522
102298,2004,0.417
102313,2004,0.343
102368,2004,0.507
102377,2004,0.424
102429,2004,0.182
102553,2004,0.26
102614,2004,0.233
102632,2004,0.25
102669,2004,0.406
102711,2004,0.827
102845,2004,0.296
103361,2004,0.96
103440,2004,0.102
103501,2004,0.686
103644,2004,0.301
103723,2004,0.842
103732,2004,0.802
103741,2004,0.694
103787,2004,0.25
103811,2004,0.771
103893,2004,0.566
103945,2004,1.0
103954,2004,0.616
103963,2004,0.574
104090,2004,0.992
104151,2004,0.549
104160,2004,0.508
104179,2004,0.589
104188,2004,0.451
104294,2004,0.82
104346,2004,0.216
104364,2004,0.553
104391,2004,0.75
104425,2004,0.177
104434,2004,0.681
104443,2004,0.759
104504,2004,0.778
104522,2004,0.813
104531,2004,0.368
104568,2004,0.384
104577,2004,0.274
104586,2004,0.61
104708,2004,0.213
104717,2004,0.487
104805,2004,0.655
104911,2004,0.255
104984,2004,0.39
105118,2004,0.441
105127,2004,0.845
105145,2004,0.214
105154,2004,0.122
105163,2004,0.217
105172,2004,0.505
105206,2004,0.3
105215,2004,0.702
105242,2004,0.74
105297,2004,0.052
105330,2004,0.481
105349,2004,0.111
105419,2004,0.689
105428,2004,0.187
105482,2004,0.721
105516,2004,0.129
105525,2004,0.392
105534,2004,0.7
105543,2004,0.687
105589,2004,0.43
105659,2004,0.812
105668,2004,0.097
105677,2004,0.955
105701,2004,0.661
105747,2004,0.12
105792,2004,0.152
105880,2004,0.477
105899,2004,0.55
105987,2004,0.667
106041,2004,0.733
106050,2004,0.266
106102,2004,0.24
106111,2004,0.667
106148,2004,0.171
106245,2004,0.209
106281,2004,0.563
106306,2004,1.0
106315,2004,0.714
106342,2004,0.681
106351,2004,0.719
106360,2004,0.378
106397,2004,0.564
106412,2004,0.303
106449,2004,0.251
106458,2004,0.391
106467,2004,0.351
106485,2004,0.309
106494,2004,0.545
106546,2004,0.853
106607,2004,0.878
106625,2004,0.245
106704,2004,0.403
106713,2004,0.486
106759,2004,0.783
106795,2004,0.155
106810,2004,0.465
106829,2004,0.471
106838,2004,0.683
106883,2004,0.131
106892,2004,0.443
106908,2004,0.542
106980,2004,0.105
106999,2004,0.317
107044,2004,0.586
107071,2004,0.321
107080,2004,0.606
107099,2004,1.0
107123,2004,0.565
107141,2004,1.0
107211,2004,0.818
107220,2004,0.512
107275,2004,0.727
107293,2004,0.636
107318,2004,0.143
107327,2004,0.184
107363,2004,0.557
107442,2004,0.746
107460,2004,0.238
107488,2004,0.602
107512,2004,0.605
107521,2004,0.113
107549,2004,0.114
107558,2004,0.518
107585,2004,0.111
107600,2004,0.169
107619,2004,0.18
107637,2004,0.198
107655,2004,0.82
