uid,year,val
100654,2004,0.64
100663,2004,0.77
100690,2004,0.0
100706,2004,0.76
100724,2004,0.56
100751,2004,0.83
100760,2004,0.97
100830,2004,0.61
100858,2004,0.85
100919,2004,0.6
100937,2004,0.87
100973,2004,0.59
101028,2004,0.62
101073,2004,0.3
101116,2004,0.63
101143,2004,0.6
101161,2004,0.59
101189,2004,0.63
101231,2004,0.82
101240,2004,0.42
101286,2004,0.55
101295,2004,0.56
101301,2004,0.51
101365,2004,0.6
101435,2004,0.66
101453,2004,0.5
101462,2004,0.52
101471,2004,0.77
101480,2004,0.65
101499,2004,0.48
101505,2004,0.53
101514,2004,0.57
101541,2004,0.56
101569,2004,0.55
101587,2004,0.69
101602,2004,0.55
101648,2004,0.29
101675,2004,0.8
101693,2004,0.65
101709,2004,0.74
101736,2004,0.56
101879,2004,0.68
101897,2004,0.23
101912,2004,0.69
101949,2004,0.45
101958,2004,0.5
101994,2004,0.65
102030,2004,0.44
102049,2004,0.84
102067,2004,0.57
102076,2004,0.64
102094,2004,0.72
102216,2004,0.59
102234,2004,0.79
102261,2004,0.67
102270,2004,0.64
102298,2004,0.46
102313,2004,0.52
102322,2004,0.62
102359,2004,0.51
102368,2004,0.72
102377,2004,0.67
102429,2004,0.65
102553,2004,0.7
102614,2004,0.7
102632,2004,0.6
102669,2004,0.62
102711,2004,0.93
102845,2004,0.69
103361,2004,0.44
103440,2004,0.56
103501,2004,0.84
103644,2004,0.59
103723,2004,0.57
103732,2004,0.96
103741,2004,0.88
103787,2004,0.72
103811,2004,0.76
103893,2004,0.78
103945,2004,0.79
103954,2004,0.8
103963,2004,0.65
104090,2004,0.88
104151,2004,0.77
104160,2004,0.64
104179,2004,0.79
104188,2004,0.75
104294,2004,0.73
104346,2004,0.57
104364,2004,0.47
104391,2004,0.48
104425,2004,0.56
104434,2004,0.9
104443,2004,0.95
104504,2004,0.89
104522,2004,0.82
104531,2004,0.47
104568,2004,0.81
104577,2004,0.46
104586,2004,0.77
104708,2004,0.6
104717,2004,0.55
104805,2004,0.83
104911,2004,0.81
104984,2004,0.43
105118,2004,0.75
105127,2004,0.93
105145,2004,0.5
105154,2004,0.58
105163,2004,0.57
105172,2004,0.66
105206,2004,0.67
105215,2004,0.81
105242,2004,0.74
105297,2004,0.58
105330,2004,0.7
105349,2004,0.42
105419,2004,0.88
105428,2004,0.59
105482,2004,0.74
105516,2004,0.55
105525,2004,0.65
105534,2004,0.85
105543,2004,0.83
105589,2004,0.57
105659,2004,0.86
105668,2004,0.72
105677,2004,1.0
105701,2004,0.78
105747,2004,0.57
105792,2004,0.56
105880,2004,0.74
105899,2004,0.64
105987,2004,0.78
106041,2004,0.82
106050,2004,0.56
106102,2004,0.6
106111,2004,0.83
106148,2004,0.53
106245,2004,0.64
106281,2004,0.76
106306,2004,0.5
106315,2004,0.57
106342,2004,0.66
106351,2004,0.9
106360,2004,0.65
106397,2004,0.84
106412,2004,0.62
106449,2004,0.54
106458,2004,0.68
106467,2004,0.69
106485,2004,0.5
106494,2004,0.85
106546,2004,0.93
106607,2004,0.94
106625,2004,0.59
106704,2004,0.7
106713,2004,0.67
106759,2004,1.0
106795,2004,0.51
106810,2004,0.5
106829,2004,0.74
106838,2004,0.25
106883,2004,0.44
106892,2004,0.43
106908,2004,0.89
106980,2004,0.68
106999,2004,0.65
107044,2004,0.79
107071,2004,0.62
107080,2004,0.83
107099,2004,0.78
107123,2004,0.64
107141,2004,0.76
107211,2004,0.81
107220,2004,0.66
107275,2004,0.5
107293,2004,0.65
107318,2004,0.45
107327,2004,0.5
107363,2004,0.5
107442,2004,0.85
107460,2004,0.76
107488,2004,0.81
107512,2004,0.68
107521,2004,0.54
107549,2004,0.77
107558,2004,0.54
107585,2004,0.5
107600,2004,0.69
107619,2004,0.5
107637,2004,0.47
107655,2004,0.89
107664,2004,0.64
107725,2004,0.47
107743,2004,0.31
107789,2004,0.67
