unitid,year,state,retention_rate,system,adoption_year,treated,post,event_time
100654,2009,AL,0.69,,,0,0,
100654,2010,AL,0.75,,,0,0,
100654,2011,AL,0.64,,,0,0,
100654,2012,AL,0.68,,,0,0,
100654,2013,AL,0.63,,,0,0,
100654,2014,AL,0.66,,,0,0,
100654,2015,AL,0.58,,,0,0,
100654,2016,AL,0.58,,,0,0,
100654,2017,AL,0.59,,,0,0,
100654,2018,AL,0.61,,,0,0,
100654,2019,AL,0.57,,,0,0,
100654,2020,AL,0.54,,,0,0,
100663,2009,AL,0.82,,,0,0,
100663,2010,AL,0.8,,,0,0,
100663,2011,AL,0.79,,,0,0,
100663,2012,AL,0.8,,,0,0,
100663,2013,AL,0.8,,,0,0,
100663,2014,AL,0.83,,,0,0,
100663,2015,AL,0.79,,,0,0,
100663,2016,AL,0.82,,,0,0,
100663,2017,AL,0.84,,,0,0,
100663,2018,AL,0.82,,,0,0,
100663,2019,AL,0.83,,,0,0,
100663,2020,AL,0.86,,,0,0,
100706,2009,AL,0.76,,,0,0,
100706,2010,AL,0.75,,,0,0,
100706,2011,AL,0.79,,,0,0,
100706,2012,AL,0.79,,,0,0,
100706,2013,AL,0.81,,,0,0,
100706,2014,AL,0.77,,,0,0,
100706,2015,AL,0.8,,,0,0,
100706,2016,AL,0.83,,,0,0,
100706,2017,AL,0.82,,,0,0,
100706,2018,AL,0.83,,,0,0,
100706,2019,AL,0.83,,,0,0,
100706,2020,AL,0.82,,,0,0,
100724,2009,AL,0.53,,,0,0,
100724,2010,AL,0.64,,,0,0,
100724,2011,AL,0.54,,,0,0,
100724,2012,AL,0.62,,,0,0,
100724,2013,AL,0.62,,,0,0,
100724,2014,AL,0.57,,,0,0,
100724,2015,AL,0.6,,,0,0,
100724,2016,AL,0.63,,,0,0,
100724,2017,AL,0.59,,,0,0,
100724,2018,AL,0.59,,,0,0,
100724,2019,AL,0.61,,,0,0,
100724,2020,AL,0.62,,,0,0,
100751,2009,AL,0.83,,,0,0,
100751,2010,AL,0.85,,,0,0,
100751,2011,AL,0.86,,,0,0,
100751,2012,AL,0.85,,,0,0,
100751,2013,AL,0.87,,,0,0,
100751,2014,AL,0.87,,,0,0,
100751,2015,AL,0.86,,,0,0,
100751,2016,AL,0.86,,,0,0,
100751,2017,AL,0.87,,,0,0,
100751,2018,AL,0.88,,,0,0,
100751,2019,AL,0.87,,,0,0,
100751,2020,AL,0.87,,,0,0,
100830,2009,AL,0.58,,,0,0,
100830,2010,AL,0.54,,,0,0,
100830,2011,AL,0.5,,,0,0,
100830,2012,AL,0.59,,,0,0,
100830,2013,AL,0.63,,,0,0,
100830,2014,AL,0.65,,,0,0,
100830,2015,AL,0.65,,,0,0,
100830,2016,AL,0.67,,,0,0,
100830,2017,AL,0.68,,,0,0,
100830,2018,AL,0.67,,,0,0,
100830,2019,AL,0.66,,,0,0,
100830,2020,AL,0.7,,,0,0,
100858,2009,AL,0.86,,,0,0,
100858,2010,AL,0.87,,,0,0,
100858,2011,AL,0.89,,,0,0,
100858,2012,AL,0.9,,,0,0,
100858,2013,AL,0.89,,,0,0,
100858,2014,AL,0.91,,,0,0,
100858,2015,AL,0.9,,,0,0,
100858,2016,AL,0.91,,,0,0,
100858,2017,AL,0.92,,,0,0,
100858,2018,AL,0.9,,,0,0,
100858,2019,AL,0.91,,,0,0,
100858,2020,AL,0.92,,,0,0,
101480,2009,AL,0.68,,,0,0,
101480,2010,AL,0.68,,,0,0,
101480,2011,AL,0.68,,,0,0,
101480,2012,AL,0.67,,,0,0,
101480,2013,AL,0.71,,,0,0,
101480,2014,AL,0.72,,,0,0,
101480,2015,AL,0.74,,,0,0,
101480,2016,AL,0.78,,,0,0,
101480,2017,AL,0.74,,,0,0,
101480,2018,AL,0.75,,,0,0,
101480,2019,AL,0.76,,,0,0,
101480,2020,AL,0.73,,,0,0,
101587,2009,AL,0.65,,,0,0,
101587,2010,AL,0.63,,,0,0,
101587,2011,AL,0.57,,,0,0,
101587,2012,AL,0.57,,,0,0,
101587,2013,AL,0.58,,,0,0,
101587,2014,AL,0.65,,,0,0,
101587,2015,AL,0.66,,,0,0,
101587,2016,AL,0.66,,,0,0,
101587,2017,AL,0.66,,,0,0,
101587,2018,AL,0.62,,,0,0,
101587,2019,AL,0.67,,,0,0,
101587,2020,AL,0.63,,,0,0,
101709,2009,AL,0.79,,,0,0,
101709,2010,AL,0.72,,,0,0,
101709,2011,AL,0.77,,,0,0,
101709,2012,AL,0.78,,,0,0,
101709,2013,AL,0.74,,,0,0,
101709,2014,AL,0.79,,,0,0,
101709,2015,AL,0.77,,,0,0,
101709,2016,AL,0.73,,,0,0,
101709,2017,AL,0.78,,,0,0,
101709,2018,AL,0.76,,,0,0,
101709,2019,AL,0.74,,,0,0,
101709,2020,AL,0.78,,,0,0,
101879,2009,AL,0.71,,,0,0,
101879,2010,AL,0.65,,,0,0,
101879,2011,AL,0.71,,,0,0,
101879,2012,AL,0.69,,,0,0,
101879,2013,AL,0.71,,,0,0,
101879,2014,AL,0.72,,,0,0,
101879,2015,AL,0.76,,,0,0,
101879,2016,AL,0.75,,,0,0,
