year,treated,p100663,p109819,p110635,p110662,p121619,p122977,p126562,p129020,p130943,p135717,p142115,p145637,p150136,p151111,p151351,p155399,p157085,p157289,p163204,p164076,p166629,p170976,p171100,p172644,p182005,p182281,p190594,p199120,p199193,p201885,p204796,p204857,p207388,p216339,p222992,p224615,p227182,p227368,p227881,p228769,p228796,p230728,p230737,p230764,p230782,p233921,p234076,p238032,p243780,p247834,p409315
2004,-0.0016817256496649557,-0.1103222469668323,0.041480472550545766,-0.0027810617963507367,-0.0037061141791633334,0.010473349051755454,0.008022293633930366,0.0023348900992253285,0.013178799726168977,0.05503300810000156,-0.001957731722806777,0.00646614091418668,-0.05636965161035545,-0.0513207500756544,-0.01738711559227163,0.1300004184664031,0.05938222799424686,-0.031820939171727014,-0.01351993361558812,0.013443550931877324,-0.007769385440253518,0.012487223358236488,-0.0003694603651835937,0.0155231347335556,-0.0033661472422240046,-0.011886358943574142,-0.008026194877481851,-0.0010165083753971293,0.0024365351284405534,-0.09817300927391481,0.021529250291722146,-4.6677630083369337e-07,0.049612642265460916,-0.05267578854613375,0.08538964624064749,-0.028178616763946923,0.04134829682178848,-0.0032190533384245934,-0.001467982109007171,-0.002069793585621038,-8.354664147147695e-05,-0.001681355658772643,-0.019645094677734898,0.002399000653989042,-0.007368559334004876,0.011378380499955432,0.0012698641673944966,0.052331585345213205,-0.08863664207659028,0.0009040230796364401,0.0009104060975772821,-0.06174673710335192
2005,-0.008272019547864329,0.20659272275967622,0.008315758036883447,0.0076428526625133,0.0006735344799845278,-0.003288520848568899,-0.0007689679925538262,-0.0060906802458155496,-0.09379026738032459,0.026314699774795947,-0.0035722930293676236,-0.02184517622931853,-0.033670648860828156,0.01028116715368843,-0.010810016928255117,-0.17453281532946618,-0.0029167926896150886,0.05538798525349642,-0.003126578162505833,0.10938219613715505,-0.007412953049512616,0.015355450166356754,-0.0014448728989138182,-0.032673833844499955,0.0021023503377948227,-0.004764539701590617,0.06091683376119561,-0.0010125307922926874,-0.003645608138476697,0.020138471816327663,0.07276969597793448,-0.00400514003654151,0.05547197038266771,0.2600229082661394,0.027528867779601618,-0.027503745160961116,-0.01834749612874914,-0.0025462608602744574,-0.0004162649989972178,3.7886356446359404e-05,-0.007460533191262941,-0.0007679461180169489,0.009655325479118071,-0.010888871194446426,-0.003684998527592853,0.0035987889511129856,0.0005551459793761149,0.027442113793618605,-0.14156664443256284,0.00036067703355302516,-0.004358249738748793,-0.07475476482687937
2006,0.004816572073895131,-0.068413437492725,0.014955081734432774,-0.005837904267325222,0.0020150123576154755,-0.01590303124479847,0.0030438381345103682,0.0003929544385034567,0.06170173714275551,0.025802351923235656,0.003699289948284279,0.00464038256392546,-0.023655228372166492,0.0027069152981546996,-0.01849588631322774,-0.2324515233110463,0.024021071528923188,-0.026265630593907074,-0.0011101682324048956,-0.07372011006636414,0.01337751316081981,-0.05053441096772604,0.0008507368287259398,0.010534224717108742,0.0015820345857216478,0.011864831156096267,0.011875719046087752,-0.0009110491388423236,-0.0026455369418587615,0.031476816266725494,-0.0018170067808394585,0.001973483080867977,-0.09253774621227318,0.2510493794478357,0.007173312922764574,-0.06580250266535567,0.02758324536218873,-0.002180674355554163,-0.00013937924682466685,-0.0002664832560496655,0.009793328268387635,-0.0004329769274234452,-0.040662564008695556,0.0022497115279843105,0.003213398332255646,-0.00849902590442203,0.002595892826096846,0.03410004051970539,0.2420180721741778,3.816493831843015e-05,-0.012260917164629376,-0.015898352712195474
2007,-0.0008881245961923079,-0.032187312385437705,-0.009489158379816037,-0.0013780286027077482,0.0005537746547843447,0.0030951173163024925,0.0009438646344346324,-0.0011272658501655375,0.010299580824581822,0.06054680672442447,0.0018374470866880377,0.09800081233281577,0.04129894941766776,0.028894519414948916,0.00893136443075443,0.11558483746522974,0.006505474671843037,-0.07240320616661955,-9.3060513072174e-05,-0.03797996578764515,-0.0008547529701650181,0.01240242073187292,-0.002020310149151938,0.006104040767459629,0.003158360757622547,-0.018990543777248292,0.0193483755533414,-8.691808475330687e-05,-0.004566433879505505,0.06747541640353927,0.08315451914717914,-0.00317417244809437,0.027595044354336906,-0.06715686228283146,-0.36080509330441557,-0.015085949893690203,-0.012089818478070988,-0.0014608353237054866,0.0011367007104364224,-0.00011332410913489355,-0.0020342503677135415,-0.0003794582086501519,0.009808427250202922,0.0004105739555749499,-0.0013344242895843017,-0.011180552888509554,0.006946720599620981,0.038557886206372904,-0.028046682757081,-0.00020865479002996068,-0.0008588109391826221,-0.0569276409571923
2008,0.004045484472451788,-0.061270491451484,-0.0143628239974663,0.0031583462270117213,-0.0007571041470205708,0.012026491561947628,-0.015970904364069977,0.007421519427836032,0.08079720294660464,-0.027812979569110885,0.0015380975923151297,-0.04709777014891586,0.041482374133962274,0.0026308507672930803,0.026612898012109587,-0.02992993567738622,0.06016332562725002,-0.050003500758405206,0.006526187996188315,0.004555766986879359,0.03705913935441185,-0.01701558028505379,0.0023829390422521746,0.0205486717551433,0.011222207923178351,-0.02443865950409048,-0.04651978770779008,-0.0009875773144398248,-0.006456240937936952,0.05480687038938181,-0.15502440079022278,-0.002021280337623721,0.058835876332953396,-0.017032540303950627,0.14582540037694258,-0.009702337444863464,-0.011909667300274651,0.004875595535172472,-0.0001459777864576961,-0.0004924786277669124,0.005195222830392754,-0.001648138409426514,0.06837692444251542,-0.0038597128587660734,0.0033101121432504987,0.03445372456565676,-0.006150840915444378,0.03689471551593815,-0.09966472004791727,0.0016592922030981283,-0.006661205308966828,-0.026221973633968068
2009,0.004692025792911836,-0.02490943176280158,-0.017808174009415922,0.009147574817325088,0.0024534241246417787,0.011371293209213179,-0.0061507804291622,0.0020426659011704706,-0.059356021360554845,0.020693477410529626,0.0009483980500378242,-0.0009979411397608162,0.04496060107529687,0.015612248410796115,0.011600633989037046,-0.0014026535963790332,-0.1034179484016162,-0.059687854667136664,0.0023112295323530208,-0.023680170205320136,0.005101265790835807,0.05574090579422941,0.0007701685509080569,0.020530861556965818,-0.000662793081470936,0.016141072476727233,-0.07100884718185203,0.002724153054672107,0.011801917069570012,-0.045138744436407474,0.11005055009412124,0.0034285927552585305,-0.013435754815577017,-0.050348620851813686,0.1474910359815388,-0.04526914781930157,-0.001810682388641835,-0.0029893658376880933,0.00010049068740547451,0.0027108935470722684,0.0021247705066013145,0.0031636202585338946,0.02800154488689688,-0.017369283673451974,0.0052709571247741005,-0.002461699876850798,-0.004085442035077325,0.027563130170720984,0.023877235744409253,0.000396363603254124,0.021542367872414064,-0.044296034070078594
2010,-0.004043091437486546,0.2594214332939383,-0.007244446519776487,-0.004721724103309177,-0.002434474066733805,-0.017851717136947776,0.004467634663427422,-0.006148738150377531,0.0026855906060754275,0.022039107956000503,-0.0031121643852130287,0.01792771062255205,0.006851343122862619,-0.0062837955709128535,-0.010861260450121424,0.05888280174539262,-0.013993796909698708,0.04512273486898011,0.0045647913645784355,-0.03146055864142436,-0.023904758271519055,-0.0020201320715910187,-0.001916761443923054,-0.040188366511418105,-0.012679854552310632,0.010676217544163868,-0.026840039647659353,0.0013567719645985465,0.002888603733197992,0.023300173954821757,-0.1835977337902344,0.0004607711147910365,-0.02876119405098443,-0.1447828173580632,0.010893468379999827,-0.05844287787430861,-0.02526193164948625,0.0038850351724174365,0.0005861918074031025,0.00017350345438449377,-0.008777605905770869,0.001024176716026226,0.002904948523297479,0.013558016313048593,-0.0015945546133308008,-0.03744851664808835,-0.0006551093568439859,0.038447357757966705,0.23842669853866094,-0.0021368119448027523,-0.00033969749442355757,-0.0473376715245855
2011,0.0001464050462961497,-0.23655823474141113,-0.023253185901050022,-0.0011741741150194107,0.004649420524116321,-0.003697871536946007,0.002418838030937509,0.000296212368514126,0.060575466638033815,-0.12679633842846327,-0.00020495488197391776,-0.09897038424977954,0.008031116301453589,-0.008917928505407069,0.0033105601184184597,0.09561424607683455,0.003845558627255441,0.2999875684214153,0.0022855875707623596,-0.0788520880603815,-0.008381629972852633,-0.012649430114120674,0.003771517907374289,0.011280969964806431,-0.0035283611026604156,0.00278456471823281,0.01891594302826133,-0.0003910489783526816,0.006483323151785458,0.0119483162687537,0.041670836193644645,0.006190770951961189,-0.029320579598580587,-0.05877530020221566,-0.031808978917108544,-0.029895629305361306,-0.03601098423527409,0.0010598630265928471,-6.129779559471693e-05,-0.00033000972187535726,0.0004531615463968519,0.0003876706321553902,-0.05187048607021899,0.0011924339652316651,0.0014274959323575809,0.009861916945317517,0.003493939562029258,0.0198842275872414,-0.12271709571637923,-0.0006220885334775605,-0.0029734759795546767,0.248892293047757
2012,0.02842038219991827,0.5558330195792123,-0.04614875635037077,0.02749266020414931,0.015007307010447501,0.0125204924701732,0.048291020268767415,-0.05332775020945163,0.06762435998626048,0.09727173031432046,0.05599145695590535,-0.058334379682984244,-0.20159629380089983,-0.014436551723880253,0.04419829583404816,0.12974155550348765,-0.4008056022436432,-0.3348421437822947,0.037267303053518996,-0.12796440919541566,-0.007493932115358426,-0.07376955799450535,0.019878746784531498,-0.1039323744550934,0.017517834260171894,0.0030109727441917783,0.25059069535092443,0.020653649361629056,0.05271842903946922,0.34224345114744603,0.21491240210994456,0.14773425748382685,-0.03674306347999545,-0.15077131824266166,0.4156960706967987,-0.027094929865847675,-0.04881234811961797,-0.00883231819691073,-0.05036656281808194,0.025130744514427428,-0.022799527046289292,-0.008941034953990012,0.05332419739113675,-0.009034247604924661,0.009298338715855947,-0.03992027417149435,0.12850830658355983,0.027226300861155295,-0.23994861670801992,0.07429564976806091,-0.017777122984912866,-0.03383254852941461
2013,0.039700079364951124,-0.17465866564590715,-0.01580358710716273,-0.006738304084300095,0.0012999295721737303,0.015230980013576867,0.02177458228172735,-0.028869533400037672,-0.19746694260406294,0.10904084216053012,0.06766887799686389,-0.0589944163060315,-0.00240631884383935,-0.008968478007837066,0.058601820199690347,0.21064617640800332,0.05476452886036043,0.26592661517966976,-0.006080265872423829,-0.06664760562967721,-0.008027239631770211,0.07307561476274893,0.004999082556532253,-0.08351227282215956,0.04170468908147873,-0.015288374558533102,-0.018766271169138593,0.015095263791528812,0.0016864150072413153,0.05536323797610665,-0.04836931375287673,0.041350510901979165,-0.005527019932138999,-0.050741753065228656,0.1700030485022257,-0.008142638747992328,-0.05908301650196223,-0.03622308041845623,-0.01699131387629943,0.03767558162572776,0.06036093266235226,-0.02794963381304727,0.0021020200297562908,0.044196920224173264,0.04225490277524657,0.05269465148555286,-0.0397889809193136,0.03233158534521263,-0.041633951174375294,-0.021982660958889677,-0.03769351600716726,-0.01621629447810513
