year,real,synth
2004,0.402,0.403681725649665
2005,0.414,0.4222720195478643
2006,0.472,0.46718342792610484
2007,0.442,0.4428881245961923
2008,0.498,0.4939545155275482
2009,0.482,0.47730797420708815
2010,0.473,0.4770430914374865
2011,0.508,0.5078535949537039
2012,0.532,0.5035796178000818
2013,0.533,0.4932999206350489
2014,0.539,0.496203242349267
2015,0.53,0.5230148161489815
2016,0.535,0.5142457361437204
2017,0.543,0.5290459990224333
2018,0.547,0.522590403013329
2019,0.531,0.5382357889626229
2020,0.563,0.5683063649451038
