year,real,synth
2004,0.83,0.8302142237988355
2005,0.8,0.7997157954477616
2006,0.79,0.7909300511089586
2007,0.82,0.8196510609533159
2008,0.82,0.8197233211055781
2009,0.83,0.8295439284878856
2010,0.84,0.8400625071315245
2011,0.83,0.8307262768334768
2012,0.83,0.8399586505175338
2013,0.82,0.8479459824408886
2014,0.81,0.848937257399881
2015,0.8,0.8581983059646323
2016,0.83,0.8611614093031248
2017,0.83,0.8592600493739336
2018,0.84,0.8655407111337692
2019,0.82,0.8692195252475281
2020,0.81,0.8699709999645971
