state_abbr,member_name,role,occupation_note,occ_category,is_educator,source,as_of
TX,Gustavo Reveles,member,ISD communications director / former journalist,media,0.0,https://sboe.texas.gov/state-board-of-education/sboe-board-members/sboe-members,2026-07
TX,LJ Francis,member,professional engineer,engineering,0.0,https://sboe.texas.gov/state-board-of-education/sboe-board-members/sboe-members,2026-07
TX,Marisa Perez-Diaz,member,former school district administrator (now credit union VP),educator,1.0,https://sboe.texas.gov/state-board-of-education/sboe-board-members/sboe-members,2026-07
TX,Staci Childs,member,former teacher + attorney,educator,1.0,https://sboe.texas.gov/state-board-of-education/sboe-board-members/sboe-members,2026-07
TX,Rebecca Bell-Metereau,member,university professor emerita (Texas State),educator,1.0,https://sboe.texas.gov/state-board-of-education/sboe-board-members/sboe-members,2026-07
TX,Will Hickman,member,attorney (in-house counsel),law,0.0,https://sboe.texas.gov/state-board-of-education/sboe-board-members/sboe-members,2026-07
TX,Julie Pickren,member,small business owner / homeschool,business,0.0,https://sboe.texas.gov/state-board-of-education/sboe-board-members/sboe-members,2026-07
TX,Audrey Young,member,EdD; special education director (retired),educator,1.0,https://sboe.texas.gov/state-board-of-education/sboe-board-members/sboe-members,2026-07
TX,Keven Ellis,chair,chiropractor; former local board president,health,0.0,https://sboe.texas.gov/state-board-of-education/sboe-board-members/sboe-members,2026-07
TX,Tom Maynard,member,ag science teacher + Texas FFA exec director,educator,1.0,https://sboe.texas.gov/state-board-of-education/sboe-board-members/sboe-members,2026-07
TX,Brandon Hall,member,pastor; former US House aide,clergy,0.0,https://sboe.texas.gov/state-board-of-education/sboe-board-members/sboe-members,2026-07
TX,Pam Little,vice-chair,business owner (fence co); former CC instructor/ed publishing,business,0.0,https://sboe.texas.gov/state-board-of-education/sboe-board-members/sboe-members,2026-07
TX,Aaron Kinsey,member,aviation company CEO; former commercial real estate,business,0.0,https://sboe.texas.gov/state-board-of-education/sboe-board-members/sboe-members,2026-07
TX,Tiffany Clark,member,teacher/counselor/adjunct prof; DeSoto ISD trustee (only member still in education),educator,1.0,https://sboe.texas.gov/state-board-of-education/sboe-board-members/sboe-members,2026-07
TX,Evelyn Brooks,member,educator (23yrs teaching),educator,1.0,https://sboe.texas.gov/state-board-of-education/sboe-board-members/sboe-members,2026-07
GA,Nicholas Ellis,member,city manager / director of public safety (Jesup),govt,0.0,https://gadoe.org/state-board/state-board-education-members/,2026-07
GA,Kristi Garrett,member,marketing exec (CMO RA-LIN); business,business,0.0,https://gadoe.org/state-board/state-board-education-members/,2026-07
GA,Lisa Kinnemore,member,homeschool parent / private academy board,other,0.0,https://gadoe.org/state-board/state-board-education-members/,2026-07
GA,Leonte Benton,member,commercial real estate (T. Dallas Smith & Co),business,0.0,https://gadoe.org/state-board/state-board-education-members/,2026-07
GA,Jason Downey,member,attorney (Morgan & Morgan),law,0.0,https://gadoe.org/state-board/state-board-education-members/,2026-07
GA,Frank Griffin,member,bank president (Flint Community Bank),business,0.0,https://gadoe.org/state-board/state-board-education-members/,2026-07
GA,Rachel Kinsaul,ex-officio,agricultural science teacher (2026 GA Teacher of the Year),educator,1.0,https://gadoe.org/state-board/state-board-education-members/,2026-07
CA,Linda Darling-Hammond,president,Stanford professor emerita of education,educator,1.0,https://www.cde.ca.gov/be/ms/mm/,2026-07
CA,Cynthia Glover Woods,vice-president,chief academic officer Riverside COE; former teacher/principal,educator,1.0,https://www.cde.ca.gov/be/ms/mm/,2026-07
CA,Francisco Escobedo,member,exec dir NCUST / former superintendent,educator,1.0,https://www.cde.ca.gov/be/ms/mm/,2026-07
CA,Brenda Lewis,member,retired associate superintendent KHSD (former PE teacher),educator,1.0,https://www.cde.ca.gov/be/ms/mm/,2026-07
CA,James McQuillen,member,director Yurok Tribe Education Dept,educator,1.0,https://www.cde.ca.gov/be/ms/mm/,2026-07
CA,Sharon Olken,member,exec dir Gateway Public Schools (teacher/founder),educator,1.0,https://www.cde.ca.gov/be/ms/mm/,2026-07
CA,Gabriela Orozco-Gonzalez,member,current elementary school teacher (Montebello 20+ yrs),educator,1.0,https://www.cde.ca.gov/be/ms/mm/,2026-07
CA,Kim Pattillo Brownson,member,Ballmer Group policy director; former education attorney,law,0.0,https://www.cde.ca.gov/be/ms/mm/,2026-07
CA,Haydee Rodriguez,member,current classroom teacher NBCT (Central Union HS),educator,1.0,https://www.cde.ca.gov/be/ms/mm/,2026-07
CA,Alison Yoshimoto-Towery,member,former LAUSD chief academic officer; ed nonprofit director,educator,1.0,https://www.cde.ca.gov/be/ms/mm/,2026-07
CA,Vanessa Ejike,student,high school student,student,,https://www.cde.ca.gov/be/ms/mm/,2026-07
GA,Melanie Stockwell,member,attorney; former GA DOE general counsel / senate staff,law,0.0,https://gadoe.org/state-board/state-board-education-members/,2026-07
GA,Matt Donaldson,member,bank CFO; former mayor,business,0.0,https://gadoe.org/state-board/state-board-education-members/,2026-07
GA,Jennifer Fennell,member,electric co-op district manager (govt relations),business,0.0,https://gadoe.org/state-board/state-board-education-members/,2026-07
MA,Matt Hills,vice-chair,private equity managing director,business,0.0,https://www.doe.mass.edu/bese/edboard.html,2026-07
MA,Ericka Fisher,member,associate professor of education (Holy Cross),educator,1.0,https://www.doe.mass.edu/bese/edboard.html,2026-07
MA,Christina Grant,member,former public school teacher / superintendent,educator,1.0,https://www.doe.mass.edu/bese/edboard.html,2026-07
MA,Kristen Smidy,member,former superintendent; NEASC accreditation director,educator,1.0,https://www.doe.mass.edu/bese/edboard.html,2026-07
