metric,value
advisory_teacher_seat,7.0
bar_current_educators,7.0
board_edu_share_mean_pct,52.3
boards_ge60pct_educator,20.0
boards_le25pct_educator,10.0
boards_with_members,41.0
edu_share_lb_mandate_pct,26.6
edu_share_lb_nomandate_pct,19.2
edu_share_lb_overall_pct,20.8
edu_share_lb_welch_p,0.1134
edu_share_mandate_pct,79.8
edu_share_mandate_welch_p,0.0025
edu_share_nomandate_pct,44.6
educator_share_overall_pct,50.5
mandate_educator_or_stakeholder,9.0
median_board_coverage_pct,36.4
members_coded,182.0
n_boards,47.0
spearman_eduShare_algorithmic_grade,-0.337
spearman_eduShare_algorithmic_grade_p,0.031
spearman_eduShare_auth_index,-0.21
spearman_eduShare_auth_index_p,0.187
spearman_eduShare_naep_g4_math_equiv,0.311
spearman_eduShare_naep_g4_math_equiv_p,0.051
spearman_eduShare_rep_index,0.212
spearman_eduShare_rep_index_p,0.183
voting_teacher_seat,6.0
