state,state_abbr,board_regime,board_exists,csso_regime,n_voting,term_years,constitutional,frac_elected_public,student_voting,teacher_voting,student_present,teacher_present,student_voice,teacher_voice,auth_standards_board,auth_licensure_board,rep_index,rep_index_equal,rep_index_altWA,auth_index,gap,rating_category,algorithmic_grade,summative_any,naep_g4_math_equiv,enrollment_2021,pct_white_2021,pct_students_of_color,pct_frl_2122,sel_board_raw,sel_csso_raw,n_voting_raw,term_raw,established_raw,auth_licensure,auth_standards
Alabama,AL,elected,1,board,8.0,4.0,1.0,1.0,0,0,0,0,0.0,0.0,1.0,1.0,0.5,0.3333333333333333,0.5,1.0,0.5,FederalTiers,0,0,235.0,748274,52.6,47.4,49.0,Partisan ballot,SBE appoints,8 plus governor,4,Constitution,SBE,SBE
Alaska,AK,governor,1,board,7.0,5.0,0.0,0.0,0,0,1,0,0.5,0.0,1.0,1.0,0.125,0.16666666666666666,0.125,0.6666666666666666,0.5416666666666666,Index,1,1,238.0,129944,47.2,52.8,,Governor appoints; legislature confirms,SBE appoints with approval by governor,"7 plus 2 nonvoting members, including 1 student",5,Statute,SBE,SBE
Arizona,AZ,governor,1,elected,11.0,4.0,1.0,0.0,0,1,0,1,0.0,1.0,1.0,1.0,0.25,0.3333333333333333,0.25,1.0,0.75,Index,1,1,242.0,1133284,35.8,64.2,32.5,"Governor appoints with consent of Senate, except CSSO",Partisan ballot,"11, including 1 teacher",4,Constitution,SBE,SBE
Arkansas,AR,governor,1,board,9.0,7.0,0.0,0.0,0,0,0,1,0.0,0.5,1.0,1.0,0.125,0.16666666666666666,0.125,0.6666666666666666,0.5416666666666666,Index,1,1,234.0,489565,59.4,40.6,65.1,Governor appoints; Senate confirms,SBE appoints,"9, including 1 nonvoting teacher of the year",7,Statute,SBE,SBE
California,CA,governor,1,elected,11.0,4.0,1.0,0.0,1,0,1,0,1.0,0.0,1.0,0.5,0.25,0.3333333333333333,0.25,0.8333333333333334,0.5833333333333334,Dashboard,0,0,241.0,5959858,21.0,79.0,57.8,Governor appoints with advice and consent of Senate,Nonpartisan ballot,"11, including 1 voting student",4,Constitution,PSC,SBE
Colorado,CO,elected,1,board,9.0,6.0,1.0,1.0,0,0,0,0,0.0,0.0,1.0,1.0,0.5,0.3333333333333333,0.5,1.0,0.5,FederalTiers,0,0,257.0,880597,51.7,48.3,38.3,Partisan ballot,SBE appoints,9,6,Constitution,SBE,SBE
Connecticut,CT,governor,1,governor,11.0,4.0,0.0,0.0,0,0,1,0,0.5,0.0,1.0,1.0,0.125,0.16666666666666666,0.125,0.6666666666666666,0.5416666666666666,Index,1,1,242.0,509748,48.6,51.4,39.9,Governor appoints with advice and consent of General Assembly,SBE makes recommendation; governor appoints,11 voting members plus 2 nonvoting students,4,Statute,SBE,SBE
Delaware,DE,governor,1,governor,7.0,6.0,0.0,0.0,0,0,1,1,0.5,0.5,1.0,1.0,0.25,0.3333333333333333,0.25,0.6666666666666666,0.41666666666666663,Descriptive,0,1,239.0,139935,41.6,58.4,24.3,Governor appoints; Senate confirms,Governor appoints,7 voting members plus 1 nonvoting student and former teacher of the year,6,Statute,SBE,SBE
Florida,FL,governor,1,board,7.0,4.0,1.0,0.0,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,Index,1,1,236.0,2833186,36.1,63.9,53.8,Governor appoints; Senate confirms,SBE appoints,7,4,Constitution,SBE,SBE
Georgia,GA,governor,1,elected,14.0,7.0,1.0,0.0,0,0,0,0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.8333333333333334,0.8333333333333334,FederalTiers,0,0,239.0,1740875,36.7,63.3,26.1,"Governor appoints, with consent of Senate",Partisan ballot,14,7,Constitution,PSC,SBE
