state_abbr,enrollment_2021,pct_white_2021,pct_frl_2122
AL,748274,52.6,49.0
AK,129944,47.2,
AZ,1133284,35.8,32.5
AR,489565,59.4,65.1
CA,5959858,21.0,57.8
CO,880597,51.7,38.3
CT,509748,48.6,39.9
DE,139935,41.6,24.3
DC,88908,13.1,46.5
FL,2833186,36.1,53.8
GA,1740875,36.7,26.1
HI,173178,11.3,47.2
ID,314258,74.2,25.3
IL,1868482,46.5,46.2
IN,1036625,65.1,44.2
IA,510661,73.3,40.1
KS,485424,62.7,43.2
KY,654239,73.9,56.8
LA,683216,43.0,47.5
ME,173215,87.5,37.6
MD,881461,33.9,42.0
MA,921180,55.8,43.8
MI,1440090,64.3,51.1
MN,870506,63.1,31.5
MS,442000,43.1,99.6
MO,888823,69.3,43.9
MT,150195,77.7,31.0
NE,327564,64.1,41.3
NV,486648,29.3,72.9
NH,170005,83.4,20.8
NJ,1372381,39.6,34.2
NM,316785,21.2,74.8
NY,2548490,41.0,54.8
NC,1525223,44.9,50.8
ND,116864,74.3,21.9
OH,1683612,67.4,40.9
OK,698696,46.3,55.9
OR,576201,59.5,23.4
PA,1695092,62.3,52.1
RI,138566,53.3,40.8
SC,780878,48.4,62.8
SD,141307,71.5,28.7
TN,996709,59.7,29.5
TX,5428613,26.3,60.6
UT,690934,72.3,27.0
VT,83975,88.7,34.4
VA,1249815,45.8,46.4
WA,1081835,50.0,42.7
WV,252720,89.0,49.8
WI,829359,67.9,39.5
WY,93093,76.9,28.3
