essay_id,l1_status,roberta-base-openai-detector,roberta-large-openai-detector,roberta-base-ai-text-detection-v1,chatgpt-detector-roberta
TOEFL_real_91/000,non-native,0.844991,0.068347,0.815888,0.909795
TOEFL_real_91/001,non-native,0.012091,0.986292,0.215244,0.194115
TOEFL_real_91/002,non-native,0.028804,0.956822,0.132435,0.012323
TOEFL_real_91/003,non-native,0.999175,0.015803,0.582368,0.016526
TOEFL_real_91/004,non-native,0.693817,0.982099,0.592426,0.01967
TOEFL_real_91/005,non-native,0.040861,0.998901,0.116348,0.963402
TOEFL_real_91/006,non-native,0.623603,0.969085,0.056377,0.003438
TOEFL_real_91/007,non-native,0.025439,0.999204,0.761131,0.023293
TOEFL_real_91/008,non-native,0.822309,0.226585,0.983721,0.361219
TOEFL_real_91/009,non-native,0.005423,0.842386,0.971672,0.257897
TOEFL_real_91/010,non-native,0.939294,0.994797,0.749064,0.016719
TOEFL_real_91/011,non-native,0.945557,0.918063,0.924044,0.969944
TOEFL_real_91/012,non-native,0.014646,0.998943,0.780793,0.034012
TOEFL_real_91/013,non-native,0.139124,0.973098,0.128114,0.987212
TOEFL_real_91/014,non-native,0.937842,0.973802,0.955379,0.999236
TOEFL_real_91/015,non-native,0.659319,0.982599,0.10103,0.016393
TOEFL_real_91/016,non-native,0.054304,0.998685,0.146135,0.965326
TOEFL_real_91/017,non-native,0.979923,0.682581,0.601457,0.119839
TOEFL_real_91/018,non-native,0.642016,0.990175,0.013326,0.006012
TOEFL_real_91/019,non-native,0.016665,0.999335,0.019001,0.000414
TOEFL_real_91/020,non-native,0.006334,0.996293,0.967416,0.936805
TOEFL_real_91/021,non-native,0.986178,0.809768,0.88967,0.054285
TOEFL_real_91/022,non-native,0.999774,0.075425,0.984849,0.932432
TOEFL_real_91/023,non-native,0.94495,0.579434,0.026317,0.016284
TOEFL_real_91/024,non-native,0.579362,0.147221,0.285594,0.988811
TOEFL_real_91/025,non-native,0.756469,0.999532,0.032483,0.99918
TOEFL_real_91/026,non-native,0.998863,0.733657,0.258421,0.092766
TOEFL_real_91/027,non-native,0.488353,0.867847,0.239121,0.001226
TOEFL_real_91/028,non-native,0.054766,0.976373,0.939599,0.039432
TOEFL_real_91/029,non-native,0.706503,0.999406,0.970895,0.011621
TOEFL_real_91/030,non-native,0.952609,0.00166,0.999721,0.081939
TOEFL_real_91/031,non-native,0.071234,0.995381,0.429358,0.000545
TOEFL_real_91/032,non-native,0.096485,0.965366,0.878839,0.996717
TOEFL_real_91/033,non-native,0.63717,0.996817,0.999424,0.994768
TOEFL_real_91/034,non-native,0.711825,0.78438,0.687728,0.286001
TOEFL_real_91/035,non-native,0.941179,0.973271,0.987971,0.9992
TOEFL_real_91/036,non-native,0.043595,0.997989,0.984394,0.318546
TOEFL_real_91/037,non-native,0.871402,0.974756,0.014399,0.115203
TOEFL_real_91/038,non-native,0.474877,0.967672,0.107098,0.01241
TOEFL_real_91/039,non-native,0.784005,0.903348,0.018982,0.321088
TOEFL_real_91/040,non-native,0.999748,0.118857,0.998431,0.999058
TOEFL_real_91/041,non-native,0.195952,0.999211,0.334354,0.014152
TOEFL_real_91/042,non-native,0.996312,0.225193,0.972499,0.00081
TOEFL_real_91/043,non-native,0.035524,0.989441,0.933317,0.000532
TOEFL_real_91/044,non-native,0.772805,0.995126,0.997945,0.998727
TOEFL_real_91/045,non-native,0.03327,0.99954,0.995893,0.176051
TOEFL_real_91/046,non-native,0.980747,0.996397,0.347379,0.746984
TOEFL_real_91/047,non-native,0.180454,0.999534,0.99978,0.319487
TOEFL_real_91/048,non-native,0.637765,0.994158,0.994816,0.000331
TOEFL_real_91/049,non-native,0.677549,0.93994,0.931638,0.999159
TOEFL_real_91/050,non-native,0.03327,0.99954,0.995893,0.176051
TOEFL_real_91/051,non-native,0.786741,0.999341,0.996878,0.604529
TOEFL_real_91/052,non-native,0.693074,0.686312,0.991319,0.945321
TOEFL_real_91/053,non-native,0.081447,0.999494,0.041108,0.049921
TOEFL_real_91/054,non-native,0.50362,0.98426,0.582602,0.2937
TOEFL_real_91/055,non-native,0.605091,0.947146,0.994607,0.002174
TOEFL_real_91/056,non-native,0.000172,0.996983,0.458742,0.016857
TOEFL_real_91/057,non-native,0.94155,0.964967,0.561121,0.004184
TOEFL_real_91/058,non-native,0.017021,0.998699,0.677652,0.000293
TOEFL_real_91/059,non-native,0.158399,0.999189,0.053306,0.293645
TOEFL_real_91/060,non-native,0.020316,0.474594,0.957216,0.171194
TOEFL_real_91/061,non-native,0.009922,0.876284,0.868591,0.034612
TOEFL_real_91/062,non-native,0.984427,0.100966,0.379718,0.002292
TOEFL_real_91/063,non-native,0.863438,0.993602,0.339429,0.81485
TOEFL_real_91/064,non-native,0.890126,0.61364,0.185206,0.825003
TOEFL_real_91/065,non-native,0.545314,0.791333,0.065904,0.005775
TOEFL_real_91/066,non-native,0.723548,0.966337,0.999517,0.003834
TOEFL_real_91/067,non-native,0.114405,0.998654,0.857821,0.99407
TOEFL_real_91/068,non-native,0.922073,0.948043,0.874899,0.998879
TOEFL_real_91/069,non-native,0.999821,0.002885,0.875695,0.962433
TOEFL_real_91/070,non-native,0.999692,0.04181,0.932348,0.73193
TOEFL_real_91/071,non-native,0.010463,0.979124,0.965988,0.17946
TOEFL_real_91/072,non-native,0.998564,0.911516,0.999734,0.99791
TOEFL_real_91/073,non-native,0.981921,0.980791,0.377601,0.079421
TOEFL_real_91/074,non-native,0.275191,0.998274,0.1168,0.915849
TOEFL_real_91/075,non-native,0.987478,0.58041,0.959384,0.015642
TOEFL_real_91/076,non-native,0.940143,0.994985,0.853838,0.040874
TOEFL_real_91/077,non-native,0.027465,0.995177,0.994409,0.968336
TOEFL_real_91/078,non-native,0.405327,0.985897,0.053443,0.026239
TOEFL_real_91/079,non-native,0.377598,0.9933,0.900539,0.837145
TOEFL_real_91/080,non-native,0.184576,0.998909,0.07257,0.925718
TOEFL_real_91/081,non-native,0.124723,0.997489,0.506849,0.986092
TOEFL_real_91/082,non-native,0.453017,0.976498,0.989931,0.024285
TOEFL_real_91/083,non-native,0.418752,0.974155,0.89295,0.004374
TOEFL_real_91/084,non-native,0.995174,0.983028,0.850412,0.030412
TOEFL_real_91/085,non-native,0.999822,0.930192,0.998137,0.001143
TOEFL_real_91/086,non-native,0.983478,0.996245,0.933827,0.029915
TOEFL_real_91/087,non-native,0.879333,0.995379,0.750551,0.00048
TOEFL_real_91/088,non-native,0.999485,0.023604,0.985872,0.927665
TOEFL_real_91/089,non-native,0.921919,0.945738,0.998686,0.157719
TOEFL_real_91/090,non-native,0.251905,0.469217,0.509905,0.938856
HewlettStudentEssay_real_88/000,native,0.000174,0.993562,0.000218,0.005397
HewlettStudentEssay_real_88/001,native,0.000169,0.99817,0.000139,0.000646
HewlettStudentEssay_real_88/002,native,0.00017,0.998661,0.000577,0.00623
HewlettStudentEssay_real_88/003,native,0.008079,0.998737,0.000725,0.066369
HewlettStudentEssay_real_88/004,native,0.78739,0.999274,0.000137,0.000377
HewlettStudentEssay_real_88/005,native,0.000228,0.999272,0.000153,0.000534
HewlettStudentEssay_real_88/006,native,0.000197,0.99949,0.000165,0.000602
HewlettStudentEssay_real_88/007,native,0.000219,0.99945,0.001183,0.000657
HewlettStudentEssay_real_88/008,native,0.000255,0.999318,0.000134,0.000338
HewlettStudentEssay_real_88/009,native,0.000177,0.999106,0.000494,0.020756
HewlettStudentEssay_real_88/010,native,0.000247,0.99946,0.000268,0.204049
HewlettStudentEssay_real_88/011,native,0.000224,0.999516,0.000165,0.012493
HewlettStudentEssay_real_88/012,native,0.019813,0.950072,0.000149,0.000621
HewlettStudentEssay_real_88/013,native,0.000183,0.999383,0.000173,0.00629
HewlettStudentEssay_real_88/014,native,0.000188,0.985871,0.000417,0.002339
HewlettStudentEssay_real_88/015,native,0.00017,0.999544,0.000458,0.000335
HewlettStudentEssay_real_88/016,native,0.000172,0.999537,0.000156,0.001568
HewlettStudentEssay_real_88/017,native,0.00498,0.990725,0.000147,0.000421
HewlettStudentEssay_real_88/018,native,0.000218,0.999023,0.000312,0.003862
HewlettStudentEssay_real_88/019,native,0.000247,0.999501,0.007015,0.168481
HewlettStudentEssay_real_88/020,native,0.003202,0.997637,0.000341,0.000286
HewlettStudentEssay_real_88/021,native,0.000183,0.999516,0.000221,0.000475
HewlettStudentEssay_real_88/022,native,0.994919,0.501412,0.000157,0.00077
HewlettStudentEssay_real_88/023,native,0.000535,0.99786,0.000151,0.004804
HewlettStudentEssay_real_88/024,native,0.00017,0.997859,0.000152,0.001453
HewlettStudentEssay_real_88/025,native,0.000173,0.999162,0.000209,0.009604
HewlettStudentEssay_real_88/026,native,0.000194,0.999493,0.003172,0.024426
HewlettStudentEssay_real_88/027,native,0.02283,0.999035,0.00015,0.000594
HewlettStudentEssay_real_88/028,native,0.000204,0.995151,0.000164,0.000322
HewlettStudentEssay_real_88/029,native,0.000279,0.972708,0.000469,0.018355
HewlettStudentEssay_real_88/030,native,0.399829,0.999008,0.000277,0.000364
HewlettStudentEssay_real_88/031,native,0.000204,0.954388,0.000161,0.00032
HewlettStudentEssay_real_88/032,native,0.819198,0.924251,0.000175,0.000429
HewlettStudentEssay_real_88/033,native,0.00579,0.999119,0.000134,0.000506
HewlettStudentEssay_real_88/034,native,0.704067,0.851884,0.000173,0.012608
HewlettStudentEssay_real_88/035,native,0.000247,0.999325,0.002197,0.002668
HewlettStudentEssay_real_88/036,native,0.000866,0.995658,0.000336,0.000764
HewlettStudentEssay_real_88/037,native,0.00031,0.999437,0.000252,0.245965
HewlettStudentEssay_real_88/038,native,0.000169,0.993326,0.49914,0.000614
HewlettStudentEssay_real_88/039,native,0.000173,0.994533,0.006574,0.000378
HewlettStudentEssay_real_88/040,native,0.000412,0.999541,0.011206,0.00045
HewlettStudentEssay_real_88/041,native,0.000483,0.627409,0.00047,0.114863
HewlettStudentEssay_real_88/042,native,0.00166,0.82894,0.000175,0.000413
HewlettStudentEssay_real_88/043,native,0.051678,0.999062,0.000135,0.00049
HewlettStudentEssay_real_88/044,native,0.000236,0.999335,0.000143,0.00036
HewlettStudentEssay_real_88/045,native,0.000179,0.999042,0.001301,0.019912
HewlettStudentEssay_real_88/046,native,0.875091,0.134402,0.000187,0.023901
HewlettStudentEssay_real_88/047,native,0.99733,0.980341,0.000319,0.001599
HewlettStudentEssay_real_88/048,native,0.000322,0.997921,0.000218,0.001636
HewlettStudentEssay_real_88/049,native,0.00049,0.999236,0.00016,0.002668
HewlettStudentEssay_real_88/050,native,0.039849,0.43318,0.001183,0.093321
HewlettStudentEssay_real_88/051,native,0.025744,0.992055,0.000126,0.000374
HewlettStudentEssay_real_88/052,native,0.000262,0.999245,0.000442,0.000609
HewlettStudentEssay_real_88/053,native,0.000284,0.999537,0.000171,0.008709
HewlettStudentEssay_real_88/054,native,0.000172,0.999278,0.000437,0.00491
HewlettStudentEssay_real_88/055,native,0.000234,0.999463,0.000188,0.00111
HewlettStudentEssay_real_88/056,native,0.00017,0.998909,0.000197,0.0044
HewlettStudentEssay_real_88/057,native,0.966256,0.409109,0.003007,0.006354
HewlettStudentEssay_real_88/058,native,0.00017,0.99951,0.000356,0.006649
HewlettStudentEssay_real_88/059,native,0.002067,0.92635,0.000186,0.000884
HewlettStudentEssay_real_88/060,native,0.004071,0.651205,0.000236,0.017673
HewlettStudentEssay_real_88/061,native,0.000205,0.996229,0.000163,0.000253
HewlettStudentEssay_real_88/062,native,0.000211,0.998751,0.000212,0.000834
