institution,state,control,policy_type,url,secondary_url,access_date,http_status,sha256,n_chars,detector_admissibility,burden_of_proof,appeal_pathway,l2_protection,decision_locus,support_passage,coder,notes
University of Alabama,AL,Public,academic_integrity,,,2026-06-09,PENDING,,0,,,,,,,,
University of Alaska Fairbanks,AK,Public,academic_integrity,,,2026-06-09,PENDING,,0,,,,,,,,
University of Arizona,AZ,Public,academic_integrity,https://ucatt.arizona.edu/teaching/artificial-intelligence-teaching-learning,https://libguides.library.arizona.edu/ai-literacy-instructors/policies,2026-06-09,200+200,fa1f3e7c4fb38ab8,25216,advisory,,,explicit,delegated,"'AI-detection tools can be used to assist in reviewing student work, but detectors are problematic because they ... Disproportionately misidentify writing by multilingual learners as AI-written'",claude-firstpass,Explicit multilingual-bias acknowledgement; syllabus-level instructor discretion.
University of Arkansas,AR,Public,academic_integrity,,,2026-06-09,PENDING,,0,,,,,,,,
University of California Berkeley,CA,Public,academic_integrity,https://rtl.berkeley.edu/resources/ai-teaching-learning/transparency-about-generative-ai-tools,https://oercs.berkeley.edu/appropriate-use-generative-ai-tools,2026-06-09,200+200,8691c39bb2cbbe3a,14344,advisory,,,none,delegated,"'In Fall 2023, RTL led a pilot of the AI detection tool within Turnitin ... Results from the pilot have been inconsistent, so we've decided not to enable the tool campuswide'; 'We do not recommend that instructors rely upon AI detection tools'",claude-firstpass,"Detector not enabled campuswide; FERPA/privacy/accessibility rationale, not L2. burden/appeal not on RTL/OERCS pages."
University of Colorado Boulder,CO,Public,academic_integrity,https://www.colorado.edu/center/teaching-learning/technology-ai/teaching-learning-ai/ai-academic-integrity/academic-integrity-context-ai,https://www.colorado.edu/studentlife/ai-honor-code,2026-06-09,200+200,162f89113488419c,13709,advisory,,,explicit,delegated,'AI detectors are unreliable and introduce false positives. They are also heavily biased against non-native speakers of English.',claude-firstpass,Explicit non-native-bias acknowledgement; each instructor decides AI use.
University of Connecticut,CT,Public,academic_integrity,https://cetl.uconn.edu/generative-ai/,,2026-06-09,200,9dfdf798c6e5c887,75026,advisory,,,none,delegated,"'Currently detection software is of limited use and may be detrimental because it generates false negatives and, more importantly, false positives'",claude-firstpass,CETL guidance; instructors set syllabus AI policy (ban to integrate).
University of Delaware,DE,Public,academic_integrity,,,2026-06-09,PENDING,,0,,,,,,,,
University of Florida,FL,Public,academic_integrity,https://ai.ufl.edu/guidelines/,,2026-06-09,200,a417b5d7a3a7bc7f,46930,advisory,,,explicit,institutional,Under 'Don't': 'assume AI detection tools are reliable proof of misconduct'; 'AI detection software cannot be relied on to detect AI-generated ... AI detection software has been shown to be unreliable and biased against non-native English writers',claude-firstpass,admissibility+L2 from ai.ufl.edu/guidelines. burden/appeal need UF Honor Code / Dean of Students conduct page.
University of Georgia,GA,Public,academic_integrity,https://ctl.uga.edu/academic-honesty-and-generative-ai/,,2026-06-09,200,e383656368cb08d9,7036,admissible,,,none,institutional,'Turnitin's AI Writing Detector is the only AI Writing Detector approved for use at UGA' (within the Turnitin Similarity Report on eLC),claude-firstpass,ACTIVE ENDORSEMENT: UGA institutionally approves a detector for use on student work; no L2 protection named. Sharpest exposure case.
University of Hawaii at Manoa,HI,Public,academic_integrity,,,2026-06-09,PENDING,,0,,,,,,,,
University of Idaho,ID,Public,academic_integrity,,,2026-06-09,PENDING,,0,,,,,,,,
University of Illinois Urbana-Champaign,IL,Public,academic_integrity,https://genai.grainger.illinois.edu/ai-guidance,,2026-06-09,200,981f66a71c6bcff5,6687,silent,,,none,delegated,'The appropriate use of generative AI varies from course to course'; 'reach out to your instructors ... We will investigate suspected uses ... and apply sanctions as outlined in the University of Illinois Student Code' (no detector or L2 mention),claude-firstpass,genai.grainger guidance is instructor-delegated; sanctions per Student Code. burden/appeal in Student Code (not fetched).
Indiana University Bloomington,IN,Public,academic_integrity,https://citl.indiana.edu/teaching-resources/academic-integrity/ai-generated-text.html,https://teaching.iu.edu/resources/generative-ai/policies.html,2026-06-09,200+200,3c92ae440e017c53,37818,advisory,,,explicit,delegated,"'widely varying degrees of detection success, including a significant number of false positives, especially with text generated by non-native speakers of English ... using such inconsistent (and likely defeatable) detection tools as the basis ... is problematic, and more so if they are the basis for an academic misconduct claim'",claude-firstpass,Explicit non-native-bias; detectors discouraged as basis for a misconduct claim; classroom rules left to instructors.
University of Iowa,IA,Public,academic_integrity,https://teach.its.uiowa.edu/artificial-intelligence-tools-and-teaching,,2026-06-09,200,80285bf076626b5c,16622,advisory,,,none,delegated,'Instructors should refrain from using AI detectors on student work due to the inherent inaccuracies in these tools ... false positives that unfairly penalize students',claude-firstpass,Detector discouraged (non-binding guidance); syllabus sample language.
University of Kansas,KS,Public,academic_integrity,https://cte.ku.edu/maintaining-academic-integrity-ai-era,,2026-06-09,200,05da741b0b0c56a3,18705,advisory,,,none,delegated,'Those detectors have far too many flaws to be reliable and were never intended as a sole indicator of cheating',claude-firstpass,CTE guidance (non-binding); no university-wide policy; instructor discretion. 'addressing bias in AI' generic.
University of Kentucky,KY,Public,academic_integrity,https://provost.uky.edu/news/upholding-academic-integrity-and-ensuring-fairness-ai-detection,,2026-06-09,200,84871fe838021fb1,6000,advisory,,,none,delegated,"'the accuracy of AI detectors is low, they generate false positives ... AI detector scores should be handled sensitively and with healthy skepticism. If instructors wish to proceed with the determination of an academic offense, the usual procedures outlined in the Senate Rules should be followed'",claude-firstpass,Turnitin detector score is shown to instructors; caution urged but instructors may proceed (not a binding corroboration rule).
Louisiana State University,LA,Public,academic_integrity,https://guides.lib.lsu.edu/c.php?g=1342179&p=9896719,,2026-06-09,200,4e78cae034e2a153,7690,advisory,,,none,delegated,'Teaching Center doesn't endorse any generative AI detection tools'; 'Guidance on AI detection and why we're disabling Turnitin's AI detector',claude-firstpass,Teaching Center disables/does not endorse detectors (not a binding university ban); faculty set course policy (3 syllabus statements).
University of Maine,ME,Public,academic_integrity,,,2026-06-09,PENDING,,0,,,,,,,,
University of Maryland College Park,MD,Public,academic_integrity,https://ai.umd.edu/resources-guidelines/guidelines-for-use,https://tltc.umd.edu/instructors/resources/academic-integrity,2026-06-09,200+200,10629556127a573a,33443,advisory,institution,,none,delegated,"'The Division of Academic Affairs advises against incorporating GenAI detection tools'; 'Results ... should be treated only as potential indicators of misconduct, not definitive proof ... should not serve as the sole basis ... such information alone will not solely determine a student's responsibility'",claude-firstpass,Binding 'not sole basis' corroboration floor (burden=institution); instructor discretion on use.
University of Massachusetts Amherst,MA,Public,academic_integrity,https://www.umass.edu/provost/responsible-use-generative-ai,https://www.umass.edu/studentsuccess/guidance-generative-artificial-intelligence,2026-06-09,200+200,1459e8922527d1d6,13560,silent,,,none,delegated,"'At UMass, the default is that using AI tools as a substitute for their authentic intellectual and creative work is cheating unless instructors say otherwise' (no detector-evidence rule on the provost/student-success pages)",claude-firstpass,Detection guidance points to 'detect AI writing without technology'; no detector-as-evidence rule in fetched text.
University of Michigan,MI,Public,academic_integrity,https://genai.umich.edu/resources/faculty,https://academictechnology.umich.edu/instructional-resources/generative-ai/academic-integrity-resources,2026-06-09,ERR:HTTPError,,0,,,,,,,,"PENDING-manual: genai.umich.edu and academictechnology.umich.edu return HTTP 403 to urllib/WebFetch. Secondary sources: U-M does not support detection tools (unreliable, false positives). Retrieve via browser to code."
University of Minnesota Twin Cities,MN,Public,academic_integrity,https://teachingsupport.umn.edu/what-faculty-should-know-about-genai-detectors,https://teachingsupport.umn.edu/academic-integrity/genai-and-academic-integrity,2026-06-09,200+200,c81dcb3456314b62,15415,advisory,,,none,delegated,"'University of Minnesota does not centrally support or recommend the use of any GenAI detection tool'; tools have 'significant risks related to reliability, bias, and student privacy'",claude-firstpass,"Instructor permission required; detector discouraged. 'bias' generic, not L2-specific."
University of Mississippi,MS,Public,academic_integrity,,,2026-06-09,PENDING,,0,,,,,,,,
University of Missouri,MO,Public,academic_integrity,https://oai.missouri.edu/chatgpt-artificial-intelligence-and-academic-integrity/,https://teaching.missouri.edu/resources/artificial-intelligence-ai/generative-ai-faculty/generative-ai-classroom-guidelines,2026-06-09,200+ERR,1167c7221bc43d99,6845,silent,,,none,delegated,"'Tools exist that aim to detect text created by ChatGPT ... the tools designed to detect AI-created text [will evolve]' (no admissibility rule); 'If the instructor approves your plan to use an AI tool, then you are not acting dishonestly'",claude-firstpass,Instructor-permission model; no detector-evidence rule.
University of Montana,MT,Public,academic_integrity,,,2026-06-09,PENDING,,0,,,,,,,,
University of Nebraska-Lincoln,NE,Public,academic_integrity,https://teaching.unl.edu/resources/ai/academic-integrity/,https://teaching.unl.edu/ai/teaching-and-generative-artificial-intelligence/,2026-06-09,200+200,6bd6ce271a2b40ff,24084,advisory,,,none,delegated,'the University of Nebraska currently does not provide access to AI checking software and does not recommend instructors use AI checkers',claude-firstpass,PENDING-VERIFY: a UNL page reportedly adds 'flag the work of multilingual writers at higher rates than native speakers' + 'cannot alone serve as proof' (not in fetched academic-integrity/teaching pages). If confirmed -> l2=explicit + burden=institution (would clear vacuum).
University of Nevada Reno,NV,Public,academic_integrity,,,2026-06-09,PENDING,,0,,,,,,,,
University of New Hampshire,NH,Public,academic_integrity,,,2026-06-09,PENDING,,0,,,,,,,,
Rutgers University-New Brunswick,NJ,Public,academic_integrity,https://it.rutgers.edu/ai/guidance-on-the-use-of-ai-at-rutgers/,,2026-06-09,200,ac21163ec0a1f522,6292,silent,,,none,delegated,Fetched IT guidance stresses 'only Rutgers-approved AI tools should be used'; no detector-as-evidence rule in this page.,claude-firstpass,PARTIAL: it.rutgers.edu page is IT guidance. OTEAR/libguides reportedly state detectors give 'faulty and even discriminatory results' - verify that page to upgrade admissibility/l2.
University of New Mexico,NM,Public,academic_integrity,,,2026-06-09,PENDING,,0,,,,,,,,
University at Buffalo,NY,Public,academic_integrity,,,2026-06-09,PENDING,,0,,,,,,,,
University of North Carolina at Chapel Hill,NC,Public,academic_integrity,https://college.unc.edu/2023/09/student-use-guidelines-for-generative-ai/,https://catalog.unc.edu/policies-procedures/honor-code/,2026-06-09,200+200,7a0a1741cbc40806,17884,silent,,,none,delegated,'it will be a requirement for instructors in the College of Arts and Sciences to include a Student AI Use statement on their course syllabi ... give instructors wide latitude to craft Student AI Use statements appropriate for their courses' (no detector or L2 mention),claude-firstpass,No university-wide AI policy; instructors craft syllabus statements. catalog secondary returned a dept listing; burden/appeal need honor.unc.edu procedure.
University of North Dakota,ND,Public,academic_integrity,,,2026-06-09,PENDING,,0,,,,,,,,
Ohio State University,OH,Public,academic_integrity,https://ai.osu.edu/resources-buckeyes/responsible-use,,2026-06-09,200,8b89a9c2579a9aef,12408,silent,,,none,delegated,'Am I prepared to address suspected misuse of AI? Do I understand the limitations of detection tools and the due process for misconduct?' (reflective guidance; no rule on detector output as evidence),claude-firstpass,responsible-use page is guidance-only. burden/appeal at Committee on Academic Misconduct page; recode there.
