institution,state,control,policy_type,url,secondary_url
University of Alabama,AL,Public,academic_integrity,https://provost.ua.edu/resources/policies-guidelines/,
University of Alaska Fairbanks,AK,Public,academic_integrity,https://www.alaska.edu/ai/policies/,
University of Arizona,AZ,Public,academic_integrity,https://ucatt.arizona.edu/teaching/artificial-intelligence-teaching-learning,https://libguides.library.arizona.edu/ai-literacy-instructors/policies
University of Arkansas,AR,Public,academic_integrity,https://libguides.uark.edu/c.php?g=1336583&p=9847560,
University of California Berkeley,CA,Public,academic_integrity,https://rtl.berkeley.edu/resources/ai-teaching-learning/transparency-about-generative-ai-tools,https://oercs.berkeley.edu/appropriate-use-generative-ai-tools
University of Colorado Boulder,CO,Public,academic_integrity,https://www.colorado.edu/center/teaching-learning/technology-ai/teaching-learning-ai/ai-academic-integrity/academic-integrity-context-ai,https://www.colorado.edu/studentlife/ai-honor-code
University of Connecticut,CT,Public,academic_integrity,https://cetl.uconn.edu/generative-ai/,
University of Delaware,DE,Public,academic_integrity,https://ctal.udel.edu/advanced-automated-tools/,
University of Florida,FL,Public,academic_integrity,https://ai.ufl.edu/guidelines/,
University of Georgia,GA,Public,academic_integrity,https://ctl.uga.edu/academic-honesty-and-generative-ai/,
University of Hawaii at Manoa,HI,Public,academic_integrity,https://manoa.hawaii.edu/ovpae/guidance-on-ai/,
University of Idaho,ID,Public,academic_integrity,https://ai.uidaho.edu/ai-academic-integrity/,
University of Illinois Urbana-Champaign,IL,Public,academic_integrity,https://genai.grainger.illinois.edu/ai-guidance,
Indiana University Bloomington,IN,Public,academic_integrity,https://citl.indiana.edu/teaching-resources/academic-integrity/ai-generated-text.html,https://teaching.iu.edu/resources/generative-ai/policies.html
University of Iowa,IA,Public,academic_integrity,https://teach.its.uiowa.edu/artificial-intelligence-tools-and-teaching,
University of Kansas,KS,Public,academic_integrity,https://cte.ku.edu/maintaining-academic-integrity-ai-era,
University of Kentucky,KY,Public,academic_integrity,https://provost.uky.edu/news/upholding-academic-integrity-and-ensuring-fairness-ai-detection,
Louisiana State University,LA,Public,academic_integrity,https://guides.lib.lsu.edu/c.php?g=1342179&p=9896719,
University of Maine,ME,Public,academic_integrity,https://umaine.edu/communitystandards/resources-policies-and-forms/generative-ai-teaching-and-learning-guidelines/,
University of Maryland College Park,MD,Public,academic_integrity,https://ai.umd.edu/resources-guidelines/guidelines-for-use,https://tltc.umd.edu/instructors/resources/academic-integrity
University of Massachusetts Amherst,MA,Public,academic_integrity,https://www.umass.edu/provost/responsible-use-generative-ai,https://www.umass.edu/studentsuccess/guidance-generative-artificial-intelligence
University of Michigan,MI,Public,academic_integrity,https://genai.umich.edu/resources/faculty,https://academictechnology.umich.edu/instructional-resources/generative-ai/academic-integrity-resources
