analysis,detector,threshold,group,value,count,n_group
fpr_by_detector,HFOpenAI,0.25,non-native,0.6703,61.0,91.0
fpr_by_detector,HFOpenAI,0.25,native,0.0759,12.0,158.0
fpr_gap_fold,HFOpenAI,0.25,non-native/native,8.83,,
fpr_by_detector,GPTZero,0.25,non-native,0.5604,51.0,91.0
fpr_by_detector,GPTZero,0.25,native,0.019,3.0,158.0
fpr_gap_fold,GPTZero,0.25,non-native/native,29.52,,
fpr_by_detector,Crossplag,0.25,non-native,0.6923,63.0,91.0
fpr_by_detector,Crossplag,0.25,native,0.0823,13.0,158.0
fpr_gap_fold,Crossplag,0.25,non-native/native,8.41,,
fpr_by_detector,ZeroGPT,0.25,non-native,0.6154,56.0,91.0
fpr_by_detector,ZeroGPT,0.25,native,0.019,3.0,158.0
fpr_gap_fold,ZeroGPT,0.25,non-native/native,32.41,,
fpr_by_detector,OriginalityAI,0.25,non-native,0.8022,73.0,91.0
fpr_by_detector,OriginalityAI,0.25,native,0.1076,17.0,158.0
fpr_gap_fold,OriginalityAI,0.25,non-native/native,7.46,,
fpr_by_detector,Quil,0.25,non-native,0.7912,72.0,91.0
fpr_by_detector,Quil,0.25,native,0.0886,14.0,158.0
fpr_gap_fold,Quil,0.25,non-native/native,8.93,,
fpr_by_detector,Sapling,0.25,non-native,0.6813,62.0,91.0
fpr_by_detector,Sapling,0.25,native,0.0696,11.0,158.0
fpr_gap_fold,Sapling,0.25,non-native/native,9.79,,
fpr_pooled_mean7,mean_of_7,0.25,non-native,0.6876,,91.0
fpr_pooled_mean7,mean_of_7,0.25,native,0.066,,158.0
fpr_pooled_gap_fold,mean_of_7,0.25,non-native/native,10.42,,
flag_all_7,all_7,0.25,non-native,0.2857,26.0,91.0
flag_all_7,all_7,0.25,native,0.0,0.0,158.0
flag_ge4_of_7,ge4_of_7,0.25,non-native,0.7253,66.0,91.0
flag_ge4_of_7,ge4_of_7,0.25,native,0.0127,2.0,158.0
fpr_by_detector,HFOpenAI,0.5,non-native,0.5824,53.0,91.0
fpr_by_detector,HFOpenAI,0.5,native,0.0506,8.0,158.0
fpr_gap_fold,HFOpenAI,0.5,non-native/native,11.5,,
fpr_by_detector,GPTZero,0.5,non-native,0.5165,47.0,91.0
fpr_by_detector,GPTZero,0.5,native,0.0063,1.0,158.0
fpr_gap_fold,GPTZero,0.5,non-native/native,81.6,,
fpr_by_detector,Crossplag,0.5,non-native,0.5165,47.0,91.0
fpr_by_detector,Crossplag,0.5,native,0.0696,11.0,158.0
fpr_gap_fold,Crossplag,0.5,non-native/native,7.42,,
fpr_by_detector,ZeroGPT,0.5,non-native,0.4835,44.0,91.0
fpr_by_detector,ZeroGPT,0.5,native,0.0127,2.0,158.0
fpr_gap_fold,ZeroGPT,0.5,non-native/native,38.2,,
fpr_by_detector,OriginalityAI,0.5,non-native,0.7582,69.0,91.0
fpr_by_detector,OriginalityAI,0.5,native,0.0253,4.0,158.0
fpr_gap_fold,OriginalityAI,0.5,non-native/native,29.95,,
fpr_by_detector,Quil,0.5,non-native,0.7473,68.0,91.0
fpr_by_detector,Quil,0.5,native,0.057,9.0,158.0
fpr_gap_fold,Quil,0.5,non-native/native,13.12,,
