file,detector,exposure,n_faces,max_conf,detected
1.jpg,haar,1.0,1,,1
10.jpg,haar,1.0,1,,1
100.jpg,haar,1.0,1,,1
1000.jpg,haar,1.0,0,,0
10000.jpg,haar,1.0,1,,1
10001.jpg,haar,1.0,0,,0
10002.jpg,haar,1.0,1,,1
10003.jpg,haar,1.0,2,,1
10004.jpg,haar,1.0,1,,1
10005.jpg,haar,1.0,1,,1
10006.jpg,haar,1.0,0,,0
10007.jpg,haar,1.0,1,,1
10008.jpg,haar,1.0,1,,1
10009.jpg,haar,1.0,1,,1
1001.jpg,haar,1.0,3,,1
10010.jpg,haar,1.0,1,,1
10011.jpg,haar,1.0,1,,1
10012.jpg,haar,1.0,1,,1
10013.jpg,haar,1.0,0,,0
10014.jpg,haar,1.0,2,,1
10015.jpg,haar,1.0,1,,1
10016.jpg,haar,1.0,1,,1
10017.jpg,haar,1.0,1,,1
10018.jpg,haar,1.0,1,,1
10019.jpg,haar,1.0,1,,1
1002.jpg,haar,1.0,1,,1
10020.jpg,haar,1.0,1,,1
10021.jpg,haar,1.0,0,,0
10022.jpg,haar,1.0,0,,0
10023.jpg,haar,1.0,1,,1
10024.jpg,haar,1.0,1,,1
10025.jpg,haar,1.0,0,,0
10026.jpg,haar,1.0,1,,1
10027.jpg,haar,1.0,1,,1
10028.jpg,haar,1.0,1,,1
10029.jpg,haar,1.0,0,,0
1003.jpg,haar,1.0,0,,0
10030.jpg,haar,1.0,1,,1
10031.jpg,haar,1.0,1,,1
10032.jpg,haar,1.0,0,,0
10033.jpg,haar,1.0,2,,1
10034.jpg,haar,1.0,0,,0
10035.jpg,haar,1.0,1,,1
10036.jpg,haar,1.0,1,,1
10037.jpg,haar,1.0,1,,1
10038.jpg,haar,1.0,0,,0
10039.jpg,haar,1.0,0,,0
1004.jpg,haar,1.0,0,,0
10040.jpg,haar,1.0,1,,1
10041.jpg,haar,1.0,1,,1
10042.jpg,haar,1.0,1,,1
10043.jpg,haar,1.0,1,,1
10044.jpg,haar,1.0,2,,1
10045.jpg,haar,1.0,1,,1
10046.jpg,haar,1.0,1,,1
10047.jpg,haar,1.0,2,,1
10048.jpg,haar,1.0,2,,1
10049.jpg,haar,1.0,1,,1
1005.jpg,haar,1.0,0,,0
10050.jpg,haar,1.0,1,,1
10051.jpg,haar,1.0,1,,1
10052.jpg,haar,1.0,0,,0
10053.jpg,haar,1.0,1,,1
10054.jpg,haar,1.0,1,,1
10055.jpg,haar,1.0,1,,1
10056.jpg,haar,1.0,1,,1
10057.jpg,haar,1.0,0,,0
10058.jpg,haar,1.0,1,,1
10059.jpg,haar,1.0,1,,1
1006.jpg,haar,1.0,0,,0
10060.jpg,haar,1.0,0,,0
10061.jpg,haar,1.0,1,,1
10062.jpg,haar,1.0,3,,1
10063.jpg,haar,1.0,1,,1
10064.jpg,haar,1.0,1,,1
10065.jpg,haar,1.0,0,,0
10066.jpg,haar,1.0,2,,1
10067.jpg,haar,1.0,1,,1
10068.jpg,haar,1.0,1,,1
10069.jpg,haar,1.0,0,,0
1007.jpg,haar,1.0,1,,1
10070.jpg,haar,1.0,1,,1
10071.jpg,haar,1.0,1,,1
10072.jpg,haar,1.0,1,,1
10073.jpg,haar,1.0,1,,1
10074.jpg,haar,1.0,2,,1
10075.jpg,haar,1.0,2,,1
10076.jpg,haar,1.0,1,,1
10077.jpg,haar,1.0,1,,1
10078.jpg,haar,1.0,1,,1
10079.jpg,haar,1.0,0,,0
1008.jpg,haar,1.0,1,,1
10080.jpg,haar,1.0,0,,0
10081.jpg,haar,1.0,1,,1
10082.jpg,haar,1.0,0,,0
10083.jpg,haar,1.0,1,,1
10084.jpg,haar,1.0,1,,1
10085.jpg,haar,1.0,0,,0
10086.jpg,haar,1.0,1,,1
10087.jpg,haar,1.0,1,,1
10088.jpg,haar,1.0,3,,1
10089.jpg,haar,1.0,1,,1
1009.jpg,haar,1.0,1,,1
10090.jpg,haar,1.0,0,,0
10091.jpg,haar,1.0,1,,1
10092.jpg,haar,1.0,1,,1
10093.jpg,haar,1.0,0,,0
10094.jpg,haar,1.0,1,,1
10095.jpg,haar,1.0,2,,1
10096.jpg,haar,1.0,0,,0
10097.jpg,haar,1.0,0,,0
10098.jpg,haar,1.0,2,,1
10099.jpg,haar,1.0,1,,1
101.jpg,haar,1.0,1,,1
1010.jpg,haar,1.0,0,,0
10100.jpg,haar,1.0,1,,1
10101.jpg,haar,1.0,0,,0
10102.jpg,haar,1.0,1,,1
10103.jpg,haar,1.0,1,,1
10104.jpg,haar,1.0,1,,1
10105.jpg,haar,1.0,0,,0
10106.jpg,haar,1.0,0,,0
10107.jpg,haar,1.0,1,,1
10108.jpg,haar,1.0,1,,1
10109.jpg,haar,1.0,1,,1
1011.jpg,haar,1.0,6,,1
10110.jpg,haar,1.0,1,,1
10111.jpg,haar,1.0,2,,1
10112.jpg,haar,1.0,1,,1
10113.jpg,haar,1.0,1,,1
10114.jpg,haar,1.0,1,,1
10115.jpg,haar,1.0,2,,1
