file,age,gender,race,service_test,ita,tone_bin,skin_filter_ok
1.jpg,3-9,Male,East Asian,False,-57.74,dark,1
2.jpg,50-59,Female,East Asian,True,52.93,light,1
3.jpg,30-39,Male,White,True,-90.0,dark,0
4.jpg,20-29,Female,Latino_Hispanic,True,28.46,intermediate,1
5.jpg,20-29,Male,Southeast Asian,False,-42.75,dark,1
6.jpg,30-39,Male,Latino_Hispanic,False,-38.87,dark,1
7.jpg,20-29,Male,Black,True,-39.59,dark,1
8.jpg,3-9,Male,East Asian,False,-40.97,dark,1
9.jpg,20-29,Male,Southeast Asian,False,36.19,intermediate,1
10.jpg,3-9,Male,Southeast Asian,False,2.46,brown,1
11.jpg,more than 70,Female,East Asian,True,-65.43,dark,1
12.jpg,50-59,Female,East Asian,True,1.87,brown,1
13.jpg,40-49,Female,Indian,True,-46.54,dark,1
14.jpg,20-29,Male,Indian,True,31.04,intermediate,1
15.jpg,30-39,Female,Latino_Hispanic,False,-24.91,brown,1
16.jpg,50-59,Male,Middle Eastern,True,40.74,intermediate,1
17.jpg,30-39,Male,East Asian,False,40.93,intermediate,1
18.jpg,20-29,Female,White,False,-67.31,dark,1
19.jpg,40-49,Male,White,False,18.33,tan,1
20.jpg,40-49,Female,Middle Eastern,True,23.87,tan,1
21.jpg,20-29,Male,East Asian,True,-3.27,brown,1
22.jpg,40-49,Male,White,False,7.63,brown,1
23.jpg,30-39,Female,White,True,-18.28,brown,1
24.jpg,10-19,Female,East Asian,False,-34.94,dark,1
25.jpg,20-29,Female,Latino_Hispanic,False,28.58,intermediate,1
26.jpg,30-39,Female,Latino_Hispanic,False,19.93,tan,1
27.jpg,20-29,Female,Latino_Hispanic,True,-6.92,brown,1
28.jpg,20-29,Female,Southeast Asian,True,14.36,tan,1
29.jpg,3-9,Female,East Asian,False,-7.64,brown,1
30.jpg,30-39,Female,Latino_Hispanic,False,-11.09,brown,1
31.jpg,3-9,Female,Indian,True,3.3,brown,1
32.jpg,40-49,Female,Indian,False,24.47,tan,1
33.jpg,20-29,Male,Southeast Asian,True,-36.93,dark,1
34.jpg,3-9,Male,East Asian,False,-14.97,brown,1
35.jpg,60-69,Male,Black,True,15.14,tan,1
36.jpg,50-59,Female,Black,False,-80.03,dark,1
37.jpg,40-49,Male,Black,True,-12.05,brown,1
38.jpg,40-49,Male,Middle Eastern,False,35.27,intermediate,1
39.jpg,60-69,Male,Middle Eastern,False,-17.63,brown,1
40.jpg,50-59,Female,Indian,False,-34.08,dark,1
41.jpg,3-9,Male,East Asian,False,-9.95,brown,1
42.jpg,20-29,Female,Indian,False,-38.54,dark,1
43.jpg,20-29,Female,Latino_Hispanic,False,-83.17,dark,1
44.jpg,30-39,Female,Latino_Hispanic,False,27.72,tan,1
45.jpg,0-2,Male,White,False,42.13,light,1
46.jpg,20-29,Male,East Asian,False,-31.44,dark,1
47.jpg,40-49,Male,White,True,37.64,intermediate,1
48.jpg,20-29,Female,White,True,-5.82,brown,1
49.jpg,40-49,Male,White,False,-15.04,brown,1
50.jpg,20-29,Female,White,True,23.07,tan,1
51.jpg,30-39,Male,Middle Eastern,False,34.28,intermediate,1
52.jpg,3-9,Male,Middle Eastern,True,39.47,intermediate,1
53.jpg,50-59,Male,Latino_Hispanic,False,-20.97,brown,1
54.jpg,20-29,Male,East Asian,False,0.82,brown,1
55.jpg,40-49,Male,Latino_Hispanic,False,6.48,brown,1
56.jpg,40-49,Male,White,False,-21.13,brown,1
57.jpg,40-49,Female,East Asian,True,-30.47,dark,1
58.jpg,3-9,Male,Black,False,-42.37,dark,1
59.jpg,30-39,Female,White,False,60.04,very_light,1
60.jpg,10-19,Female,Southeast Asian,True,-23.5,brown,1
