kind,sample,detector,exposure,race,gender,n,misses,miss_rate,wilson_lo,wilson_hi,a,b,rate_a,rate_b,risk_diff,ratio,p_fisher
cell,adult,haar,1.0,White,Female,756,159.0,0.2103,0.1828,0.2408,,,,,,,
cell,adult,haar,1.0,White,Male,922,222.0,0.2408,0.2143,0.2694,,,,,,,
cell,adult,haar,1.0,East Asian,Female,592,109.0,0.1841,0.155,0.2173,,,,,,,
cell,adult,haar,1.0,East Asian,Male,544,154.0,0.2831,0.2469,0.3224,,,,,,,
cell,adult,haar,1.0,Latino_Hispanic,Female,605,93.0,0.1537,0.1272,0.1846,,,,,,,
cell,adult,haar,1.0,Latino_Hispanic,Male,606,122.0,0.2013,0.1713,0.2351,,,,,,,
cell,adult,haar,1.0,Middle Eastern,Female,306,57.0,0.1863,0.1466,0.2337,,,,,,,
cell,adult,haar,1.0,Middle Eastern,Male,692,144.0,0.2081,0.1795,0.2399,,,,,,,
cell,adult,haar,1.0,Southeast Asian,Female,486,93.0,0.1914,0.1589,0.2287,,,,,,,
cell,adult,haar,1.0,Southeast Asian,Male,508,116.0,0.2283,0.194,0.2668,,,,,,,
cell,adult,haar,1.0,Indian,Female,557,99.0,0.1777,0.1482,0.2117,,,,,,,
cell,adult,haar,1.0,Indian,Male,572,128.0,0.2238,0.1915,0.2597,,,,,,,
cell,adult,haar,1.0,Black,Female,537,178.0,0.3315,0.293,0.3724,,,,,,,
cell,adult,haar,1.0,Black,Male,535,213.0,0.3981,0.3575,0.4402,,,,,,,
contrast,adult,haar,1.0,,,1459,,,,,Black Female,White Male,0.3315,0.2408,0.0907,1.38,0.00020501731694506486
contrast,adult,haar,1.0,,,1072,,,,,Black Female,Black Male,0.3315,0.3981,-0.0667,0.83,0.026328021086307624
contrast,adult,haar,1.0,,,1678,,,,,White Female,White Male,0.2103,0.2408,-0.0305,0.87,0.14347473581973838
contrast,adult,haar,1.0,,,1293,,,,,Black Female,White Female,0.3315,0.2103,0.1212,1.58,1.3305055883697508e-06
cell,adult,haar,0.15,White,Female,756,182.0,0.2407,0.2116,0.2725,,,,,,,
cell,adult,haar,0.15,White,Male,922,255.0,0.2766,0.2487,0.3063,,,,,,,
cell,adult,haar,0.15,East Asian,Female,592,115.0,0.1943,0.1644,0.2281,,,,,,,
cell,adult,haar,0.15,East Asian,Male,544,179.0,0.329,0.2909,0.3696,,,,,,,
cell,adult,haar,0.15,Latino_Hispanic,Female,605,117.0,0.1934,0.1639,0.2268,,,,,,,
cell,adult,haar,0.15,Latino_Hispanic,Male,606,144.0,0.2376,0.2055,0.2731,,,,,,,
cell,adult,haar,0.15,Middle Eastern,Female,306,73.0,0.2386,0.1942,0.2894,,,,,,,
cell,adult,haar,0.15,Middle Eastern,Male,692,180.0,0.2601,0.2288,0.2941,,,,,,,
cell,adult,haar,0.15,Southeast Asian,Female,486,105.0,0.216,0.1818,0.2548,,,,,,,
cell,adult,haar,0.15,Southeast Asian,Male,508,135.0,0.2657,0.2292,0.3058,,,,,,,
cell,adult,haar,0.15,Indian,Female,557,116.0,0.2083,0.1766,0.2439,,,,,,,
cell,adult,haar,0.15,Indian,Male,572,161.0,0.2815,0.2462,0.3197,,,,,,,
cell,adult,haar,0.15,Black,Female,537,215.0,0.4004,0.3598,0.4424,,,,,,,
cell,adult,haar,0.15,Black,Male,535,251.0,0.4692,0.4272,0.5115,,,,,,,
contrast,adult,haar,0.15,,,1459,,,,,Black Female,White Male,0.4004,0.2766,0.1238,1.45,1.3675395076274145e-06
contrast,adult,haar,0.15,,,1072,,,,,Black Female,Black Male,0.4004,0.4692,-0.0688,0.85,0.026507067650455948
contrast,adult,haar,0.15,,,1678,,,,,White Female,White Male,0.2407,0.2766,-0.0358,0.87,0.10496843997649272
contrast,adult,haar,0.15,,,1293,,,,,Black Female,White Female,0.4004,0.2407,0.1596,1.66,1.2064342404266778e-09
cell,adult,yunet,1.0,White,Female,756,76.0,0.1005,0.0811,0.124,,,,,,,
cell,adult,yunet,1.0,White,Male,922,122.0,0.1323,0.112,0.1557,,,,,,,
cell,adult,yunet,1.0,East Asian,Female,592,54.0,0.0912,0.0706,0.1171,,,,,,,
cell,adult,yunet,1.0,East Asian,Male,544,68.0,0.125,0.0998,0.1554,,,,,,,
cell,adult,yunet,1.0,Latino_Hispanic,Female,605,45.0,0.0744,0.0561,0.0981,,,,,,,
cell,adult,yunet,1.0,Latino_Hispanic,Male,606,55.0,0.0908,0.0704,0.1163,,,,,,,
cell,adult,yunet,1.0,Middle Eastern,Female,306,36.0,0.1176,0.0862,0.1586,,,,,,,
cell,adult,yunet,1.0,Middle Eastern,Male,692,86.0,0.1243,0.1018,0.151,,,,,,,
cell,adult,yunet,1.0,Southeast Asian,Female,486,31.0,0.0638,0.0453,0.0891,,,,,,,
cell,adult,yunet,1.0,Southeast Asian,Male,508,46.0,0.0906,0.0686,0.1187,,,,,,,
cell,adult,yunet,1.0,Indian,Female,557,40.0,0.0718,0.0532,0.0963,,,,,,,
cell,adult,yunet,1.0,Indian,Male,572,61.0,0.1066,0.0839,0.1346,,,,,,,
cell,adult,yunet,1.0,Black,Female,537,51.0,0.095,0.073,0.1227,,,,,,,
cell,adult,yunet,1.0,Black,Male,535,87.0,0.1626,0.1338,0.1963,,,,,,,
contrast,adult,yunet,1.0,,,1459,,,,,Black Female,White Male,0.095,0.1323,-0.0373,0.72,0.03574719918351586
contrast,adult,yunet,1.0,,,1072,,,,,Black Female,Black Male,0.095,0.1626,-0.0676,0.58,0.001000127328797978
contrast,adult,yunet,1.0,,,1678,,,,,White Female,White Male,0.1005,0.1323,-0.0318,0.76,0.048011096416306034
contrast,adult,yunet,1.0,,,1293,,,,,Black Female,White Female,0.095,0.1005,-0.0056,0.94,0.7765748436915405
cell,adult,yunet,0.15,White,Female,756,116.0,0.1534,0.1295,0.1809,,,,,,,
