detector,exposure,p_black_frame,p_white_frame,frame_miss_ratio,rho,window_s,flag_black,flag_white,flag_ratio
haar,1.0,0.3548,0.2273,1.56,0.0,3,0.8476,0.4223,2.01
haar,1.0,0.3548,0.2273,1.56,0.0,5,0.1882,0.0262,7.17
haar,1.0,0.3548,0.2273,1.56,0.0,10,0.0013,0.0,52.0
haar,1.0,0.3548,0.2273,1.56,0.9,3,0.8828,0.7331,1.2
haar,1.0,0.3548,0.2273,1.56,0.9,5,0.8338,0.6628,1.26
haar,1.0,0.3548,0.2273,1.56,0.9,10,0.6706,0.472,1.42
haar,1.0,0.3548,0.2273,1.56,0.99,3,0.4724,0.3123,1.51
haar,1.0,0.3548,0.2273,1.56,0.99,5,0.4664,0.3113,1.5
haar,1.0,0.3548,0.2273,1.56,0.99,10,0.4386,0.2904,1.51
haar,1.0,0.3548,0.2273,1.56,0.999,3,0.3646,0.2363,1.54
haar,1.0,0.3548,0.2273,1.56,0.999,5,0.3634,0.2353,1.54
haar,1.0,0.3548,0.2273,1.56,0.999,10,0.357,0.2324,1.54
haar,0.15,0.4261,0.2595,1.642,0.0,3,0.9544,0.5437,1.76
haar,0.15,0.4261,0.2595,1.642,0.0,5,0.3816,0.0488,7.83
haar,0.15,0.4261,0.2595,1.642,0.0,10,0.0062,0.0,123.5
haar,0.15,0.4261,0.2595,1.642,0.9,3,0.9271,0.7828,1.18
haar,0.15,0.4261,0.2595,1.642,0.9,5,0.8931,0.717,1.25
haar,0.15,0.4261,0.2595,1.642,0.9,10,0.7566,0.5306,1.43
haar,0.15,0.4261,0.2595,1.642,0.99,3,0.5478,0.3507,1.56
haar,0.15,0.4261,0.2595,1.642,0.99,5,0.532,0.3527,1.51
haar,0.15,0.4261,0.2595,1.642,0.99,10,0.5159,0.332,1.55
haar,0.15,0.4261,0.2595,1.642,0.999,3,0.44,0.2696,1.63
haar,0.15,0.4261,0.2595,1.642,0.999,5,0.4367,0.266,1.64
haar,0.15,0.4261,0.2595,1.642,0.999,10,0.4364,0.267,1.63
