pair_idx,fold,verifier,exposure,genuine,ita_pair,detect_enroll,detect_probe,similarity
0,0,facenet,0.15,1,18.11,1,1,0.60683
1,0,facenet,0.15,1,40.88,1,1,0.92053
2,0,facenet,0.15,1,50.54,1,1,0.79556
3,0,facenet,0.15,1,41.98,1,1,0.84397
4,0,facenet,0.15,1,-14.31,1,1,0.79165
5,0,facenet,0.15,1,-7.25,1,1,0.77022
6,0,facenet,0.15,1,-6.01,1,1,0.88074
7,0,facenet,0.15,1,-19.16,1,1,0.74124
8,0,facenet,0.15,1,-9.86,1,1,-0.01407
9,0,facenet,0.15,1,26.0,1,1,0.85774
10,0,facenet,0.15,1,25.14,1,1,0.82249
11,0,facenet,0.15,1,32.65,1,1,0.72003
12,0,facenet,0.15,1,29.92,1,1,0.86175
13,0,facenet,0.15,1,26.1,1,1,0.8089
14,0,facenet,0.15,1,30.8,1,1,0.76636
15,0,facenet,0.15,1,5.49,1,1,0.82669
16,0,facenet,0.15,1,48.12,1,1,0.90839
17,0,facenet,0.15,1,43.4,1,1,0.71364
18,0,facenet,0.15,1,34.25,1,1,0.7797
19,0,facenet,0.15,1,31.0,1,1,0.80628
20,0,facenet,0.15,1,11.24,1,1,0.72691
21,0,facenet,0.15,1,23.44,1,1,0.87257
22,0,facenet,0.15,1,11.91,1,1,0.82778
23,0,facenet,0.15,1,42.91,1,1,0.70686
24,0,facenet,0.15,1,30.57,1,1,0.60637
25,0,facenet,0.15,1,39.59,1,1,0.70368
26,0,facenet,0.15,1,27.39,1,1,0.78255
27,0,facenet,0.15,1,35.0,1,1,0.66887
28,0,facenet,0.15,1,25.89,1,1,0.79228
29,0,facenet,0.15,1,6.6,1,1,0.67582
30,0,facenet,0.15,1,24.41,1,1,0.73836
31,0,facenet,0.15,1,27.75,1,1,0.78031
32,0,facenet,0.15,1,-1.16,1,1,0.56769
33,0,facenet,0.15,1,10.48,1,1,0.79063
34,0,facenet,0.15,1,18.1,1,1,0.79289
35,0,facenet,0.15,1,4.07,1,1,0.77633
36,0,facenet,0.15,1,53.16,1,1,0.63217
37,0,facenet,0.15,1,1.88,1,1,0.73832
38,0,facenet,0.15,1,47.4,1,1,0.85148
39,0,facenet,0.15,1,13.04,1,1,0.2442
40,0,facenet,0.15,1,27.69,1,1,0.75609
41,0,facenet,0.15,1,28.32,1,1,0.73991
42,0,facenet,0.15,1,17.82,1,1,0.90388
43,0,facenet,0.15,1,13.67,1,1,0.85663
44,0,facenet,0.15,1,32.43,1,1,0.65156
45,0,facenet,0.15,1,29.93,1,1,0.86073
46,0,facenet,0.15,1,9.93,1,1,0.71262
47,0,facenet,0.15,1,-4.29,1,1,0.62815
48,0,facenet,0.15,1,37.52,1,1,0.83988
49,0,facenet,0.15,1,49.34,1,1,0.69881
50,0,facenet,0.15,1,22.51,1,1,0.59035
51,0,facenet,0.15,1,36.57,1,1,0.80667
52,0,facenet,0.15,1,34.43,1,1,0.72106
53,0,facenet,0.15,1,42.8,1,1,0.74002
54,0,facenet,0.15,1,19.88,1,1,0.73106
55,0,facenet,0.15,1,13.8,1,1,0.87408
56,0,facenet,0.15,1,32.14,1,1,0.83426
57,0,facenet,0.15,1,30.72,1,1,0.95175
58,0,facenet,0.15,1,27.53,1,1,0.67399
59,0,facenet,0.15,1,28.7,1,1,0.63822
60,0,facenet,0.15,1,22.05,1,1,0.80037
61,0,facenet,0.15,1,39.35,1,1,0.78854
62,0,facenet,0.15,1,6.93,1,1,0.68131
63,0,facenet,0.15,1,-1.87,1,1,0.64538
64,0,facenet,0.15,1,23.57,1,1,0.74866
65,0,facenet,0.15,1,-9.34,1,1,0.76519
66,0,facenet,0.15,1,32.52,1,1,0.73562
67,0,facenet,0.15,1,34.16,1,1,0.63989
68,0,facenet,0.15,1,26.05,1,1,0.57987
69,0,facenet,0.15,1,20.55,1,1,0.57169
70,0,facenet,0.15,1,29.8,1,1,0.68669
71,0,facenet,0.15,1,19.53,1,1,0.86861
72,0,facenet,0.15,1,3.22,1,1,0.66753
73,0,facenet,0.15,1,2.96,1,1,0.85794
74,0,facenet,0.15,1,1.35,1,1,0.75127
75,0,facenet,0.15,1,-7.93,1,1,0.87214
76,0,facenet,0.15,1,-11.52,1,1,0.80382
77,0,facenet,0.15,1,14.72,1,1,0.73296
78,0,facenet,0.15,1,35.69,1,1,0.6362
79,0,facenet,0.15,1,59.5,1,1,0.7043
80,0,facenet,0.15,1,38.42,1,1,0.76826
81,0,facenet,0.15,1,39.7,1,1,0.70318
82,0,facenet,0.15,1,13.61,1,1,0.82337
83,0,facenet,0.15,1,18.04,1,1,0.89518
84,0,facenet,0.15,1,8.59,1,1,0.71132
85,0,facenet,0.15,1,22.01,1,1,0.80973
86,0,facenet,0.15,1,37.53,1,1,0.77115
87,0,facenet,0.15,1,30.46,1,1,0.79251
88,0,facenet,0.15,1,36.63,1,1,0.77281
89,0,facenet,0.15,1,53.15,1,1,0.65397
90,0,facenet,0.15,1,22.77,1,1,0.84659
91,0,facenet,0.15,1,1.84,1,1,0.86589
92,0,facenet,0.15,1,1.31,1,1,0.52091
93,0,facenet,0.15,1,22.9,1,1,0.61328
94,0,facenet,0.15,1,32.53,1,1,0.73246
95,0,facenet,0.15,1,-20.17,1,1,0.82146
96,0,facenet,0.15,1,20.8,1,1,0.84216
