kind,verifier,point,value,n,exposure,outcome,group,failures,rate,wilson_lo,wilson_hi,comparison_rate,risk_diff,ratio,p_fisher
threshold,facenet,fmr1pct,0.3788,3000,,,,,,,,,,,
rate,facenet,fmr1pct,,1001,0.15,fnmr,T1_light,52.0,0.0519,0.0398,0.0675,,,,
rate,facenet,fmr1pct,,999,0.15,fnmr,T2_mid,45.0,0.045,0.0338,0.0597,,,,
rate,facenet,fmr1pct,,999,0.15,fnmr,T3_dark,52.0,0.0521,0.0399,0.0676,,,,
contrast,facenet,fmr1pct,,2000,0.15,fnmr,T3_dark vs T1_light,,0.0521,,,0.0519,0.0001,1.0,1.0
rate,facenet,fmr1pct,,1001,0.15,cannot_verify,T1_light,52.0,0.0519,0.0398,0.0675,,,,
rate,facenet,fmr1pct,,999,0.15,cannot_verify,T2_mid,45.0,0.045,0.0338,0.0597,,,,
rate,facenet,fmr1pct,,1000,0.15,cannot_verify,T3_dark,53.0,0.053,0.0407,0.0687,,,,
contrast,facenet,fmr1pct,,2001,0.15,cannot_verify,T3_dark vs T1_light,,0.053,,,0.0519,0.0011,1.02,0.9205538780323509
trend,facenet,fmr1pct,,3000,0.15,match,spearman_ita,,,,,,,-0.0069,0.7071811590602921
rate,facenet,fmr1pct,,1001,0.25,fnmr,T1_light,52.0,0.0519,0.0398,0.0675,,,,
rate,facenet,fmr1pct,,999,0.25,fnmr,T2_mid,44.0,0.044,0.033,0.0586,,,,
rate,facenet,fmr1pct,,999,0.25,fnmr,T3_dark,55.0,0.0551,0.0425,0.071,,,,
contrast,facenet,fmr1pct,,2000,0.25,fnmr,T3_dark vs T1_light,,0.0551,,,0.0519,0.0031,1.06,0.7666571043158257
rate,facenet,fmr1pct,,1001,0.25,cannot_verify,T1_light,52.0,0.0519,0.0398,0.0675,,,,
rate,facenet,fmr1pct,,999,0.25,cannot_verify,T2_mid,44.0,0.044,0.033,0.0586,,,,
rate,facenet,fmr1pct,,1000,0.25,cannot_verify,T3_dark,56.0,0.056,0.0434,0.072,,,,
contrast,facenet,fmr1pct,,2001,0.25,cannot_verify,T3_dark vs T1_light,,0.056,,,0.0519,0.0041,1.08,0.6937470435171202
trend,facenet,fmr1pct,,3000,0.25,match,spearman_ita,,,,,,,-0.012,0.5095710077443107
rate,facenet,fmr1pct,,1001,0.35,fnmr,T1_light,52.0,0.0519,0.0398,0.0675,,,,
rate,facenet,fmr1pct,,999,0.35,fnmr,T2_mid,45.0,0.045,0.0338,0.0597,,,,
rate,facenet,fmr1pct,,1000,0.35,fnmr,T3_dark,49.0,0.049,0.0373,0.0642,,,,
contrast,facenet,fmr1pct,,2001,0.35,fnmr,T3_dark vs T1_light,,0.049,,,0.0519,-0.0029,0.94,0.8382927580288375
rate,facenet,fmr1pct,,1001,0.35,cannot_verify,T1_light,52.0,0.0519,0.0398,0.0675,,,,
rate,facenet,fmr1pct,,999,0.35,cannot_verify,T2_mid,45.0,0.045,0.0338,0.0597,,,,
rate,facenet,fmr1pct,,1000,0.35,cannot_verify,T3_dark,49.0,0.049,0.0373,0.0642,,,,
contrast,facenet,fmr1pct,,2001,0.35,cannot_verify,T3_dark vs T1_light,,0.049,,,0.0519,-0.0029,0.94,0.8382927580288375
trend,facenet,fmr1pct,,3000,0.35,match,spearman_ita,,,,,,,0.001,0.9547018685127163
rate,facenet,fmr1pct,,1001,0.5,fnmr,T1_light,52.0,0.0519,0.0398,0.0675,,,,
rate,facenet,fmr1pct,,999,0.5,fnmr,T2_mid,42.0,0.042,0.0313,0.0563,,,,
rate,facenet,fmr1pct,,1000,0.5,fnmr,T3_dark,57.0,0.057,0.0443,0.0731,,,,
contrast,facenet,fmr1pct,,2001,0.5,fnmr,T3_dark vs T1_light,,0.057,,,0.0519,0.0051,1.1,0.6240368333011383
rate,facenet,fmr1pct,,1001,0.5,cannot_verify,T1_light,52.0,0.0519,0.0398,0.0675,,,,
rate,facenet,fmr1pct,,999,0.5,cannot_verify,T2_mid,42.0,0.042,0.0313,0.0563,,,,
rate,facenet,fmr1pct,,1000,0.5,cannot_verify,T3_dark,57.0,0.057,0.0443,0.0731,,,,
contrast,facenet,fmr1pct,,2001,0.5,cannot_verify,T3_dark vs T1_light,,0.057,,,0.0519,0.0051,1.1,0.6240368333011383
trend,facenet,fmr1pct,,3000,0.5,match,spearman_ita,,,,,,,-0.0127,0.48743561619386033
rate,facenet,fmr1pct,,1001,1.0,fnmr,T1_light,53.0,0.0529,0.0407,0.0686,,,,
rate,facenet,fmr1pct,,999,1.0,fnmr,T2_mid,46.0,0.046,0.0347,0.0609,,,,
rate,facenet,fmr1pct,,1000,1.0,fnmr,T3_dark,56.0,0.056,0.0434,0.072,,,,
contrast,facenet,fmr1pct,,2001,1.0,fnmr,T3_dark vs T1_light,,0.056,,,0.0529,0.0031,1.06,0.7687184016739301
rate,facenet,fmr1pct,,1001,1.0,cannot_verify,T1_light,53.0,0.0529,0.0407,0.0686,,,,
rate,facenet,fmr1pct,,999,1.0,cannot_verify,T2_mid,46.0,0.046,0.0347,0.0609,,,,
rate,facenet,fmr1pct,,1000,1.0,cannot_verify,T3_dark,56.0,0.056,0.0434,0.072,,,,
