corpus,family,protocol,dimension,group,cutoff,human_pass,machine_pass,demotion_rate,promotion_rate,n,ci_lo,ci_hi
persuade,handfeat,oof,ell_status,Yes,3,0.5579,0.7335,0.0607,0.4738,2244,,
persuade,handfeat,oof,ell_status,No,3,0.7496,0.7874,0.068,0.3547,22451,,
persuade,handfeat,oof,ell_status,Yes - No,3,,,-0.0073,,2244,-0.0198,0.0067
persuade,handfeat,oof,ell_status,Yes,4,0.2041,0.3133,0.1747,0.182,2244,,
persuade,handfeat,oof,ell_status,No,4,0.4302,0.4342,0.1648,0.1315,22451,,
persuade,handfeat,oof,ell_status,Yes - No,4,,,0.0098,,2244,-0.0242,0.0429
persuade,handfeat,oof,ell_status,Yes,5,0.033,0.0459,0.4054,0.0272,2244,,
persuade,handfeat,oof,ell_status,No,5,0.1708,0.1225,0.3993,0.0241,22451,,
persuade,handfeat,oof,ell_status,Yes - No,5,,,0.0061,,2244,-0.1007,0.1135
persuade,handfeat,oof,economically_disadvantaged,Economically disadvantaged,3,0.6437,0.6921,0.1012,0.3187,9643,,
persuade,handfeat,oof,economically_disadvantaged,Not economically disadvantaged,3,0.8238,0.8324,0.0561,0.3114,11116,,
persuade,handfeat,oof,economically_disadvantaged,Economically disadvantaged - Not economically disadvantaged,3,,,0.045,,9643,0.0361,0.0535
persuade,handfeat,oof,economically_disadvantaged,Economically disadvantaged,4,0.289,0.3089,0.1988,0.1088,9643,,
persuade,handfeat,oof,economically_disadvantaged,Not economically disadvantaged,4,0.5362,0.5088,0.1542,0.1193,11116,,
persuade,handfeat,oof,economically_disadvantaged,Economically disadvantaged - Not economically disadvantaged,4,,,0.0446,,9643,0.0268,0.0613
persuade,handfeat,oof,economically_disadvantaged,Economically disadvantaged,5,0.0846,0.0641,0.4387,0.0181,9643,,
persuade,handfeat,oof,economically_disadvantaged,Not economically disadvantaged,5,0.245,0.1766,0.3709,0.0298,11116,,
persuade,handfeat,oof,economically_disadvantaged,Economically disadvantaged - Not economically disadvantaged,5,,,0.0678,,9643,0.0278,0.1058
persuade,handfeat,oof,student_disability_status,Identified as having disability,3,0.5495,0.6432,0.086,0.313,2688,,
persuade,handfeat,oof,student_disability_status,Not identified as having disability,3,0.7681,0.7849,0.0737,0.3167,18135,,
persuade,handfeat,oof,student_disability_status,Identified as having disability - Not identified as having disability,3,,,0.0123,,2688,-0.0018,0.027
persuade,handfeat,oof,student_disability_status,Identified as having disability,4,0.2411,0.2865,0.142,0.1049,2688,,
persuade,handfeat,oof,student_disability_status,Not identified as having disability,4,0.4475,0.4345,0.1707,0.1148,18135,,
persuade,handfeat,oof,student_disability_status,Identified as having disability - Not identified as having disability,4,,,-0.0287,,2688,-0.0559,-0.0005
persuade,handfeat,oof,student_disability_status,Identified as having disability,5,0.083,0.0666,0.3812,0.0166,2688,,
persuade,handfeat,oof,student_disability_status,Not identified as having disability,5,0.1831,0.1325,0.3878,0.0249,18135,,
persuade,handfeat,oof,student_disability_status,Identified as having disability - Not identified as having disability,5,,,-0.0067,,2688,-0.074,0.059
persuade,handfeat,oof,gender,F,3,0.7785,0.8274,0.0567,0.4201,13141,,
persuade,handfeat,oof,gender,M,3,0.7031,0.7459,0.0803,0.3344,12854,,
persuade,handfeat,oof,gender,F - M,3,,,-0.0236,,13141,-0.0309,-0.017
persuade,handfeat,oof,gender,F,4,0.4602,0.4684,0.165,0.1558,13141,,
persuade,handfeat,oof,gender,M,4,0.3775,0.3812,0.1853,0.1183,12854,,
persuade,handfeat,oof,gender,F - M,4,,,-0.0203,,13141,-0.0343,-0.0066
persuade,handfeat,oof,gender,F,5,0.1803,0.1298,0.4048,0.0275,13141,,
persuade,handfeat,oof,gender,M,5,0.1401,0.096,0.437,0.0199,12854,,
persuade,handfeat,oof,gender,F - M,5,,,-0.0322,,13141,-0.0637,-0.0038
persuade,handfeat,oof,race_ethnicity,Hispanic/Latino,3,0.6777,0.753,0.0735,0.3884,6560,,
