corpus,family,protocol,dimension,group,metric,value,ci_lo,ci_hi,n
persuade,handfeat,oof,ell_status,No,mean_human,3.3528,,,22451
persuade,handfeat,oof,ell_status,No,mean_machine,3.3362,,,22451
persuade,handfeat,oof,ell_status,No,mean_gap,-0.0166,,,22451
persuade,handfeat,oof,ell_status,No,smd,-0.0157,,,22451
persuade,handfeat,oof,ell_status,No,qwk,0.7944,,,22451
persuade,handfeat,oof,ell_status,No,exact,0.3156,,,22451
persuade,handfeat,oof,ell_status,No,pearson_r,0.8194,,,22451
persuade,handfeat,oof,ell_status,No,rmse,0.6689,,,22451
persuade,handfeat,oof,ell_status,Yes,mean_human,2.6912,,,2244
persuade,handfeat,oof,ell_status,Yes,mean_machine,3.057,,,2244
persuade,handfeat,oof,ell_status,Yes,mean_gap,0.3659,,,2244
persuade,handfeat,oof,ell_status,Yes,smd,0.3992,,,2244
persuade,handfeat,oof,ell_status,Yes,qwk,0.5989,,,2244
persuade,handfeat,oof,ell_status,Yes,exact,0.3106,,,2244
persuade,handfeat,oof,ell_status,Yes,pearson_r,0.6619,,,2244
persuade,handfeat,oof,ell_status,Yes,rmse,0.8464,,,2244
persuade,handfeat,oof,ell_status,Yes - No,raw_differential,0.3825,0.3527,0.4153,2244
persuade,handfeat,oof,ell_status,Yes - No,conditional_differential,0.1401,0.1128,0.1678,2244
persuade,handfeat,oof,economically_disadvantaged,Not economically disadvantaged,mean_human,3.6478,,,11116
persuade,handfeat,oof,economically_disadvantaged,Not economically disadvantaged,mean_machine,3.5204,,,11116
persuade,handfeat,oof,economically_disadvantaged,Not economically disadvantaged,mean_gap,-0.1274,,,11116
persuade,handfeat,oof,economically_disadvantaged,Not economically disadvantaged,smd,-0.1183,,,11116
persuade,handfeat,oof,economically_disadvantaged,Not economically disadvantaged,qwk,0.8207,,,11116
persuade,handfeat,oof,economically_disadvantaged,Not economically disadvantaged,exact,0.3219,,,11116
persuade,handfeat,oof,economically_disadvantaged,Not economically disadvantaged,pearson_r,0.8492,,,11116
persuade,handfeat,oof,economically_disadvantaged,Not economically disadvantaged,rmse,0.6331,,,11116
persuade,handfeat,oof,economically_disadvantaged,Economically disadvantaged,mean_human,2.9787,,,9643
persuade,handfeat,oof,economically_disadvantaged,Economically disadvantaged,mean_machine,3.0382,,,9643
persuade,handfeat,oof,economically_disadvantaged,Economically disadvantaged,mean_gap,0.0595,,,9643
persuade,handfeat,oof,economically_disadvantaged,Economically disadvantaged,smd,0.0604,,,9643
persuade,handfeat,oof,economically_disadvantaged,Economically disadvantaged,qwk,0.7605,,,9643
persuade,handfeat,oof,economically_disadvantaged,Economically disadvantaged,exact,0.3251,,,9643
persuade,handfeat,oof,economically_disadvantaged,Economically disadvantaged,pearson_r,0.7809,,,9643
persuade,handfeat,oof,economically_disadvantaged,Economically disadvantaged,rmse,0.6701,,,9643
persuade,handfeat,oof,economically_disadvantaged,Economically disadvantaged - Not economically disadvantaged,raw_differential,0.1869,0.1697,0.2033,9643
persuade,handfeat,oof,economically_disadvantaged,Economically disadvantaged - Not economically disadvantaged,conditional_differential,-0.0187,-0.0338,-0.0023,9643
persuade,handfeat,oof,student_disability_status,Not identified as having disability,mean_human,3.4172,,,18135
persuade,handfeat,oof,student_disability_status,Not identified as having disability,mean_machine,3.344,,,18135
persuade,handfeat,oof,student_disability_status,Not identified as having disability,mean_gap,-0.0732,,,18135
persuade,handfeat,oof,student_disability_status,Not identified as having disability,smd,-0.0688,,,18135
persuade,handfeat,oof,student_disability_status,Not identified as having disability,qwk,0.8118,,,18135
persuade,handfeat,oof,student_disability_status,Not identified as having disability,exact,0.3221,,,18135
persuade,handfeat,oof,student_disability_status,Not identified as having disability,pearson_r,0.835,,,18135
persuade,handfeat,oof,student_disability_status,Not identified as having disability,rmse,0.6404,,,18135
persuade,handfeat,oof,student_disability_status,Identified as having disability,mean_human,2.7876,,,2688
persuade,handfeat,oof,student_disability_status,Identified as having disability,mean_machine,2.9631,,,2688
persuade,handfeat,oof,student_disability_status,Identified as having disability,mean_gap,0.1755,,,2688
persuade,handfeat,oof,student_disability_status,Identified as having disability,smd,0.1693,,,2688
persuade,handfeat,oof,student_disability_status,Identified as having disability,qwk,0.7573,,,2688
persuade,handfeat,oof,student_disability_status,Identified as having disability,exact,0.33,,,2688
persuade,handfeat,oof,student_disability_status,Identified as having disability,pearson_r,0.7895,,,2688
persuade,handfeat,oof,student_disability_status,Identified as having disability,rmse,0.7139,,,2688
persuade,handfeat,oof,student_disability_status,Identified as having disability - Not identified as having disability,raw_differential,0.2488,0.2213,0.2749,2688
persuade,handfeat,oof,student_disability_status,Identified as having disability - Not identified as having disability,conditional_differential,0.0212,-0.0027,0.0455,2688
persuade,handfeat,oof,gender,M,mean_human,3.2009,,,12854
persuade,handfeat,oof,gender,M,mean_machine,3.2094,,,12854
persuade,handfeat,oof,gender,M,mean_gap,0.0085,,,12854
persuade,handfeat,oof,gender,M,smd,0.008,,,12854
persuade,handfeat,oof,gender,M,qwk,0.7843,,,12854
persuade,handfeat,oof,gender,M,exact,0.3166,,,12854
persuade,handfeat,oof,gender,M,pearson_r,0.8073,,,12854
persuade,handfeat,oof,gender,M,rmse,0.6796,,,12854
persuade,handfeat,oof,gender,F,mean_human,3.4265,,,13141
persuade,handfeat,oof,gender,F,mean_machine,3.4195,,,13141
persuade,handfeat,oof,gender,F,mean_gap,-0.007,,,13141
persuade,handfeat,oof,gender,F,smd,-0.0067,,,13141
persuade,handfeat,oof,gender,F,qwk,0.7727,,,13141
persuade,handfeat,oof,gender,F,exact,0.3112,,,13141
persuade,handfeat,oof,gender,F,pearson_r,0.8023,,,13141
persuade,handfeat,oof,gender,F,rmse,0.6918,,,13141
persuade,handfeat,oof,gender,F - M,raw_differential,-0.0154,-0.0321,0.0003,13141
persuade,handfeat,oof,gender,F - M,conditional_differential,0.0585,0.0466,0.071,13141
persuade,handfeat,oof,race_ethnicity,White,mean_human,3.4285,,,11571
persuade,handfeat,oof,race_ethnicity,White,mean_machine,3.3693,,,11571
persuade,handfeat,oof,race_ethnicity,White,mean_gap,-0.0592,,,11571
persuade,handfeat,oof,race_ethnicity,White,smd,-0.0572,,,11571
persuade,handfeat,oof,race_ethnicity,White,qwk,0.7844,,,11571
persuade,handfeat,oof,race_ethnicity,White,exact,0.3129,,,11571
persuade,handfeat,oof,race_ethnicity,White,pearson_r,0.8122,,,11571
persuade,handfeat,oof,race_ethnicity,White,rmse,0.6694,,,11571
persuade,handfeat,oof,race_ethnicity,Hispanic/Latino,mean_human,3.086,,,6560
persuade,handfeat,oof,race_ethnicity,Hispanic/Latino,mean_machine,3.1788,,,6560
persuade,handfeat,oof,race_ethnicity,Hispanic/Latino,mean_gap,0.0928,,,6560
persuade,handfeat,oof,race_ethnicity,Hispanic/Latino,smd,0.0926,,,6560
persuade,handfeat,oof,race_ethnicity,Hispanic/Latino,qwk,0.7461,,,6560
persuade,handfeat,oof,race_ethnicity,Hispanic/Latino,exact,0.3107,,,6560
persuade,handfeat,oof,race_ethnicity,Hispanic/Latino,pearson_r,0.7715,,,6560
persuade,handfeat,oof,race_ethnicity,Hispanic/Latino,rmse,0.7067,,,6560
persuade,handfeat,oof,race_ethnicity,Black/African American,mean_human,3.1226,,,4958
persuade,handfeat,oof,race_ethnicity,Black/African American,mean_machine,3.1625,,,4958
persuade,handfeat,oof,race_ethnicity,Black/African American,mean_gap,0.0399,,,4958
persuade,handfeat,oof,race_ethnicity,Black/African American,smd,0.0386,,,4958
persuade,handfeat,oof,race_ethnicity,Black/African American,qwk,0.7627,,,4958
persuade,handfeat,oof,race_ethnicity,Black/African American,exact,0.3255,,,4958
persuade,handfeat,oof,race_ethnicity,Black/African American,pearson_r,0.7852,,,4958
persuade,handfeat,oof,race_ethnicity,Black/African American,rmse,0.7008,,,4958
persuade,handfeat,oof,race_ethnicity,Asian/Pacific Islander,mean_human,3.9185,,,1743
persuade,handfeat,oof,race_ethnicity,Asian/Pacific Islander,mean_machine,3.875,,,1743
persuade,handfeat,oof,race_ethnicity,Asian/Pacific Islander,mean_gap,-0.0435,,,1743
persuade,handfeat,oof,race_ethnicity,Asian/Pacific Islander,smd,-0.0387,,,1743
persuade,handfeat,oof,race_ethnicity,Asian/Pacific Islander,qwk,0.791,,,1743
persuade,handfeat,oof,race_ethnicity,Asian/Pacific Islander,exact,0.2771,,,1743
persuade,handfeat,oof,race_ethnicity,Asian/Pacific Islander,pearson_r,0.8388,,,1743
persuade,handfeat,oof,race_ethnicity,Asian/Pacific Islander,rmse,0.7043,,,1743
persuade,handfeat,oof,race_ethnicity,Hispanic/Latino - White,raw_differential,0.152,0.1319,0.1732,6560
persuade,handfeat,oof,race_ethnicity,Hispanic/Latino - White,conditional_differential,0.0272,0.0108,0.0442,6560
persuade,handfeat,oof,race_ethnicity,Black/African American - White,raw_differential,0.0991,0.076,0.1223,4958
