corpus,variable,level,value
PERSUADE 2.0,essays,,25995
PERSUADE 2.0,human score mean (SD),,3.31 (1.16)
PERSUADE 2.0,ell_status,No,22451 (86.4%)
PERSUADE 2.0,ell_status,Yes,2244 (8.6%)
PERSUADE 2.0,ell_status,missing,1300 (5.0%)
PERSUADE 2.0,race_ethnicity,White,11571 (44.5%)
PERSUADE 2.0,race_ethnicity,Hispanic/Latino,6560 (25.2%)
PERSUADE 2.0,race_ethnicity,Black/African American,4958 (19.1%)
PERSUADE 2.0,race_ethnicity,Asian/Pacific Islander,1743 (6.7%)
PERSUADE 2.0,race_ethnicity,Two or more races/Other,1022 (3.9%)
PERSUADE 2.0,race_ethnicity,American Indian/Alaskan Native,141 (0.5%)
PERSUADE 2.0,economically_disadvantaged,Not economically disadvantaged,11116 (42.8%)
PERSUADE 2.0,economically_disadvantaged,Economically disadvantaged,9643 (37.1%)
PERSUADE 2.0,economically_disadvantaged,missing,5236 (20.1%)
PERSUADE 2.0,student_disability_status,Not identified as having disability,18135 (69.8%)
PERSUADE 2.0,student_disability_status,missing,5172 (19.9%)
PERSUADE 2.0,student_disability_status,Identified as having disability,2688 (10.3%)
PERSUADE 2.0,gender,F,13141 (50.6%)
PERSUADE 2.0,gender,M,12854 (49.4%)
ELLIPSE,essays,,6482
ELLIPSE,human score mean (SD),,3.10 (0.64)
ELLIPSE,SES,Economically disadvantaged,4507 (69.5%)
ELLIPSE,SES,Not economically disadvantaged,1974 (30.5%)
ELLIPSE,SES,missing,1 (0.0%)
ELLIPSE,race_ethnicity,Hispanic/Latino,4635 (71.5%)
ELLIPSE,race_ethnicity,Asian/Pacific Islander,792 (12.2%)
ELLIPSE,race_ethnicity,Black/African American,515 (7.9%)
ELLIPSE,race_ethnicity,White,471 (7.3%)
ELLIPSE,race_ethnicity,Two or more races/Other,46 (0.7%)
ELLIPSE,race_ethnicity,American Indian/Alaskan Native,23 (0.4%)
ELLIPSE,gender,Male,3636 (56.1%)
ELLIPSE,gender,Female,2846 (43.9%)
ELLIPSE,grade,11,2280 (35.2%)
ELLIPSE,grade,12,2213 (34.1%)
ELLIPSE,grade,8,1627 (25.1%)
ELLIPSE,grade,10,330 (5.1%)
ELLIPSE,grade,9,32 (0.5%)
