corpus,dimension,family,protocol,group,n,mean_gap,smd,qwk,raw_differential,conditional_differential
persuade,ell_status,handfeat,oof,No,22451,-0.0166,-0.0157,0.7944,,
persuade,ell_status,handfeat,oof,Yes,2244,0.3659,0.3992,0.5989,,
persuade,ell_status,handfeat,oof,Yes - No,2244,,,,"+0.383 [+0.353, +0.415]","+0.140 [+0.113, +0.168]"
persuade,ell_status,handfeat,lopo,No,22451,-0.0135,-0.0127,0.7826,,
persuade,ell_status,handfeat,lopo,Yes,2244,0.378,0.414,0.583,,
persuade,ell_status,handfeat,lopo,Yes - No,2244,,,,"+0.392 [+0.361, +0.425]","+0.142 [+0.115, +0.168]"
persuade,ell_status,tfidf,oof,No,22451,0.0067,0.0061,0.8491,,
persuade,ell_status,tfidf,oof,Yes,2244,0.0728,0.0791,0.7757,,
persuade,ell_status,tfidf,oof,Yes - No,2244,,,,"+0.066 [+0.040, +0.093]","-0.109 [-0.131, -0.086]"
persuade,ell_status,tfidf,lopo,No,22451,-0.1668,-0.1569,0.769,,
persuade,ell_status,tfidf,lopo,Yes,2244,0.1332,0.1529,0.6319,,
persuade,ell_status,tfidf,lopo,Yes - No,2244,,,,"+0.300 [+0.270, +0.331]","+0.048 [+0.025, +0.071]"
persuade,ell_status,embed,oof,No,22451,-0.0182,-0.0173,0.7828,,
persuade,ell_status,embed,oof,Yes,2244,0.2248,0.2376,0.6985,,
persuade,ell_status,embed,oof,Yes - No,2244,,,,"+0.243 [+0.214, +0.272]","+0.008 [-0.018, +0.034]"
persuade,ell_status,embed,lopo,No,22451,0.1016,0.0998,0.6345,,
persuade,ell_status,embed,lopo,Yes,2244,0.564,0.6163,0.4408,,
persuade,ell_status,embed,lopo,Yes - No,2244,,,,"+0.462 [+0.425, +0.501]","+0.121 [+0.089, +0.150]"
persuade,economically_disadvantaged,handfeat,oof,Not economically disadvantaged,11116,-0.1274,-0.1183,0.8207,,
persuade,economically_disadvantaged,handfeat,oof,Economically disadvantaged,9643,0.0595,0.0604,0.7605,,
persuade,economically_disadvantaged,handfeat,oof,Economically disadvantaged - Not economically disadvantaged,9643,,,,"+0.187 [+0.170, +0.203]","-0.019 [-0.034, -0.002]"
persuade,economically_disadvantaged,handfeat,lopo,Not economically disadvantaged,11116,-0.1434,-0.1334,0.8127,,
persuade,economically_disadvantaged,handfeat,lopo,Economically disadvantaged,9643,0.0517,0.0525,0.7536,,
persuade,economically_disadvantaged,handfeat,lopo,Economically disadvantaged - Not economically disadvantaged,9643,,,,"+0.195 [+0.178, +0.213]","-0.015 [-0.032, +0.002]"
persuade,economically_disadvantaged,tfidf,oof,Not economically disadvantaged,11116,-0.0068,-0.0062,0.855,,
persuade,economically_disadvantaged,tfidf,oof,Economically disadvantaged,9643,0.0282,0.0285,0.8249,,
persuade,economically_disadvantaged,tfidf,oof,Economically disadvantaged - Not economically disadvantaged,9643,,,,"+0.035 [+0.021, +0.050]","-0.131 [-0.146, -0.116]"
persuade,economically_disadvantaged,tfidf,lopo,Not economically disadvantaged,11116,-0.2384,-0.2192,0.7881,,
persuade,economically_disadvantaged,tfidf,lopo,Economically disadvantaged,9643,-0.086,-0.0896,0.7401,,
persuade,economically_disadvantaged,tfidf,lopo,Economically disadvantaged - Not economically disadvantaged,9643,,,,"+0.152 [+0.133, +0.170]","-0.065 [-0.082, -0.049]"
persuade,economically_disadvantaged,embed,oof,Not economically disadvantaged,11116,-0.0567,-0.0533,0.7877,,
persuade,economically_disadvantaged,embed,oof,Economically disadvantaged,9643,0.0689,0.0695,0.7727,,
persuade,economically_disadvantaged,embed,oof,Economically disadvantaged - Not economically disadvantaged,9643,,,,"+0.126 [+0.108, +0.143]","-0.093 [-0.111, -0.076]"
persuade,economically_disadvantaged,embed,lopo,Not economically disadvantaged,11116,-0.0152,-0.0149,0.6325,,
persuade,economically_disadvantaged,embed,lopo,Economically disadvantaged,9643,0.2762,0.2869,0.5684,,
persuade,economically_disadvantaged,embed,lopo,Economically disadvantaged - Not economically disadvantaged,9643,,,,"+0.291 [+0.267, +0.315]","-0.046 [-0.064, -0.025]"
persuade,student_disability_status,handfeat,oof,Not identified as having disability,18135,-0.0732,-0.0688,0.8118,,
persuade,student_disability_status,handfeat,oof,Identified as having disability,2688,0.1755,0.1693,0.7573,,
persuade,student_disability_status,handfeat,oof,Identified as having disability - Not identified as having disability,2688,,,,"+0.249 [+0.221, +0.275]","+0.021 [-0.003, +0.045]"
persuade,student_disability_status,handfeat,lopo,Not identified as having disability,18135,-0.088,-0.0828,0.8046,,
persuade,student_disability_status,handfeat,lopo,Identified as having disability,2688,0.1802,0.1744,0.75,,
persuade,student_disability_status,handfeat,lopo,Identified as having disability - Not identified as having disability,2688,,,,"+0.268 [+0.239, +0.297]","+0.037 [+0.013, +0.062]"
persuade,student_disability_status,tfidf,oof,Not identified as having disability,18135,0.0012,0.0011,0.8522,,
persuade,student_disability_status,tfidf,oof,Identified as having disability,2688,0.0651,0.0613,0.8432,,
persuade,student_disability_status,tfidf,oof,Identified as having disability - Not identified as having disability,2688,,,,"+0.064 [+0.040, +0.087]","-0.108 [-0.129, -0.089]"
persuade,student_disability_status,tfidf,lopo,Not identified as having disability,18135,-0.2009,-0.1887,0.7836,,
persuade,student_disability_status,tfidf,lopo,Identified as having disability,2688,0.0572,0.0567,0.7591,,
persuade,student_disability_status,tfidf,lopo,Identified as having disability - Not identified as having disability,2688,,,,"+0.258 [+0.231, +0.287]","+0.012 [-0.009, +0.034]"
persuade,student_disability_status,embed,oof,Not identified as having disability,18135,-0.0146,-0.0138,0.7931,,
persuade,student_disability_status,embed,oof,Identified as having disability,2688,0.1104,0.1029,0.7833,,
persuade,student_disability_status,embed,oof,Identified as having disability - Not identified as having disability,2688,,,,"+0.125 [+0.099, +0.150]","-0.084 [-0.109, -0.059]"
persuade,student_disability_status,embed,lopo,Not identified as having disability,18135,0.0707,0.0694,0.6324,,
persuade,student_disability_status,embed,lopo,Identified as having disability,2688,0.4516,0.4505,0.5481,,
persuade,student_disability_status,embed,lopo,Identified as having disability - Not identified as having disability,2688,,,,"+0.381 [+0.347, +0.419]","+0.058 [+0.028, +0.086]"
persuade,gender,handfeat,oof,M,12854,0.0085,0.008,0.7843,,
persuade,gender,handfeat,oof,F,13141,-0.007,-0.0067,0.7727,,
persuade,gender,handfeat,oof,F - M,13141,,,,"-0.015 [-0.032, +0.000]","+0.059 [+0.047, +0.071]"
persuade,gender,handfeat,lopo,M,12854,0.0115,0.0109,0.7727,,
persuade,gender,handfeat,lopo,F,13141,-0.005,-0.0048,0.7596,,
persuade,gender,handfeat,lopo,F - M,13141,,,,"-0.016 [-0.031, +0.001]","+0.060 [+0.047, +0.073]"
persuade,gender,tfidf,oof,M,12854,0.0225,0.0209,0.8488,,
persuade,gender,tfidf,oof,F,13141,0.0033,0.0031,0.8437,,
persuade,gender,tfidf,oof,F - M,13141,,,,"-0.019 [-0.033, -0.006]","+0.037 [+0.025, +0.050]"
persuade,gender,tfidf,lopo,M,12854,-0.1373,-0.1318,0.765,,
persuade,gender,tfidf,lopo,F,13141,-0.1665,-0.1587,0.7531,,
persuade,gender,tfidf,lopo,F - M,13141,,,,"-0.029 [-0.048, -0.012]","+0.052 [+0.039, +0.065]"
persuade,gender,embed,oof,M,12854,0.0217,0.0205,0.787,,
persuade,gender,embed,oof,F,13141,-0.0167,-0.0161,0.7672,,
persuade,gender,embed,oof,F - M,13141,,,,"-0.038 [-0.054, -0.022]","+0.033 [+0.020, +0.046]"
persuade,gender,embed,lopo,M,12854,0.1256,0.1241,0.6297,,
persuade,gender,embed,lopo,F,13141,0.1008,0.1006,0.5925,,
persuade,gender,embed,lopo,F - M,13141,,,,"-0.025 [-0.046, -0.003]","+0.086 [+0.072, +0.100]"
persuade,race_ethnicity,handfeat,oof,White,11571,-0.0592,-0.0572,0.7844,,
persuade,race_ethnicity,handfeat,oof,Hispanic/Latino,6560,0.0928,0.0926,0.7461,,
persuade,race_ethnicity,handfeat,oof,Black/African American,4958,0.0399,0.0386,0.7627,,
persuade,race_ethnicity,handfeat,oof,Asian/Pacific Islander,1743,-0.0435,-0.0387,0.791,,
persuade,race_ethnicity,handfeat,oof,Hispanic/Latino - White,6560,,,,"+0.152 [+0.132, +0.173]","+0.027 [+0.011, +0.044]"
persuade,race_ethnicity,handfeat,oof,Black/African American - White,4958,,,,"+0.099 [+0.076, +0.122]","-0.016 [-0.034, +0.003]"
persuade,race_ethnicity,handfeat,oof,Asian/Pacific Islander - White,1743,,,,"+0.016 [-0.020, +0.051]","+0.168 [+0.142, +0.194]"
persuade,race_ethnicity,handfeat,lopo,White,11571,-0.0562,-0.0542,0.7738,,
persuade,race_ethnicity,handfeat,lopo,Hispanic/Latino,6560,0.1003,0.0999,0.7321,,
persuade,race_ethnicity,handfeat,lopo,Black/African American,4958,0.0398,0.0386,0.7471,,
persuade,race_ethnicity,handfeat,lopo,Asian/Pacific Islander,1743,-0.0556,-0.0497,0.7793,,
persuade,race_ethnicity,handfeat,lopo,Hispanic/Latino - White,6560,,,,"+0.156 [+0.134, +0.176]","+0.029 [+0.012, +0.047]"
persuade,race_ethnicity,handfeat,lopo,Black/African American - White,4958,,,,"+0.096 [+0.072, +0.120]","-0.022 [-0.041, -0.003]"
persuade,race_ethnicity,handfeat,lopo,Asian/Pacific Islander - White,1743,,,,"+0.001 [-0.033, +0.034]","+0.158 [+0.131, +0.183]"
persuade,race_ethnicity,tfidf,oof,White,11571,-0.0039,-0.0036,0.8399,,
persuade,race_ethnicity,tfidf,oof,Hispanic/Latino,6560,0.0231,0.0226,0.8276,,
persuade,race_ethnicity,tfidf,oof,Black/African American,4958,0.0421,0.0396,0.846,,
persuade,race_ethnicity,tfidf,oof,Asian/Pacific Islander,1743,-0.0003,-0.0003,0.8702,,
persuade,race_ethnicity,tfidf,oof,Hispanic/Latino - White,6560,,,,"+0.027 [+0.008, +0.044]","-0.067 [-0.081, -0.052]"
persuade,race_ethnicity,tfidf,oof,Black/African American - White,4958,,,,"+0.046 [+0.027, +0.064]","-0.040 [-0.058, -0.023]"
