institution,domain,integ_url,ai_url
Monash University,monash.edu,https://www.monash.edu/students/admin/policies/academic-integrity,
University of Western Australia,uwa.edu.au,https://www.uwa.edu.au/about/leadership-and-governance/integrity-and-standards/academic-integrity-for-students,
Macquarie University,mq.edu.au,https://students.mq.edu.au/study/assessment-exams/academic-integrity,
University of Technology Sydney,uts.edu.au,https://www.uts.edu.au/for-students/current-students/support/academic-support/academic-integrity,
Queensland University of Technology,qut.edu.au,https://www.mopp.qut.edu.au/C/C_05_03.jsp,
RMIT University,rmit.edu.au,https://www.rmit.edu.au/students/my-course/assessment-results/academic-integrity,
Deakin University,deakin.edu.au,https://www.deakin.edu.au/students/study-support/academic-integrity,
La Trobe University,latrobe.edu.au,https://www.latrobe.edu.au/students/learning/academic-integrity,
Swinburne University of Technology,swinburne.edu.au,https://www.swinburne.edu.au/current-students/manage-course/exams-results-assessment/academic-integrity-misconduct/,
University of Newcastle,newcastle.edu.au,https://www.newcastle.edu.au/current-students/study-essentials/academic-integrity,
University of Tasmania,utas.edu.au,https://www.utas.edu.au/students/learning/academic-integrity,
Flinders University,flinders.edu.au,https://students.flinders.edu.au/my-course/academic-integrity,
James Cook University,jcu.edu.au,https://www.jcu.edu.au/students/academic-integrity,
Western Sydney University,westernsydney.edu.au,https://www.westernsydney.edu.au/currentstudents/current_students/services_and_facilities/academic_integrity,
Murdoch University,murdoch.edu.au,https://www.murdoch.edu.au/students/support/academic-integrity,
University of South Australia,unisa.edu.au,https://i.unisa.edu.au/students/academic-integrity/,
