institution,domain,integ_url,ai_url
Dalhousie University,dal.ca,https://www.dal.ca/about/leadership-governance/academic-integrity.html,
University of Saskatchewan,usask.ca,https://academic-integrity.usask.ca/students.php,
York University,yorku.ca,https://www.yorku.ca/unit/vpacad/academic-integrity/,
Carleton University,carleton.ca,https://students.carleton.ca/services/academic-integrity/,
University of Victoria,uvic.ca,https://www.uvic.ca/students/academics/academic-integrity/index.php,
Concordia University,concordia.ca,https://www.concordia.ca/conduct/academic-integrity.html,
Memorial University of Newfoundland,mun.ca,https://www.mun.ca/undergrad/first-year-information/academic-integrity/,
University of New Brunswick,unb.ca,https://www.unb.ca/academics/calendar/undergraduate/current/regulations/universitywideacademicregulations/viii-academicoffences/,
Lakehead University,lakeheadu.ca,https://www.lakeheadu.ca/students/student-life/student-conduct/academic-integrity,
University of Regina,uregina.ca,https://academic-integrity.uregina.ca/,
Brock University,brocku.ca,https://brocku.ca/academic-integrity/,
