institution,country,domain,candidate
University of Adelaide,AU,adelaide.edu.au,https://www.adelaide.edu.au/student/academic-skills/academic-integrity-for-students
University of Adelaide,AU,adelaide.edu.au,https://www.adelaide.edu.au/policies/230/
Australian National University,AU,anu.edu.au,https://www.anu.edu.au/students/academic-skills/academic-integrity
Australian National University,AU,anu.edu.au,https://services.anu.edu.au/learning-teaching/academic-integrity
University of Western Australia,AU,uwa.edu.au,http://www.student.uwa.edu.au/course/discipline
University of Western Australia,AU,uwa.edu.au,https://www.uwa.edu.au/about/leadership-and-governance/integrity-and-standards/academic-integrity-for-students
King's College London,UK,kcl.ac.uk,https://www.kcl.ac.uk/governancezone/students/misconduct-policy-and-procedure
King's College London,UK,kcl.ac.uk,https://www.kcl.ac.uk/campuslife/acservices/conduct/academic-misconduct
University of Warwick,UK,warwick.ac.uk,https://warwick.ac.uk/services/aro/dar/quality/categories/examinations
University of Warwick,UK,warwick.ac.uk,https://warwick.ac.uk/students/academic-essentials/navigating-university/academic-integrity/
University of Glasgow,UK,gla.ac.uk,https://www.gla.ac.uk/myglasgow/sld/plagiarism/
University of Glasgow,UK,gla.ac.uk,https://www.gla.ac.uk/myglasgow/studentconduct/plagiarism/
University of Leeds,UK,leeds.ac.uk,https://secretariat.leeds.ac.uk/student-cases/academic-misconduct/
University of Leeds,UK,leeds.ac.uk,https://students.leeds.ac.uk/academic-integrity
University of Sheffield,UK,sheffield.ac.uk,https://www.sheffield.ac.uk/study-skills/assessment/academic-integrity/academic-integrity
University of Sheffield,UK,sheffield.ac.uk,https://www.sheffield.ac.uk/ssid/unfair-means
Durham University,UK,durham.ac.uk,https://www.dur.ac.uk/learningandteaching.handbook/
Durham University,UK,durham.ac.uk,https://www.durham.ac.uk/departments/academic/common-awards/policies-processes/assessment/academic-misconduct/
University of Southampton,UK,southampton.ac.uk,https://www.southampton.ac.uk/quality/assessment/academic_integrity.page
University of Southampton,UK,southampton.ac.uk,https://www.southampton.ac.uk/about/governance/regulations-policies/student-regulations/academic-integrity
