event_q,n_inst,within_cos,cross_cos,all_cos
-6,11,0.0829,0.0599,0.075
-5,12,0.0755,0.057,0.0696
-4,13,0.077,0.0527,0.067
-3,13,0.0768,0.0527,0.0669
-2,13,0.0798,0.0539,0.0692
-1,13,0.0784,0.0535,0.0682
0,13,0.0796,0.059,0.0712
1,21,0.0828,0.072,0.0766
2,32,0.094,0.0776,0.0824
3,44,0.1166,0.0967,0.1026
4,53,0.1132,0.1029,0.106
5,60,0.1099,0.0973,0.1011
6,65,0.1214,0.1038,0.1095
7,73,0.1103,0.0968,0.1014
8,81,0.1193,0.1046,0.1095
9,89,0.1227,0.1035,0.11
10,95,0.1224,0.1005,0.1079
11,99,0.1213,0.0977,0.1057
12,102,0.1293,0.1045,0.1132
13,104,0.1279,0.1053,0.1135
