institution,domain,integ_url,ai_url
University of Manchester,manchester.ac.uk,https://www.regulations.manchester.ac.uk/academic/academic-malpractice/,https://www.studentsupport.manchester.ac.uk/study-support/academic-support/assessments-and-exams/avoiding-academic-malpractice/
King's College London,kcl.ac.uk,https://www.kcl.ac.uk/campuslife/acservices/conduct/academic-misconduct,
University of Warwick,warwick.ac.uk,https://warwick.ac.uk/students/academic-essentials/academic-integrity/,https://warwick.ac.uk/students/academic-essentials/academic-integrity/artificial-intelligence/
University of Glasgow,gla.ac.uk,https://www.gla.ac.uk/myglasgow/studentconduct/academicmisconduct/,
University of Bristol,bristol.ac.uk,https://www.bristol.ac.uk/students/support/academic-advice/academic-integrity/,
University of Leeds,leeds.ac.uk,https://students.leeds.ac.uk/academic-integrity,
University of Birmingham,birmingham.ac.uk,https://intranet.birmingham.ac.uk/student/academic-support/academic-integrity-support-and-advice.aspx,
University of Sheffield,sheffield.ac.uk,https://www.sheffield.ac.uk/study/policies/academic-misconduct,
University of Nottingham,nottingham.ac.uk,https://www.nottingham.ac.uk/academicservices/currentstudents/academic-misconduct.aspx,
Durham University,durham.ac.uk,https://www.durham.ac.uk/about-us/professional-services/academic-appeals-misconduct/,
University of Southampton,southampton.ac.uk,https://www.southampton.ac.uk/about/governance/regulations-policies/student-regulations/academic-integrity,
Cardiff University,cardiff.ac.uk,https://www.cardiff.ac.uk/public-information/policies-and-procedures/academic-regulations,
