institution,domain,integ_url,ai_url
University of Leeds,leeds.ac.uk,https://students.leeds.ac.uk/academic-integrity,
University of Sheffield,sheffield.ac.uk,https://www.sheffield.ac.uk/study/policies/academic-misconduct,
University of Warwick,warwick.ac.uk,https://warwick.ac.uk/students/learning-experience/academic_integrity/,https://warwick.ac.uk/students/academic-essentials/academic-integrity/artificial-intelligence/
King's College London,kcl.ac.uk,https://www.kcl.ac.uk/assets/policyzone/assessment/academic-misconduct-policy.pdf,
Newcastle University,ncl.ac.uk,https://www.ncl.ac.uk/academic-skills-kit/good-academic-practice/,https://www.ncl.ac.uk/academic-skills-kit/good-academic-practice/artificial-intelligence/
University of Liverpool,liverpool.ac.uk,https://www.liverpool.ac.uk/student-administration-and-support-division/a-z/conduct-discipline/,
University of York,york.ac.uk,https://www.york.ac.uk/students/studying/skills/integrity/,
London School of Economics,lse.ac.uk,https://info.lse.ac.uk/current-students/what-if/accused-of-plagiarism-or-cheating,
University of Exeter,exeter.ac.uk,https://www.exeter.ac.uk/students/facultycases/academicconductandpractice/,
Queen Mary University of London,qmul.ac.uk,https://www.qmul.ac.uk/student-advice-and-signposting-hub/academic-support/academic-integrity/,
Queen's University Belfast,qub.ac.uk,https://www.qub.ac.uk/directorates/AcademicStudentAffairs/AcademicAffairs/AppealsComplaintsandMisconduct/AcademicOffences/,
University of Bath,bath.ac.uk,https://www.bath.ac.uk/guides/academic-misconduct/,
Lancaster University,lancaster.ac.uk,https://www.lancaster.ac.uk/student-and-education-services/exams-and-assessment/regulations/plagiarism/,
University of Leicester,le.ac.uk,https://le.ac.uk/policies/regulations/senate-regulations/senate-regulation-11/academic,
