institution,timestamp,provision,match,context
Harvard University,20241130121842,permitted_use,permitted,"r with students they’re teaching and advising about their policies on permitted uses, if any, of generative AI in classes and on academic work. Stude"
University of Illinois Chicago,20240710065551,prohibition,prohibit,u develop your own AI usage policy for your course. Example statement prohibiting the use of AI writing tools: The use of AI writing tools (includin
University of Illinois Chicago,20240710065551,detector_surveillance,detector,"struction. The instructor may submit student writing to an AI writing detector (e.g., GPTZero) at any point throughout the term. Any confirmed use o"
University of Illinois Chicago,20240710065551,misconduct_framing,cheating,ut the term. Any confirmed use of AI writing tools will be treated as cheating. Students should reference UIC’s Student Disciplinary Policy for more
University of Illinois Chicago,20240710065551,permitted_use,permitted,"for an AI-infused world, the use of AI writing tools in this class is permitted in some ways. Students are encouraged to use AI writing tools (such a"
University of Illinois Chicago,20240710065551,disclosure,cite the source,"Citing Generative AI Sources In academic scholarship, writers need to cite the sources that they paraphrase, quote, and reference in their work. While majo"
Cornell University,20230614214733,prohibition,prohibit,"your preferred teaching strategies (i.e., the appropriate–or perhaps prohibited–use of AI tools like ChatGPT, etc.), as well as expectations for in"
Cornell University,20230614214733,misconduct_framing,cheating,"strategies can lower anxiety, which drives many students to consider cheating. Build structured flexibility into due dates (e.g., by offering a set"
Cornell University,20230614214733,permitted_use,appropriate use,"ions of assignments, sources of academic support, flexible due dates, appropriate use of AI tools, relative weights of assignments, etc.), the University’s"
University of Notre Dame,20241104103635,prohibition,prohibit,"s they make are AI-generated text. This means that if your instructor prohibits the use of gen AI on an assignment or in a class, this prohibition i"
University of Notre Dame,20241104103635,detector_surveillance,detector,"unless explicitly stated otherwise. If your instructor is using an AI detector, even a small number of suggestions from an AI editing tool in your w"
University of Notre Dame,20241104103635,misconduct_framing,academic dishonest,ed suggestions without proper attribution can be considered a form of academic dishonesty. This is because you're incorporating AI-generated content into your
University of Notre Dame,20241104103635,permitted_use,permitted,"d the AI-generated content produced by the editing tool. If they have permitted the use of editing tools, then it may not be an issue, but you should"
University of Notre Dame,20241104103635,disclosure,citing the use,"k the syllabus or ask your instructor for clarification, and consider citing the use of these tools if they are allowed. The Honor Code (Virtual) Honor Co"
University of California-Irvine,20240913042727,detector_surveillance,Turnitin,emic Integrity Integrity in Academics Advisory Committee Statement on Turnitin AI detection A Statement from UCI Writing Pedagogy Experts Teaching w
Duke University,20231204054842,prohibition,unauthorized use,agiarism. The Duke Community Standard has been updated to include the unauthorized use of generative AI as a form of cheating. You have the discretion to de
Duke University,20231204054842,detector_surveillance,AI detection,this course; no special documentation or citation is required. About AI detection software We don’t recommend AI detection software for three main reas
Duke University,20231204054842,misconduct_framing,plagiar,very course should have an AI policy. Instructors should update their plagiarism policies to include guidance on the use of generative AI text in t
Duke University,20231204054842,permitted_use,are allowed to use,"s, including automated tools. Use only with prior permission Students are allowed to use advanced automated tools (artificial intelligence or machine learning"
Duke University,20231204054842,disclosure,with acknowledgement,"bstantive assistance from others, including automated tools. Use only with acknowledgement Students are allowed to use advanced automated tools (artificial inte"
Duke University,20231204054842,l2_protection,non-native,"the software’s unreliability. 2. Detection software is biased against non-native speakers, as research from Stanford shows. 3. As AI changes, detectio"
University of Notre Dame,20240913112710,prohibition,prohibit,"s they make are AI-generated text. This means that if your instructor prohibits the use of gen AI on an assignment or in a class, this prohibition i"
University of Notre Dame,20240913112710,detector_surveillance,detector,"unless explicitly stated otherwise. If your instructor is using an AI detector, even a small number of suggestions from an AI editing tool in your w"
University of Notre Dame,20240913112710,misconduct_framing,academic dishonest,ed suggestions without proper attribution can be considered a form of academic dishonesty. This is because you're incorporating AI-generated content into your
University of Notre Dame,20240913112710,permitted_use,permitted,"d the AI-generated content produced by the editing tool. If they have permitted the use of editing tools, then it may not be an issue, but you should"
University of Notre Dame,20240913112710,disclosure,citing the use,"k the syllabus or ask your instructor for clarification, and consider citing the use of these tools if they are allowed. The Honor Code Educational Outcom"
