unitid,total_degrees,writing_share
104151,42242.0,0.1117
110422,11804.0,0.114
110644,22264.0,0.1611
110653,23926.0,0.1612
110662,27982.0,0.2168
110680,22906.0,0.1152
122931,5278.0,0.1203
126818,15160.0,0.1135
130697,1556.0,0.3753
132903,38448.0,0.1313
134097,24442.0,0.1685
139658,9096.0,0.087
139940,16310.0,0.1446
145600,17430.0,0.0831
147767,15726.0,0.1537
152080,7356.0,0.1136
160755,8632.0,0.1335
160977,932.0,0.3208
164076,11728.0,0.1506
164988,22594.0,0.1331
166027,18962.0,0.1019
166683,6796.0,0.0514
172644,14076.0,0.084
179867,10180.0,0.0984
190150,26852.0,0.1151
190415,15028.0,0.0775
191515,946.0,0.3309
193900,34198.0,0.1527
196097,16204.0,0.1027
198385,1000.0,0.325
198419,11970.0,0.0806
199193,21266.0,0.0777
203447,472.0,0.1589
209542,16674.0,0.0831
211440,10114.0,0.0625
212054,12982.0,0.0735
213543,4012.0,0.0703
215062,17266.0,0.1049
216339,20450.0,0.1394
221999,7934.0,0.1234
227757,4502.0,0.1257
228723,39292.0,0.0812
228769,28834.0,0.061
232186,21326.0,0.126
232423,11256.0,0.1621
233921,19774.0,0.0956
243780,24720.0,0.0687
