phrase,n_institutions
use generative ai,13
generative ai tools,12
using generative ai,11
artificial intelligence ai,10
generative ai tool,7
generative artificial intelligence,7
generative ai teaching,7
science artificial intelligence,7
use generative ai tools,7
large language models,6
ai generated text,6
ai generated content,6
computer science artificial intelligence,5
computer science artificial,5
generative ai generative ai,5
artificial intelligence ai tools,5
generative ai course,5
students generative ai,5
students use generative,5
students use generative ai,5
use ai tools,5
students use tools,5
generative ai generative,5
skip content az index,5
ai generative ai,5
intelligence ai tools,5
using generative ai tools,5
natural language processing,5
artificial intelligence tools,5
content az index,5
