institution,lw_ratio_mean,lw_ratio_median,share_below_1,n_reports
University of Illinois Urbana-Champaign,1.046,1.07,0.417,300
"University of California, San Diego",1.121,1.21,0.294,238
"University of California, Los Angeles",1.126,1.16,0.23,187
University of Texas at Austin,1.193,1.26,0.252,254
Penn State University,1.218,1.25,0.159,252
Ohio State University,1.228,1.305,0.187,182
"University of California, Berkeley",1.229,1.22,0.148,256
Columbia University,1.258,1.32,0.131,160
University of Washington,1.262,1.3,0.215,181
University of Michigan,1.286,1.37,0.147,258
Johns Hopkins University,1.291,1.28,0.098,164
Harvard University,1.316,1.32,0.076,172
Massachusetts Institute of Technology,1.337,1.43,0.111,162
California Institute of Technology,1.351,1.35,0.061,66
Northwestern University,1.357,1.38,0.061,213
University of Chicago,1.431,1.385,0.026,192
University of Pennsylvania,1.435,1.43,0.031,259
Duke University,1.439,1.46,0.061,244
Cornell University,1.499,1.48,0.024,212
Yale University,1.501,1.47,0.017,177
Stanford University,1.512,1.53,0.033,210
Princeton University,1.544,1.46,0.045,156
